,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6275,223,532,640,564,567,476,380,350,336,264,1943,CELL RESEARCH
2, ,ALL OTHERS (460),460,19,39,47,42,38,28,31,24,23,29,140,CELL RESEARCH
3,41.577,NATURE,473,25,49,48,39,51,36,32,34,30,15,114,CELL RESEARCH
4,31.398,CELL,362,18,32,47,38,37,37,18,11,13,12,99,CELL RESEARCH
5,41.058,SCIENCE,296,14,26,46,15,24,17,22,10,19,15,88,CELL RESEARCH
6,9.504,P NATL ACAD SCI USA,266,3,15,24,14,22,16,17,10,7,23,115,CELL RESEARCH
7,4.011,J BIOL CHEM,142,1,1,9,10,8,7,6,3,4,4,89,CELL RESEARCH
8,14.248,MOL CELL,134,7,19,21,11,10,16,4,4,7,3,32,CELL RESEARCH
9,15.393,CELL RES,109,39,21,11,19,5,1,6,2,4,1,0,CELL RESEARCH
10,11.561,NUCLEIC ACIDS RES,87,3,12,7,12,5,8,0,4,12,2,22,CELL RESEARCH
11,10.790,J EXP MED,86,0,1,6,2,8,5,4,5,1,2,52,CELL RESEARCH
12,4.539,J IMMUNOL,85,0,4,3,4,3,0,5,1,5,4,56,CELL RESEARCH
13,15.132,BLOOD,83,0,2,1,3,8,9,6,6,7,1,40,CELL RESEARCH
14,9.130,CANCER RES,71,0,3,4,0,4,3,6,1,2,7,41,CELL RESEARCH
15,9.462,GENE DEV,69,1,5,7,5,6,2,0,1,1,2,39,CELL RESEARCH
16,13.251,J CLIN INVEST,69,0,1,13,5,7,6,6,4,2,4,21,CELL RESEARCH
17,79.260,NEW ENGL J MED,66,0,3,10,6,7,10,8,7,4,2,9,CELL RESEARCH
18,32.621,NAT MED,63,0,7,9,3,5,1,1,1,2,5,29,CELL RESEARCH
19,12.353,NAT COMMUN,62,8,14,14,19,6,0,1,0,0,0,0,CELL RESEARCH
20,10.557,EMBO J,61,1,1,2,2,2,6,3,4,2,1,37,CELL RESEARCH
21,35.612,NAT REV MOL CELL BIO,61,9,5,2,8,5,2,7,2,3,5,13,CELL RESEARCH
22,23.290,CELL STEM CELL,60,4,8,7,13,5,11,5,2,2,2,1,CELL RESEARCH
23,27.125,NAT GENET,57,2,3,2,3,4,1,3,7,1,2,29,CELL RESEARCH
24,13.333,NAT STRUCT MOL BIOL,57,2,7,6,4,9,3,7,4,4,0,11,CELL RESEARCH
25,19.064,NAT CELL BIOL,55,0,4,3,8,4,4,8,9,1,5,9,CELL RESEARCH
26,2.766,PLOS ONE,55,0,2,4,3,11,8,17,3,4,3,0,CELL RESEARCH
27,19.734,IMMUNITY,54,0,8,3,10,6,7,2,1,4,2,11,CELL RESEARCH
28,5.413,DEVELOPMENT,53,1,5,1,0,6,8,2,2,2,1,25,CELL RESEARCH
29,35.724,NAT BIOTECHNOL,52,5,6,8,1,9,0,10,4,4,2,3,CELL RESEARCH
30,26.360,J CLIN ONCOL,45,0,5,8,2,4,1,8,2,2,1,12,CELL RESEARCH
31,3.813,MOL CELL BIOL,44,2,0,0,1,3,0,1,1,4,1,31,CELL RESEARCH
32,26.919,NAT METHODS,44,0,1,8,8,13,5,3,1,3,1,1,CELL RESEARCH
33,8.784,J CELL BIOL,43,0,5,2,1,0,3,2,3,0,5,22,CELL RESEARCH
34,10.199,CLIN CANCER RES,41,0,1,7,2,5,1,3,1,3,4,14,CELL RESEARCH
35,5.481,BIOINFORMATICS,40,1,0,5,7,2,0,5,6,6,1,7,CELL RESEARCH
36,3.099,ACTA CRYSTALLOGR D,39,0,0,2,0,1,1,2,19,1,0,13,CELL RESEARCH
37,9.616,DEV CELL,39,1,1,0,2,4,4,6,5,2,1,13,CELL RESEARCH
38,21.809,NAT IMMUNOL,38,0,2,2,4,5,5,0,3,3,2,12,CELL RESEARCH
39,8.032,CELL REP,37,1,6,12,10,6,2,0,0,0,0,0,CELL RESEARCH
40,20.565,CELL METAB,36,3,4,8,2,7,2,2,3,1,1,3,CELL RESEARCH
41,9.251,CURR BIOL,36,0,1,1,5,2,6,0,2,0,1,18,CELL RESEARCH
42,13.214,GENOME BIOL,36,2,1,1,4,5,3,2,1,6,6,5,CELL RESEARCH
43,13.843,NAT CHEM BIOL,34,1,5,3,11,2,2,8,0,2,0,0,CELL RESEARCH
44,7.616,ELIFE,33,1,8,6,12,3,3,0,0,0,0,0,CELL RESEARCH
45,4.368,J VIROL,33,2,0,2,1,3,3,0,1,1,2,18,CELL RESEARCH
46,8.228,PLANT CELL,33,5,1,4,2,3,4,2,0,3,0,9,CELL RESEARCH
47,12.423,NAT PROTOC,32,0,1,1,2,3,4,1,5,7,3,5,CELL RESEARCH
48,10.101,GENOME RES,31,0,0,2,7,4,7,0,3,2,0,6,CELL RESEARCH
49,41.982,NAT REV IMMUNOL,31,0,2,4,0,6,3,1,2,4,2,7,CELL RESEARCH
50,6.854,ONCOGENE,29,0,2,3,1,1,2,2,2,0,3,13,CELL RESEARCH
51,41.465,NAT REV GENET,28,0,5,0,4,1,3,1,3,0,0,11,CELL RESEARCH
52,14.319,NEURON,28,0,2,6,4,4,3,0,3,1,1,4,CELL RESEARCH
53,15.211,CIRC RES,27,0,4,3,3,0,2,3,8,0,0,4,CELL RESEARCH
54,4.122,SCI REP-UK,27,2,10,7,3,3,1,1,0,0,0,0,CELL RESEARCH
55,20.154,ANNU REV BIOCHEM,26,0,3,2,1,0,0,1,3,3,4,9,CELL RESEARCH
56,22.844,CANCER CELL,26,2,2,2,7,1,1,4,1,1,0,5,CELL RESEARCH
57,3.433,J STRUCT BIOL,26,0,1,5,0,0,6,0,0,0,0,14,CELL RESEARCH
58,42.784,NAT REV CANCER,26,1,1,1,3,1,5,2,3,0,2,7,CELL RESEARCH
59,5.540,PLOS GENET,25,3,1,5,5,4,5,0,0,1,1,0,CELL RESEARCH
60,7.360,INT J CANCER,23,0,1,0,2,1,1,0,3,1,0,14,CELL RESEARCH
61,9.032,ANNU REV CELL DEV BI,22,0,1,1,3,1,2,2,1,0,3,8,CELL RESEARCH
62,22.714,ANNU REV IMMUNOL,22,0,1,1,0,3,2,2,1,0,1,11,CELL RESEARCH
63,7.008,MOL THER,22,0,1,3,3,2,0,2,3,3,1,4,CELL RESEARCH
64,4.490,RNA,22,0,2,1,3,4,2,0,0,0,0,10,CELL RESEARCH
65,3.826,J IMMUNOTHER,21,0,0,0,1,3,1,0,4,2,3,7,CELL RESEARCH
66,19.912,NAT NEUROSCI,21,0,4,6,2,2,0,2,2,0,0,3,CELL RESEARCH
67,5.949,PLANT PHYSIOL,21,1,0,2,1,4,6,0,2,1,0,4,CELL RESEARCH
68,2.997,BIOCHEMISTRY-US,20,0,3,0,0,0,0,0,3,1,0,13,CELL RESEARCH
69,4.401,J CELL SCI,20,0,1,1,1,2,2,2,0,1,0,10,CELL RESEARCH
70,3.262,DEV BIOL,19,0,2,0,2,0,1,2,0,0,2,10,CELL RESEARCH
71,16.710,SCI TRANSL MED,19,2,3,3,5,4,0,2,0,0,0,0,CELL RESEARCH
72,18.881,CIRCULATION,18,0,3,1,0,0,0,1,4,1,0,8,CELL RESEARCH
73,11.100,AUTOPHAGY,17,0,3,2,0,2,3,1,2,2,1,1,CELL RESEARCH
74,9.217,IMMUNOL REV,17,0,0,2,4,1,0,0,3,1,1,5,CELL RESEARCH
75,4.248,EUR J IMMUNOL,16,0,0,2,0,0,1,0,0,1,1,11,CELL RESEARCH
76,4.894,J MOL BIOL,16,1,2,1,0,1,0,0,2,2,2,5,CELL RESEARCH
77,53.254,LANCET,16,0,3,1,0,1,0,0,1,1,0,9,CELL RESEARCH
78,10.217,MOL BIOL EVOL,16,0,1,2,0,1,1,0,0,1,2,8,CELL RESEARCH
79,6.158,PLOS PATHOG,16,1,2,2,1,1,2,0,2,4,0,1,CELL RESEARCH
80,4.225,CANCER IMMUNOL IMMUN,15,0,1,0,0,1,2,0,2,1,2,6,CELL RESEARCH
81,5.971,J NEUROSCI,15,0,0,4,3,1,2,1,1,0,1,2,CELL RESEARCH
82,9.163,PLOS BIOL,15,0,0,1,3,2,1,2,1,1,1,3,CELL RESEARCH
83,2.559,BIOCHEM BIOPH RES CO,14,0,0,2,0,1,2,0,1,1,0,7,CELL RESEARCH
84,3.184,BIOL REPROD,14,0,1,1,0,3,1,0,1,0,3,4,CELL RESEARCH
85,3.512,MOL BIOL CELL,14,0,0,0,0,0,3,0,4,0,2,5,CELL RESEARCH
86,4.907,STRUCTURE,14,0,0,2,1,4,2,1,0,1,2,1,CELL RESEARCH
87,3.857,BIOCHEM J,13,0,0,1,0,0,4,2,0,2,0,4,CELL RESEARCH
88,9.188,CANCER IMMUNOL RES,13,0,1,3,7,2,0,0,0,0,0,0,CELL RESEARCH
89,6.290,CARDIOVASC RES,13,0,0,0,1,0,0,1,2,2,1,6,CELL RESEARCH
90,5.775,PLANT J,13,1,1,0,1,0,1,0,0,0,2,7,CELL RESEARCH
91,17.872,CELL HOST MICROBE,12,2,5,0,2,0,1,0,0,1,1,0,CELL RESEARCH
92,4.902,HUM MOL GENET,12,0,0,2,1,1,0,1,0,2,0,5,CELL RESEARCH
93,9.589,ANNU REV GENET,11,0,0,1,0,3,0,1,0,2,3,1,CELL RESEARCH
94,8.000,CELL DEATH DIFFER,11,0,0,0,3,1,0,2,2,1,0,2,CELL RESEARCH
95,9.247,CSH PERSPECT BIOL,11,0,0,0,0,5,1,1,3,1,0,0,CELL RESEARCH
96,2.999,FEBS LETT,11,0,1,1,1,1,0,0,0,0,0,7,CELL RESEARCH
97,20.773,GASTROENTEROLOGY,11,0,0,2,1,4,1,2,0,1,0,0,CELL RESEARCH
98,3.219,J BACTERIOL,11,0,0,0,0,0,1,1,0,3,1,5,CELL RESEARCH
99, ,METHOD MOL BIOL,11,1,0,0,0,1,1,1,1,2,2,2,CELL RESEARCH
