Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,728",15.393,15.180,15.973,5.289,76,5.9,6.3,0.037,6.652,92.11,4.37700,95.00000,CELL RESEARCH
2016,"11,885",15.606,15.387,14.331,3.960,75,5.5,6.3,0.03803,5.916,89.33,4.36178,95.52600,CELL RESEARCH
2015,"10,393",14.812,14.518,12.393,3.093,75,5.0,6.2,0.03585,5.065,97.33,4.08618,95.45500,CELL RESEARCH
2014,"9,195",12.413,12.301,11.187,4.150,80,4.7,6.0,0.03482,4.457,86.25,3.89954,93.20700,CELL RESEARCH
2013,"8,083",11.981,11.726,11.078,3.950,80,4.4,5.4,0.03782,4.416,88.75,4.16813,93.24300,CELL RESEARCH
2012,"7,026",10.526,10.330,10.216,2.848,99,4.0,5.7,0.03484,3.997,87.88,Not Available,90.54100,CELL RESEARCH
2011,"5,318",8.190,8.075,7.889,2.788,113,3.5,5.9,0.02796,3.131,73.45,Not Available,87.56900,CELL RESEARCH
2010,"4,243",9.417,9.344,6.992,1.604,96,3.0,5.9,0.0269,2.735,84.38,Not Available,88.48300,CELL RESEARCH
2009,"3,260",8.151,8.026,5.650,1.962,104,2.8,6.1,0.02329,2.417,82.69,Not Available,87.34600,CELL RESEARCH
2008,"2,218",4.535,4.454,4.087,2.235,102,3.1,5.8,0.01504,1.643,61.76,Not Available,71.65600,CELL RESEARCH
2007,"1,579",4.217,4.165,3.534,1.024,84,2.7,5.2,0.01253,1.453,67.86,Not Available,70.19200,CELL RESEARCH
2006,"1,157",3.426,3.380,Not Available,0.545,101,2.4,5.8,Not Available,Not Available,80.20,Not Available,60.57700,CELL RESEARCH
2005,640,2.161,2.062,Not Available,0.664,116,3.0,5.3,Not Available,Not Available,62.07,Not Available,42.81000,CELL RESEARCH
2004,451,1.936,1.819,Not Available,0.083,60,3.7,5.4,Not Available,Not Available,83.33,Not Available,35.80600,CELL RESEARCH
2003,354,1.729,1.376,Not Available,0.192,52,3.2,5.2,Not Available,Not Available,82.69,Not Available,36.21800,CELL RESEARCH
2002,308,1.958,1.666,Not Available,0.238,42,3.0,6.2,Not Available,Not Available,78.57,Not Available,45.42500,CELL RESEARCH
2001,244,2.102,1.542,Not Available,0.279,43,2.8,5.6,Not Available,Not Available,88.37,Not Available,47.27900,CELL RESEARCH
