,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,230625,2771,12746,15230,14948,15569,14810,13852,11200,13393,9838,106268,CELL
2,,ALL OTHERS (1263),1263,17,46,88,94,42,72,63,73,54,39,675,CELL
3,4.122,SCI REP-UK,8760,62,369,472,543,595,568,514,444,510,393,4290,CELL
4,,ONCOTARGET,5948,75,168,296,266,355,373,633,331,515,301,2635,CELL
5,2.766,PLOS ONE,4521,26,146,190,245,244,248,193,214,285,184,2546,CELL
6,12.353,NAT COMMUN,4311,46,261,394,355,411,318,285,206,270,214,1551,CELL
7,9.504,P NATL ACAD SCI USA,3273,48,192,262,241,227,234,164,154,194,131,1426,CELL
8,7.616,ELIFE,3119,56,195,246,230,204,247,173,115,154,133,1366,CELL
9,11.561,NUCLEIC ACIDS RES,2940,9,136,213,189,326,233,175,121,178,134,1226,CELL
10,8.032,CELL REP,2498,43,186,256,232,224,220,148,101,136,123,829,CELL
11,3.687,INT J MOL SCI,2260,37,79,79,110,120,139,169,114,143,118,1152,CELL
12,4.011,J BIOL CHEM,2199,21,78,97,104,130,156,120,112,124,90,1167,CELL
13,31.398,CELL,1896,168,302,249,188,195,142,83,59,72,51,387,CELL
14,5.511,FRONT IMMUNOL,1832,66,194,163,149,78,73,97,153,69,82,708,CELL
15,14.248,MOL CELL,1466,45,107,145,133,158,126,95,72,95,54,436,CELL
16,5.540,PLOS GENET,1304,13,47,55,60,109,88,62,40,68,54,708,CELL
17,41.577,NATURE,1237,43,143,197,166,120,96,44,59,49,31,289,CELL
18,5.413,DEVELOPMENT,1202,20,79,77,77,89,59,63,29,47,66,596,CELL
19,2.559,BIOCHEM BIOPH RES CO,1190,11,42,27,41,64,69,76,62,73,57,668,CELL
20,6.854,ONCOGENE,1177,1,22,79,55,66,108,122,47,107,62,508,CELL
21,,METHOD MOL BIOL,1104,0,7,53,57,76,70,49,49,60,53,630,CELL
22,8.784,J CELL BIOL,932,13,49,54,66,65,72,60,45,56,49,403,CELL
23,6.721,CELL MOL LIFE SCI,912,3,26,63,63,57,68,52,39,50,44,447,CELL
24,4.894,J MOL BIOL,890,5,56,53,53,67,78,49,37,41,28,423,CELL
25,4.401,J CELL SCI,858,12,49,35,41,44,59,44,44,56,53,421,CELL
26,4.075,GENETICS,847,7,34,31,32,30,58,31,29,47,33,515,CELL
27,10.557,EMBO J,845,26,47,57,54,77,71,40,44,63,48,318,CELL
28,9.462,GENE DEV,844,14,54,59,59,79,67,57,38,51,45,321,CELL
29,3.262,DEV BIOL,842,5,24,19,24,38,37,30,17,51,38,559,CELL
30,4.019,FRONT MICROBIOL,835,15,53,47,67,44,47,27,37,49,35,414,CELL
31,3.677,FRONT PLANT SCI,835,4,50,41,20,31,20,15,28,84,39,503,CELL
32,41.058,SCIENCE,832,45,95,114,76,73,56,38,35,43,24,233,CELL
33,14.319,NEURON,829,17,94,104,95,67,41,52,51,51,28,229,CELL
34,3.512,MOL BIOL CELL,824,6,25,36,32,41,46,44,42,48,43,461,CELL
35,9.616,DEV CELL,803,23,43,41,51,50,61,46,34,62,42,350,CELL
36,4.368,J VIROL,798,6,56,67,43,35,31,17,45,55,25,418,CELL
37,3.191,GENES-BASEL,795,6,32,32,23,58,71,57,34,43,26,413,CELL
38,1.664,ONCOL LETT,790,0,10,12,12,24,42,65,49,74,38,464,CELL
