,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,26085,976,3061,2882,2560,2294,1862,1483,1377,1177,964,7449,CELL
2, ,ALL OTHERS (1095),1095,35,123,85,90,69,55,55,47,31,38,467,CELL
3,41.577,NATURE,2144,89,287,243,230,187,183,138,105,78,70,534,CELL
4,31.398,CELL,1896,168,302,249,188,195,142,83,59,72,51,387,CELL
5,41.058,SCIENCE,1430,41,203,174,111,114,75,63,52,72,47,478,CELL
6,9.504,P NATL ACAD SCI USA,1201,21,94,91,113,104,86,96,58,59,61,418,CELL
7,4.011,J BIOL CHEM,526,7,17,23,30,31,30,19,20,22,15,312,CELL
8,14.248,MOL CELL,483,19,62,78,47,40,30,20,46,18,27,96,CELL
9,11.561,NUCLEIC ACIDS RES,440,14,71,60,58,39,23,12,25,23,6,109,CELL
10,27.125,NAT GENET,389,15,46,42,40,32,20,22,14,17,22,119,CELL
11,14.319,NEURON,345,16,35,54,27,29,33,21,20,15,7,88,CELL
12,26.919,NAT METHODS,344,23,24,38,44,56,85,18,11,14,13,18,CELL
13,5.481,BIOINFORMATICS,319,1,6,29,35,37,17,28,45,66,7,48,CELL
14,9.462,GENE DEV,288,4,23,27,19,22,19,16,16,14,21,107,CELL
15,79.260,NEW ENGL J MED,259,9,53,44,29,24,20,14,8,8,8,42,CELL
16,7.616,ELIFE,257,22,74,77,56,22,6,0,0,0,0,0,CELL
17,2.766,PLOS ONE,249,1,12,22,38,48,39,31,22,18,13,5,CELL
18,12.353,NAT COMMUN,242,21,68,57,51,28,9,4,3,1,0,0,CELL
19,10.557,EMBO J,239,9,11,10,12,17,13,15,12,8,11,121,CELL
20,19.734,IMMUNITY,223,8,40,27,26,23,20,10,12,11,8,38,CELL
21,3.099,ACTA CRYSTALLOGR D,206,0,0,10,10,8,5,19,89,5,2,58,CELL
22,8.032,CELL REP,206,13,64,42,36,33,18,0,0,0,0,0,CELL
23,35.724,NAT BIOTECHNOL,206,3,25,34,27,41,14,14,14,3,8,23,CELL
24,32.621,NAT MED,202,7,36,29,21,17,16,12,9,12,2,41,CELL
25,8.784,J CELL BIOL,197,4,6,14,6,19,11,8,13,6,4,106,CELL
26,5.971,J NEUROSCI,197,4,9,9,19,15,19,14,11,10,11,76,CELL
27,15.132,BLOOD,190,1,10,16,22,12,14,28,13,8,7,59,CELL
28,13.214,GENOME BIOL,184,1,23,15,35,24,8,12,10,17,19,20,CELL
29,3.813,MOL CELL BIOL,184,1,3,7,6,7,4,3,10,13,14,116,CELL
30,13.333,NAT STRUCT MOL BIOL,179,7,28,20,21,26,13,16,12,5,4,27,CELL
31,13.251,J CLIN INVEST,178,6,12,21,16,19,9,18,8,6,8,55,CELL
32,9.251,CURR BIOL,177,4,20,13,18,20,6,10,13,5,8,60,CELL
33,19.064,NAT CELL BIOL,177,2,13,18,20,18,16,9,9,8,11,53,CELL
34,10.101,GENOME RES,175,4,10,19,20,20,21,11,17,12,4,37,CELL
35,21.809,NAT IMMUNOL,175,4,38,21,13,25,11,16,7,5,9,26,CELL
36,3.433,J STRUCT BIOL,172,1,14,30,2,6,35,2,1,10,1,70,CELL
37,22.844,CANCER CELL,168,7,17,23,27,15,12,18,12,9,6,22,CELL
38,5.540,PLOS GENET,168,3,9,22,21,28,21,18,13,13,8,12,CELL
39,10.790,J EXP MED,157,4,13,17,21,15,12,10,6,6,5,48,CELL
40,9.130,CANCER RES,150,4,18,15,8,8,14,4,13,13,7,46,CELL
41,35.612,NAT REV MOL CELL BIO,149,14,20,23,13,10,9,6,12,9,8,25,CELL
42,20.565,CELL METAB,146,7,33,13,11,13,16,7,5,4,17,20,CELL
43,19.912,NAT NEUROSCI,146,4,21,16,22,20,7,4,8,8,2,34,CELL
44,12.423,NAT PROTOC,142,3,7,16,16,23,13,6,4,21,9,24,CELL
45,4.539,J IMMUNOL,140,3,8,17,9,10,5,9,9,8,8,54,CELL
46,23.290,CELL STEM CELL,129,5,25,17,23,15,8,12,10,8,4,2,CELL
47,5.413,DEVELOPMENT,127,2,10,8,11,8,6,3,7,9,1,62,CELL
48,41.465,NAT REV GENET,118,5,19,11,14,7,14,7,9,7,6,19,CELL
49,4.075,GENETICS,115,1,5,7,5,12,5,4,4,4,3,65,CELL
50,9.616,DEV CELL,113,3,9,13,19,10,4,9,8,4,2,32,CELL
51,24.373,CANCER DISCOV,112,6,37,21,22,8,11,7,0,0,0,0,CELL
52,41.982,NAT REV IMMUNOL,112,1,11,21,16,10,11,10,6,3,7,16,CELL
53,42.784,NAT REV CANCER,102,2,16,11,7,8,11,7,5,4,2,29,CELL
54,4.368,J VIROL,99,1,8,7,4,6,6,2,4,5,4,52,CELL
55,4.894,J MOL BIOL,98,2,5,3,3,0,7,2,5,5,9,57,CELL
56,16.710,SCI TRANSL MED,94,7,12,17,13,20,11,11,3,0,0,0,CELL
