Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"230,625",31.398,30.780,33.796,7.592,365,9.1,5.7,0.583,19.514,89.59,68.09600,99.08600,CELL
2016,"217,952",30.410,29.638,34.103,6.358,455,9.1,5.3,0.59398,20.067,86.81,68.14412,99.51900,CELL
2015,"202,467",28.710,28.123,32.857,6.151,437,9.0,5.7,0.55509,18.920,89.93,63.26879,99.07200,CELL
2014,"201,108",32.242,31.530,35.532,5.931,436,8.6,5.5,0.57703,19.361,89.68,64.62790,99.50600,CELL
2013,"191,226",33.116,32.268,35.020,6.750,432,8.4,5.1,0.5995,20.124,88.66,66.07639,99.50900,CELL
2012,"178,762",31.957,31.345,34.366,6.499,415,8.5,5.4,0.58533,19.272,90.60,Not Available,99.50800,CELL
2011,"171,297",32.403,31.826,34.774,6.382,338,8.6,5.1,0.66082,20.554,87.87,Not Available,99.32700,CELL
2010,"167,591",32.406,31.874,34.931,6.661,319,8.5,4.8,0.70027,20.591,89.34,Not Available,99.49100,CELL
2009,"153,972",31.152,30.435,32.628,6.825,359,8.7,4.7,0.69859,20.124,86.63,Not Available,99.44900,CELL
2008,"142,064",31.253,30.589,30.149,6.126,348,8.8,4.7,0.67169,18.871,88.22,Not Available,99.43100,CELL
2007,"136,514",29.887,29.083,28.779,6.402,366,8.7,4.5,0.67067,18.188,86.34,Not Available,99.23400,CELL
2006,"132,528",29.194,28.416,Not Available,6.403,352,8.7,4.2,Not Available,Not Available,83.24,Not Available,99.23300,CELL
2005,"132,371",29.431,28.810,Not Available,6.238,319,8.4,4.4,Not Available,Not Available,89.03,Not Available,99.22200,CELL
2004,"136,472",28.389,27.874,Not Available,7.632,288,7.9,4.5,Not Available,Not Available,85.42,Not Available,98.71500,CELL
2003,"137,333",26.626,26.124,Not Available,6.502,281,7.4,4.1,Not Available,Not Available,85.05,Not Available,98.72000,CELL
2002,"139,765",27.254,26.677,Not Available,5.860,350,7.0,3.8,Not Available,Not Available,68.86,Not Available,99.04000,CELL
2001,"146,225",29.219,28.507,Not Available,5.204,353,6.6,3.8,Not Available,Not Available,71.10,Not Available,99.58600,CELL
2000,"153,747",32.440,31.616,Not Available,5.348,345,6.1,3.7,Not Available,Not Available,70.72,Not Available,99.58800,CELL
1999,"159,955",36.242,35.444,Not Available,7.338,346,5.7,3.6,Not Available,Not Available,74.86,Not Available,99.56800,CELL
1998,"159,685",38.686,37.741,Not Available,6.511,407,5.3,3.5,Not Available,Not Available,73.71,Not Available,99.56600,CELL
1997,"148,744",37.297,36.196,Not Available,6.475,448,4.9,3.5,Not Available,Not Available,77.46,Not Available,99.51100,CELL
