,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,23341,479,2084,1922,1927,1728,1478,1642,1310,1629,1725,7417,CELLULAR AND MOLECULAR LIFE SCIENCES
2,,ALL OTHERS (1236),1236,16,74,69,82,83,65,70,58,94,75,550,CELLULAR AND MOLECULAR LIFE SCIENCES
3,4.122,SCI REP-UK,1035,21,111,96,75,90,70,79,55,66,79,293,CELLULAR AND MOLECULAR LIFE SCIENCES
4,2.766,PLOS ONE,588,11,35,43,48,41,28,52,46,53,41,190,CELLULAR AND MOLECULAR LIFE SCIENCES
5,,ONCOTARGET,566,15,73,51,58,55,31,36,39,41,49,118,CELLULAR AND MOLECULAR LIFE SCIENCES
6,3.687,INT J MOL SCI,350,12,37,24,34,22,21,34,15,26,29,96,CELLULAR AND MOLECULAR LIFE SCIENCES
7,6.721,CELL MOL LIFE SCI,209,11,31,30,30,21,16,10,8,14,10,28,CELLULAR AND MOLECULAR LIFE SCIENCES
8,4.011,J BIOL CHEM,187,7,14,21,15,14,11,10,12,17,17,49,CELLULAR AND MOLECULAR LIFE SCIENCES
9,5.511,FRONT IMMUNOL,178,20,16,16,17,17,13,23,6,3,5,42,CELLULAR AND MOLECULAR LIFE SCIENCES
10,12.353,NAT COMMUN,158,2,15,17,15,13,12,10,10,12,11,41,CELLULAR AND MOLECULAR LIFE SCIENCES
11,2.559,BIOCHEM BIOPH RES CO,139,5,15,12,13,17,9,12,4,10,8,34,CELLULAR AND MOLECULAR LIFE SCIENCES
12,9.504,P NATL ACAD SCI USA,138,3,12,11,15,15,11,16,3,5,8,39,CELLULAR AND MOLECULAR LIFE SCIENCES
13,4.019,FRONT MICROBIOL,136,7,6,13,8,8,4,7,11,6,7,59,CELLULAR AND MOLECULAR LIFE SCIENCES
14,11.561,NUCLEIC ACIDS RES,122,2,15,20,6,12,7,7,8,12,8,25,CELLULAR AND MOLECULAR LIFE SCIENCES
15,3.677,FRONT PLANT SCI,111,2,4,11,3,5,18,9,6,5,12,36,CELLULAR AND MOLECULAR LIFE SCIENCES
16,3.902,FRONT MOL NEUROSCI,101,3,14,9,8,10,15,2,5,8,9,18,CELLULAR AND MOLECULAR LIFE SCIENCES
17,1.664,ONCOL LETT,100,0,5,3,14,6,6,11,6,10,10,29,CELLULAR AND MOLECULAR LIFE SCIENCES
18,3.457,BIOMED PHARMACOTHER,91,3,9,7,6,7,6,1,6,7,13,26,CELLULAR AND MOLECULAR LIFE SCIENCES
19,7.616,ELIFE,90,3,8,5,11,11,4,6,6,10,8,18,CELLULAR AND MOLECULAR LIFE SCIENCES
20,1.922,MOL MED REP,90,1,5,6,10,9,9,11,5,3,11,20,CELLULAR AND MOLECULAR LIFE SCIENCES
21,5.076,MOL NEUROBIOL,86,1,5,6,9,8,10,3,5,3,8,28,CELLULAR AND MOLECULAR LIFE SCIENCES
22,3.098,MOLECULES,80,4,6,4,3,3,3,8,6,5,8,30,CELLULAR AND MOLECULAR LIFE SCIENCES
23,,METHOD MOL BIOL,77,0,0,7,8,7,12,9,6,3,5,20,CELLULAR AND MOLECULAR LIFE SCIENCES
24,2.583,BIOMED RES INT,76,2,10,5,7,3,3,7,3,3,9,24,CELLULAR AND MOLECULAR LIFE SCIENCES
25,6.020,FREE RADICAL BIO MED,76,1,7,4,7,2,10,6,4,6,4,25,CELLULAR AND MOLECULAR LIFE SCIENCES
26,3.394,FRONT PHYSIOL,74,5,4,7,8,8,6,5,3,5,2,21,CELLULAR AND MOLECULAR LIFE SCIENCES
27,4.651,BBA-MOL CELL RES,73,1,12,4,6,6,4,4,4,7,7,18,CELLULAR AND MOLECULAR LIFE SCIENCES
28,8.032,CELL REP,71,4,9,8,6,8,10,5,2,5,8,6,CELLULAR AND MOLECULAR LIFE SCIENCES
29,2.757,CURR PHARM DESIGN,70,0,10,7,7,2,6,3,3,3,7,22,CELLULAR AND MOLECULAR LIFE SCIENCES
30,3.831,FRONT PHARMACOL,69,7,4,5,8,2,4,0,4,6,3,26,CELLULAR AND MOLECULAR LIFE SCIENCES
31,5.500,CELL PHYSIOL BIOCHEM,67,4,8,3,1,2,5,4,3,3,0,34,CELLULAR AND MOLECULAR LIFE SCIENCES
32,4.936,OXID MED CELL LONGEV,64,1,11,5,8,1,7,3,6,2,6,14,CELLULAR AND MOLECULAR LIFE SCIENCES
33,6.138,SEMIN CELL DEV BIOL,64,2,7,6,4,5,3,8,2,2,7,18,CELLULAR AND MOLECULAR LIFE SCIENCES
34,2.997,BIOCHEMISTRY-US,63,0,2,3,4,2,2,7,5,5,8,25,CELLULAR AND MOLECULAR LIFE SCIENCES
35,3.923,J CELL PHYSIOL,62,0,8,6,7,5,5,5,5,8,2,11,CELLULAR AND MOLECULAR LIFE SCIENCES
36,5.638,CELL DEATH DIS,60,2,8,6,10,8,2,3,4,5,0,12,CELLULAR AND MOLECULAR LIFE SCIENCES
37,3.469,CURR MED CHEM,60,0,4,2,3,4,4,8,8,0,7,20,CELLULAR AND MOLECULAR LIFE SCIENCES
38,3.909,INT J BIOL MACROMOL,58,0,2,4,5,3,0,3,4,5,1,31,CELLULAR AND MOLECULAR LIFE SCIENCES
39,3.679,BBA-GEN SUBJECTS,57,0,4,4,2,2,5,6,4,3,7,20,CELLULAR AND MOLECULAR LIFE SCIENCES
40,5.413,DEVELOPMENT,57,0,3,5,15,7,5,5,0,5,4,8,CELLULAR AND MOLECULAR LIFE SCIENCES
41,5.540,PLOS GENET,57,0,6,9,6,3,3,5,0,5,4,16,CELLULAR AND MOLECULAR LIFE SCIENCES
42,1.396,INT J CLIN EXP PATHO,55,1,5,2,6,4,2,5,5,6,3,16,CELLULAR AND MOLECULAR LIFE SCIENCES
43,4.816,EUR J MED CHEM,54,2,2,1,8,0,0,3,3,7,3,25,CELLULAR AND MOLECULAR LIFE SCIENCES
44,5.595,FASEB J,54,2,3,4,3,2,5,3,4,5,4,19,CELLULAR AND MOLECULAR LIFE SCIENCES
45,4.539,J IMMUNOL,54,2,6,6,1,5,8,5,3,2,2,14,CELLULAR AND MOLECULAR LIFE SCIENCES
46,4.401,J CELL SCI,53,0,7,8,6,4,5,0,4,4,3,12,CELLULAR AND MOLECULAR LIFE SCIENCES
47,3.730,BMC GENOMICS,52,0,3,4,2,1,6,4,1,3,6,22,CELLULAR AND MOLECULAR LIFE SCIENCES
48,4.368,J VIROL,52,1,5,0,4,3,8,3,1,4,9,14,CELLULAR AND MOLECULAR LIFE SCIENCES
49,2.976,ONCOL REP,52,1,7,4,3,3,3,6,2,1,7,15,CELLULAR AND MOLECULAR LIFE SCIENCES
50,3.877,FRONT NEUROSCI-SWITZ,50,1,4,6,8,3,3,2,2,4,1,16,CELLULAR AND MOLECULAR LIFE SCIENCES
51,0.833,INT J CLIN EXP MED,50,0,8,2,6,4,3,2,0,3,7,15,CELLULAR AND MOLECULAR LIFE SCIENCES
52,2.999,FEBS LETT,48,3,5,4,5,4,5,2,2,3,3,12,CELLULAR AND MOLECULAR LIFE SCIENCES
53,3.487,CELL SIGNAL,47,1,0,6,4,10,3,2,5,3,2,11,CELLULAR AND MOLECULAR LIFE SCIENCES
54,4.300,FRONT CELL NEUROSCI,47,2,9,4,2,7,2,5,2,1,1,12,CELLULAR AND MOLECULAR LIFE SCIENCES
55,2.936,RSC ADV,47,0,3,2,3,1,2,3,3,6,3,21,CELLULAR AND MOLECULAR LIFE SCIENCES
56,3.262,DEV BIOL,46,0,3,6,6,8,1,5,1,3,6,7,CELLULAR AND MOLECULAR LIFE SCIENCES
57,4.196,NUTRIENTS,46,3,5,1,6,2,4,1,3,0,2,19,CELLULAR AND MOLECULAR LIFE SCIENCES
58,6.854,ONCOGENE,46,1,3,4,8,4,2,5,3,5,2,9,CELLULAR AND MOLECULAR LIFE SCIENCES
59,3.273,TOXINS,46,0,2,1,7,5,1,4,0,2,5,19,CELLULAR AND MOLECULAR LIFE SCIENCES
60,5.108,BBA-MOL BASIS DIS,45,0,7,4,5,4,3,1,5,4,5,7,CELLULAR AND MOLECULAR LIFE SCIENCES
61,6.158,PLOS PATHOG,45,1,3,5,4,7,2,4,6,3,4,6,CELLULAR AND MOLECULAR LIFE SCIENCES
62,3.309,EXP CELL RES,44,1,6,6,2,3,2,4,2,3,3,12,CELLULAR AND MOLECULAR LIFE SCIENCES
63,2.959,J CELL BIOCHEM,44,0,4,4,6,5,1,3,3,3,2,13,CELLULAR AND MOLECULAR LIFE SCIENCES
64,4.277,ANN NY ACAD SCI,42,3,4,3,1,1,5,8,7,3,0,7,CELLULAR AND MOLECULAR LIFE SCIENCES
65,3.438,BBA-BIOMEMBRANES,42,2,3,1,2,2,0,5,1,3,7,16,CELLULAR AND MOLECULAR LIFE SCIENCES
66,3.476,J ALZHEIMERS DIS,42,0,7,3,1,8,3,1,1,1,2,15,CELLULAR AND MOLECULAR LIFE SCIENCES
67,3.512,MOL BIOL CELL,42,0,2,11,7,2,2,4,0,1,4,9,CELLULAR AND MOLECULAR LIFE SCIENCES
68,2.772,NEUROCHEM RES,42,1,9,4,3,6,2,2,2,1,3,9,CELLULAR AND MOLECULAR LIFE SCIENCES
69,4.249,NEUROPHARMACOLOGY,42,0,5,3,1,2,1,0,4,3,9,14,CELLULAR AND MOLECULAR LIFE SCIENCES
70,4.235,BIOCHEM PHARMACOL,41,0,6,5,1,2,3,6,1,3,2,12,CELLULAR AND MOLECULAR LIFE SCIENCES
71,6.491,CANCER LETT,41,3,6,7,1,2,2,3,3,3,1,10,CELLULAR AND MOLECULAR LIFE SCIENCES
72,1.410,EXP THER MED,41,1,1,6,1,5,3,5,3,2,3,11,CELLULAR AND MOLECULAR LIFE SCIENCES
73,2.498,GENE,41,1,4,2,1,2,2,1,2,5,7,14,CELLULAR AND MOLECULAR LIFE SCIENCES
74,3.374,CURR TOP MED CHEM,40,0,0,1,5,4,1,2,5,2,2,18,CELLULAR AND MOLECULAR LIFE SCIENCES
75,2.784,INT J MOL MED,40,1,5,3,6,8,0,3,3,3,0,8,CELLULAR AND MOLECULAR LIFE SCIENCES
76,6.530,ANTIOXID REDOX SIGN,39,0,6,2,4,1,3,5,0,2,10,6,CELLULAR AND MOLECULAR LIFE SCIENCES
77,2.571,CELL STRESS CHAPERON,39,0,4,6,2,1,0,2,0,6,4,14,CELLULAR AND MOLECULAR LIFE SCIENCES
78,3.185,FISH SHELLFISH IMMUN,39,1,0,0,1,1,0,1,2,3,1,29,CELLULAR AND MOLECULAR LIFE SCIENCES
79,3.520,FRONT CELL INFECT MI,39,1,2,0,3,5,0,3,2,6,5,12,CELLULAR AND MOLECULAR LIFE SCIENCES
80,3.549,MEDIAT INFLAMM,39,2,7,5,5,2,0,1,6,0,2,9,CELLULAR AND MOLECULAR LIFE SCIENCES
81,3.519,FRONT ENDOCRINOL,38,1,6,3,4,3,0,2,1,2,6,10,CELLULAR AND MOLECULAR LIFE SCIENCES
82,8.784,J CELL BIOL,37,2,9,6,2,7,4,4,0,1,0,2,CELLULAR AND MOLECULAR LIFE SCIENCES
83,4.609,J NEUROCHEM,37,2,1,4,3,6,1,1,1,3,6,9,CELLULAR AND MOLECULAR LIFE SCIENCES
84,14.163,PROG NEUROBIOL,37,0,5,5,6,3,6,1,2,1,0,8,CELLULAR AND MOLECULAR LIFE SCIENCES
85,3.118,ARCH BIOCHEM BIOPHYS,36,0,4,2,1,4,1,5,3,1,2,13,CELLULAR AND MOLECULAR LIFE SCIENCES
86,9.130,CANCER RES,36,0,6,5,3,4,5,0,2,2,1,8,CELLULAR AND MOLECULAR LIFE SCIENCES
87,4.530,FEBS J,36,0,4,3,4,5,2,0,1,2,2,13,CELLULAR AND MOLECULAR LIFE SCIENCES
88,3.333,INT J ONCOL,36,1,6,5,3,2,2,2,2,3,3,7,CELLULAR AND MOLECULAR LIFE SCIENCES
89,3.722,J PROTEOMICS,36,0,1,5,1,1,0,2,2,4,7,13,CELLULAR AND MOLECULAR LIFE SCIENCES
90,3.761,VIRUSES-BASEL,36,2,3,1,4,1,2,0,3,3,6,11,CELLULAR AND MOLECULAR LIFE SCIENCES
91,3.857,BIOCHEM J,35,2,1,4,4,1,2,1,1,4,4,11,CELLULAR AND MOLECULAR LIFE SCIENCES
92,4.902,HUM MOL GENET,35,1,2,1,3,4,3,1,5,1,3,11,CELLULAR AND MOLECULAR LIFE SCIENCES
93,3.412,J AGR FOOD CHEM,35,0,3,2,2,0,2,1,2,0,0,23,CELLULAR AND MOLECULAR LIFE SCIENCES
94,7.877,J CONTROL RELEASE,35,2,2,2,1,3,2,4,0,8,3,8,CELLULAR AND MOLECULAR LIFE SCIENCES
