,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,35467,395,2308,3179,2877,2805,2607,2314,1986,1877,1685,13434,CELLULAR AND MOLECULAR LIFE SCIENCES
2, ,ALL OTHERS (1247),1247,28,87,147,117,111,94,93,48,57,43,422,CELLULAR AND MOLECULAR LIFE SCIENCES
3,4.011,J BIOL CHEM,1547,5,47,53,56,63,91,102,106,63,74,887,CELLULAR AND MOLECULAR LIFE SCIENCES
4,9.504,P NATL ACAD SCI USA,1259,7,37,67,75,86,96,80,78,81,76,576,CELLULAR AND MOLECULAR LIFE SCIENCES
5,41.577,NATURE,1150,2,49,84,54,68,87,94,71,56,56,529,CELLULAR AND MOLECULAR LIFE SCIENCES
6,31.398,CELL,912,3,26,63,63,57,68,52,39,50,44,447,CELLULAR AND MOLECULAR LIFE SCIENCES
7,41.058,SCIENCE,715,1,34,23,26,42,28,33,27,50,38,413,CELLULAR AND MOLECULAR LIFE SCIENCES
8,2.766,PLOS ONE,685,6,36,95,107,131,122,67,48,43,26,4,CELLULAR AND MOLECULAR LIFE SCIENCES
9,8.784,J CELL BIOL,407,0,20,24,15,23,18,20,20,21,16,230,CELLULAR AND MOLECULAR LIFE SCIENCES
10,5.971,J NEUROSCI,393,2,9,14,19,18,27,39,29,29,24,183,CELLULAR AND MOLECULAR LIFE SCIENCES
11,11.561,NUCLEIC ACIDS RES,360,7,26,29,39,34,30,30,16,24,14,111,CELLULAR AND MOLECULAR LIFE SCIENCES
12,11.613,J PINEAL RES,339,17,47,37,22,31,15,18,14,16,18,104,CELLULAR AND MOLECULAR LIFE SCIENCES
13,14.248,MOL CELL,325,1,9,37,23,21,27,24,23,17,15,128,CELLULAR AND MOLECULAR LIFE SCIENCES
14,13.251,J CLIN INVEST,319,0,18,33,20,18,32,18,10,12,12,146,CELLULAR AND MOLECULAR LIFE SCIENCES
15,10.557,EMBO J,313,0,4,11,13,9,25,22,17,13,16,183,CELLULAR AND MOLECULAR LIFE SCIENCES
16,4.539,J IMMUNOL,311,2,13,15,21,23,16,23,20,19,28,131,CELLULAR AND MOLECULAR LIFE SCIENCES
17,9.462,GENE DEV,294,0,4,13,9,18,18,15,12,10,24,171,CELLULAR AND MOLECULAR LIFE SCIENCES
18,3.813,MOL CELL BIOL,282,0,3,8,8,7,10,13,14,17,15,187,CELLULAR AND MOLECULAR LIFE SCIENCES
19,15.211,CIRC RES,268,2,11,25,20,24,26,12,25,17,15,91,CELLULAR AND MOLECULAR LIFE SCIENCES
20,5.413,DEVELOPMENT,266,1,13,22,13,21,12,16,10,12,11,135,CELLULAR AND MOLECULAR LIFE SCIENCES
21,4.401,J CELL SCI,261,1,13,24,20,18,21,18,19,9,15,103,CELLULAR AND MOLECULAR LIFE SCIENCES
22,9.130,CANCER RES,251,1,6,8,13,6,14,20,10,11,18,144,CELLULAR AND MOLECULAR LIFE SCIENCES
23,19.064,NAT CELL BIOL,249,6,13,21,24,19,11,31,22,16,12,74,CELLULAR AND MOLECULAR LIFE SCIENCES
24,15.132,BLOOD,245,0,4,7,11,15,27,20,15,26,11,109,CELLULAR AND MOLECULAR LIFE SCIENCES
25,14.319,NEURON,245,1,6,5,11,11,12,15,18,6,15,145,CELLULAR AND MOLECULAR LIFE SCIENCES
26,2.559,BIOCHEM BIOPH RES CO,231,5,17,19,15,13,8,7,8,10,12,117,CELLULAR AND MOLECULAR LIFE SCIENCES
27,6.721,CELL MOL LIFE SCI,209,11,31,30,30,21,16,10,8,14,10,28,CELLULAR AND MOLECULAR LIFE SCIENCES
28,32.621,NAT MED,207,1,5,19,16,19,16,17,6,18,6,84,CELLULAR AND MOLECULAR LIFE SCIENCES
29,12.353,NAT COMMUN,204,2,52,59,52,25,9,4,1,0,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
30,27.125,NAT GENET,202,0,3,5,6,11,12,10,7,18,8,122,CELLULAR AND MOLECULAR LIFE SCIENCES
31,2.997,BIOCHEMISTRY-US,197,0,7,10,7,7,11,4,7,10,11,123,CELLULAR AND MOLECULAR LIFE SCIENCES
32,35.612,NAT REV MOL CELL BIO,197,1,12,18,22,5,20,11,17,19,7,65,CELLULAR AND MOLECULAR LIFE SCIENCES
33,4.122,SCI REP-UK,197,10,85,65,13,19,4,1,0,0,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
34,2.999,FEBS LETT,181,0,4,10,12,10,10,4,13,4,5,109,CELLULAR AND MOLECULAR LIFE SCIENCES
35,6.854,ONCOGENE,181,4,11,15,15,16,5,6,8,3,10,88,CELLULAR AND MOLECULAR LIFE SCIENCES
36,9.251,CURR BIOL,173,0,3,11,12,8,9,6,10,14,6,94,CELLULAR AND MOLECULAR LIFE SCIENCES
37,4.894,J MOL BIOL,170,0,6,6,8,10,11,6,18,7,10,88,CELLULAR AND MOLECULAR LIFE SCIENCES
38,9.616,DEV CELL,168,0,9,16,15,13,10,6,11,13,16,59,CELLULAR AND MOLECULAR LIFE SCIENCES
39,10.790,J EXP MED,168,0,6,9,2,8,10,17,10,7,12,87,CELLULAR AND MOLECULAR LIFE SCIENCES
40,3.857,BIOCHEM J,165,0,7,8,6,13,8,9,8,11,4,91,CELLULAR AND MOLECULAR LIFE SCIENCES
41,5.595,FASEB J,162,0,6,16,10,8,8,7,8,6,12,81,CELLULAR AND MOLECULAR LIFE SCIENCES
42,19.734,IMMUNITY,162,0,10,18,19,14,17,9,8,10,4,53,CELLULAR AND MOLECULAR LIFE SCIENCES
43,18.881,CIRCULATION,161,3,6,8,10,16,11,5,4,8,5,85,CELLULAR AND MOLECULAR LIFE SCIENCES
44,3.512,MOL BIOL CELL,157,2,10,9,9,10,9,8,7,16,10,67,CELLULAR AND MOLECULAR LIFE SCIENCES
45,79.260,NEW ENGL J MED,147,0,1,11,16,10,3,16,9,11,5,65,CELLULAR AND MOLECULAR LIFE SCIENCES
46,3.262,DEV BIOL,144,1,5,4,6,6,9,4,2,11,10,86,CELLULAR AND MOLECULAR LIFE SCIENCES
47,21.809,NAT IMMUNOL,144,1,8,9,13,6,16,13,11,8,14,45,CELLULAR AND MOLECULAR LIFE SCIENCES
48,19.912,NAT NEUROSCI,142,0,9,10,13,7,5,9,7,10,7,65,CELLULAR AND MOLECULAR LIFE SCIENCES
49,8.032,CELL REP,133,2,25,47,26,20,13,0,0,0,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
50,4.902,HUM MOL GENET,131,0,6,10,11,10,9,8,8,9,8,52,CELLULAR AND MOLECULAR LIFE SCIENCES
51,23.290,CELL STEM CELL,124,1,11,20,14,17,12,12,13,9,9,6,CELLULAR AND MOLECULAR LIFE SCIENCES
52,13.333,NAT STRUCT MOL BIOL,118,0,4,7,5,12,13,10,7,8,4,48,CELLULAR AND MOLECULAR LIFE SCIENCES
53,5.587,STEM CELLS,115,2,10,19,10,6,9,9,9,12,11,18,CELLULAR AND MOLECULAR LIFE SCIENCES
54,20.565,CELL METAB,114,2,12,18,16,13,12,11,0,7,6,17,CELLULAR AND MOLECULAR LIFE SCIENCES
55,4.368,J VIROL,111,2,5,7,6,9,5,10,5,7,2,53,CELLULAR AND MOLECULAR LIFE SCIENCES
56,4.540,J PHYSIOL-LONDON,104,1,8,6,3,2,4,5,1,9,4,61,CELLULAR AND MOLECULAR LIFE SCIENCES
57,6.086,ARTERIOSCL THROM VAS,102,1,6,9,11,4,8,6,6,8,6,37,CELLULAR AND MOLECULAR LIFE SCIENCES
58,4.609,J NEUROCHEM,100,2,8,8,2,3,6,1,2,8,7,53,CELLULAR AND MOLECULAR LIFE SCIENCES
59,4.069,AM J PATHOL,99,2,0,6,6,4,6,9,7,4,2,53,CELLULAR AND MOLECULAR LIFE SCIENCES
60,6.290,CARDIOVASC RES,99,2,5,6,5,8,13,8,8,0,5,39,CELLULAR AND MOLECULAR LIFE SCIENCES
61,42.784,NAT REV CANCER,98,1,6,7,7,11,7,10,6,8,7,28,CELLULAR AND MOLECULAR LIFE SCIENCES
62,20.773,GASTROENTEROLOGY,97,2,2,6,4,8,3,11,6,4,2,49,CELLULAR AND MOLECULAR LIFE SCIENCES
63,35.724,NAT BIOTECHNOL,97,2,5,7,12,14,4,13,5,7,6,22,CELLULAR AND MOLECULAR LIFE SCIENCES
64,5.540,PLOS GENET,97,0,13,13,13,10,13,10,7,8,8,2,CELLULAR AND MOLECULAR LIFE SCIENCES
65,4.490,RNA,97,1,0,4,1,6,6,6,4,10,9,50,CELLULAR AND MOLECULAR LIFE SCIENCES
66,15.678,TRENDS BIOCHEM SCI,96,0,7,9,4,7,8,1,5,7,9,39,CELLULAR AND MOLECULAR LIFE SCIENCES
67, ,ONCOTARGET,92,4,33,40,9,4,1,0,1,0,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
68,3.304,CELL CYCLE,91,2,8,7,10,10,10,11,4,9,5,15,CELLULAR AND MOLECULAR LIFE SCIENCES
69,18.564,TRENDS CELL BIOL,90,2,10,14,13,8,6,1,3,3,2,28,CELLULAR AND MOLECULAR LIFE SCIENCES
70,3.687,INT J MOL SCI,89,2,30,18,12,18,5,0,3,1,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
71,41.982,NAT REV IMMUNOL,86,1,3,6,11,9,10,6,10,5,6,19,CELLULAR AND MOLECULAR LIFE SCIENCES
72,8.000,CELL DEATH DIFFER,83,1,10,8,5,6,4,6,8,3,6,26,CELLULAR AND MOLECULAR LIFE SCIENCES
73,7.273,DIABETES,82,1,5,6,11,10,4,8,3,3,3,28,CELLULAR AND MOLECULAR LIFE SCIENCES
74,24.014,PHYSIOL REV,80,1,2,4,6,7,3,8,2,1,4,42,CELLULAR AND MOLECULAR LIFE SCIENCES
75,3.454,AM J PHYSIOL-CELL PH,79,0,4,6,5,1,4,7,4,3,2,43,CELLULAR AND MOLECULAR LIFE SCIENCES
76,22.844,CANCER CELL,79,0,4,9,18,5,5,4,1,7,4,22,CELLULAR AND MOLECULAR LIFE SCIENCES
77,3.309,EXP CELL RES,79,0,5,5,8,5,4,1,3,3,2,43,CELLULAR AND MOLECULAR LIFE SCIENCES
78,6.020,FREE RADICAL BIO MED,79,4,8,7,5,8,2,4,2,6,3,30,CELLULAR AND MOLECULAR LIFE SCIENCES
79,3.495,BIOPHYS J,78,0,2,6,7,3,8,6,6,2,7,31,CELLULAR AND MOLECULAR LIFE SCIENCES
80,10.015,CURR OPIN CELL BIOL,77,0,8,9,4,10,4,5,6,3,5,23,CELLULAR AND MOLECULAR LIFE SCIENCES
81,3.247,INT J BIOCHEM CELL B,77,0,1,2,14,5,9,5,4,6,6,25,CELLULAR AND MOLECULAR LIFE SCIENCES
82,5.949,PLANT PHYSIOL,77,1,6,3,7,7,0,2,5,2,4,40,CELLULAR AND MOLECULAR LIFE SCIENCES
83,3.569,AM J PHYSIOL-HEART C,76,0,4,4,5,4,4,6,4,5,3,37,CELLULAR AND MOLECULAR LIFE SCIENCES
84,53.254,LANCET,76,0,5,7,3,1,3,6,2,3,4,42,CELLULAR AND MOLECULAR LIFE SCIENCES
85,5.296,J MOL CELL CARDIOL,75,0,7,13,4,6,10,5,4,4,1,21,CELLULAR AND MOLECULAR LIFE SCIENCES
86,6.158,PLOS PATHOG,75,0,3,5,11,14,11,11,3,9,5,3,CELLULAR AND MOLECULAR LIFE SCIENCES
87,20.154,ANNU REV BIOCHEM,74,0,0,5,5,2,5,2,5,1,4,45,CELLULAR AND MOLECULAR LIFE SCIENCES
88,10.199,CLIN CANCER RES,73,2,3,5,6,8,5,4,4,5,3,28,CELLULAR AND MOLECULAR LIFE SCIENCES
89,7.616,ELIFE,73,0,22,31,14,5,1,0,0,0,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
90,3.961,ENDOCRINOLOGY,70,0,1,5,2,3,2,4,4,5,6,38,CELLULAR AND MOLECULAR LIFE SCIENCES
91,4.277,ANN NY ACAD SCI,68,0,1,3,1,3,6,0,5,2,3,44,CELLULAR AND MOLECULAR LIFE SCIENCES
92,8.749,EMBO REP,68,1,9,12,5,3,2,5,0,7,3,21,CELLULAR AND MOLECULAR LIFE SCIENCES
93,3.923,J CELL PHYSIOL,68,2,4,3,3,6,2,9,3,6,2,28,CELLULAR AND MOLECULAR LIFE SCIENCES
94,26.919,NAT METHODS,68,1,5,6,7,13,7,7,4,5,4,9,CELLULAR AND MOLECULAR LIFE SCIENCES
95,4.651,BBA-MOL CELL RES,66,1,8,7,3,8,6,7,3,4,2,17,CELLULAR AND MOLECULAR LIFE SCIENCES
96,9.247,CSH PERSPECT BIOL,66,5,6,4,1,22,8,6,13,1,0,0,CELLULAR AND MOLECULAR LIFE SCIENCES
