Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"23,341",6.721,6.619,6.134,1.663,288,7.3,7.6,0.041,2.014,26.04,4.82700,85.73100,CELLULAR AND MOLECULAR LIFE SCIENCES
2016,"21,448",5.788,5.705,5.643,1.564,289,7.3,7.7,0.04259,1.970,28.37,4.88271,82.53200,CELLULAR AND MOLECULAR LIFE SCIENCES
2015,"20,290",5.694,5.612,5.570,1.237,308,6.8,7.6,0.04388,1.940,30.52,5.00129,83.40700,CELLULAR AND MOLECULAR LIFE SCIENCES
2014,"19,985",5.808,5.723,6.005,1.345,304,6.3,7.6,0.04904,2.087,31.25,5.49217,82.97300,CELLULAR AND MOLECULAR LIFE SCIENCES
2013,"19,252",5.856,5.786,6.455,1.570,300,5.8,7.4,0.05712,2.313,30.67,6.29608,82.16900,CELLULAR AND MOLECULAR LIFE SCIENCES
2012,"17,974",5.615,5.551,6.359,1.072,290,5.6,6.7,0.05844,2.284,37.59,Not Available,81.11100,CELLULAR AND MOLECULAR LIFE SCIENCES
2011,"16,807",6.570,6.499,6.534,1.017,301,5.2,7.0,0.0652,2.502,39.53,Not Available,85.07400,CELLULAR AND MOLECULAR LIFE SCIENCES
2010,"15,469",7.047,6.984,6.609,1.163,301,4.9,6.7,0.06853,2.551,46.51,Not Available,85.12000,CELLULAR AND MOLECULAR LIFE SCIENCES
2009,"13,428",6.090,6.008,5.928,0.951,288,4.8,6.7,0.06648,2.340,32.64,Not Available,83.65200,CELLULAR AND MOLECULAR LIFE SCIENCES
2008,"11,354",5.511,5.439,5.457,0.970,302,4.6,6.6,0.06242,2.172,26.82,Not Available,82.10400,CELLULAR AND MOLECULAR LIFE SCIENCES
2007,"9,749",5.239,5.143,5.260,0.597,273,4.4,5.8,0.05913,2.093,27.84,Not Available,80.48200,CELLULAR AND MOLECULAR LIFE SCIENCES
2006,"8,180",4.655,4.559,Not Available,0.739,257,4.2,5.8,Not Available,Not Available,36.96,Not Available,75.85500,CELLULAR AND MOLECULAR LIFE SCIENCES
2004,"5,956",4.812,4.682,Not Available,0.530,268,3.7,5.3,Not Available,Not Available,46.64,Not Available,79.12600,CELLULAR AND MOLECULAR LIFE SCIENCES
2003,"4,765",4.995,4.905,Not Available,0.359,234,3.5,5.3,Not Available,Not Available,44.44,Not Available,81.89100,CELLULAR AND MOLECULAR LIFE SCIENCES
2002,"3,959",5.259,5.170,Not Available,0.492,191,3.0,5.9,Not Available,Not Available,32.46,Not Available,82.32200,CELLULAR AND MOLECULAR LIFE SCIENCES
2001,"2,738",4.539,4.489,Not Available,0.590,178,2.6,5.3,Not Available,Not Available,28.65,Not Available,83.05800,CELLULAR AND MOLECULAR LIFE SCIENCES
2000,"1,700",3.668,3.639,Not Available,0.355,169,2.0,5.0,Not Available,Not Available,22.49,Not Available,81.44300,CELLULAR AND MOLECULAR LIFE SCIENCES
1999,815,2.891,2.813,Not Available,0.447,217,1.8,4.6,Not Available,Not Available,22.58,Not Available,75.35900,CELLULAR AND MOLECULAR LIFE SCIENCES
1998,246,1.545,1.500,Not Available,0.519,135,1.3,4.9,Not Available,Not Available,40.74,Not Available,52.98300,CELLULAR AND MOLECULAR LIFE SCIENCES
1997,26,Not Available,Not Available,Not Available,0.232,112,Not Available,5.9,Not Available,Not Available,62.50,Not Available,1.63900,CELLULAR AND MOLECULAR LIFE SCIENCES
