,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,29570,834,2179,2691,2139,1831,1925,1759,1657,2127,1861,10567,CEREBRAL CORTEX
2,,ALL OTHERS (860),860,24,47,58,76,47,52,50,47,54,41,364,CEREBRAL CORTEX
3,5.426,NEUROIMAGE,1570,28,150,171,153,109,113,81,96,131,101,437,CEREBRAL CORTEX
4,6.308,CEREB CORTEX,1393,31,102,150,113,111,87,86,90,109,95,419,CEREBRAL CORTEX
5,4.122,SCI REP-UK,1283,50,114,99,111,96,81,88,61,77,76,430,CEREBRAL CORTEX
6,5.971,J NEUROSCI,890,44,81,101,67,44,47,43,52,56,61,294,CEREBRAL CORTEX
7,4.927,HUM BRAIN MAPP,865,18,66,71,73,58,75,46,53,87,59,259,CEREBRAL CORTEX
8,2.766,PLOS ONE,714,11,29,58,42,35,51,40,39,67,27,315,CEREBRAL CORTEX
9,2.871,FRONT HUM NEUROSCI,605,24,35,54,37,40,25,45,36,52,43,214,CEREBRAL CORTEX
10,2.889,NEUROPSYCHOLOGIA,540,7,34,32,44,25,42,33,33,49,28,213,CEREBRAL CORTEX
11,4.907,CORTEX,510,4,39,53,45,43,29,27,37,44,41,148,CEREBRAL CORTEX
12,4.231,BRAIN STRUCT FUNCT,471,15,21,46,46,23,35,27,22,36,32,168,CEREBRAL CORTEX
13,,FRONT PSYCHOL,458,11,27,33,27,37,39,22,26,30,31,175,CEREBRAL CORTEX
14,3.877,FRONT NEUROSCI-SWITZ,454,26,32,42,30,22,37,22,25,38,32,148,CEREBRAL CORTEX
15,8.037,NEUROSCI BIOBEHAV R,422,7,43,50,32,30,28,25,23,26,19,139,CEREBRAL CORTEX
16,3.382,NEUROSCIENCE,396,1,26,31,21,26,15,29,29,23,18,177,CEREBRAL CORTEX
17,2.502,J NEUROPHYSIOL,317,15,18,30,19,18,18,22,15,22,18,122,CEREBRAL CORTEX
18,7.616,ELIFE,297,23,31,29,24,18,24,22,9,12,18,87,CEREBRAL CORTEX
19,9.504,P NATL ACAD SCI USA,267,16,33,25,22,18,15,10,17,19,13,79,CEREBRAL CORTEX
20,3.869,NEUROIMAGE-CLIN,263,3,14,22,19,19,16,23,18,32,17,80,CEREBRAL CORTEX
21,3.500,SOC COGN AFFECT NEUR,260,7,21,16,26,22,29,9,14,16,23,77,CEREBRAL CORTEX
22,3.468,J COGNITIVE NEUROSCI,254,2,13,21,22,20,20,6,18,18,15,99,CEREBRAL CORTEX
23,3.582,FRONT AGING NEUROSCI,253,13,19,24,11,7,14,26,16,13,29,81,CEREBRAL CORTEX
24,14.319,NEURON,233,15,37,17,5,9,14,10,6,8,9,103,CEREBRAL CORTEX
25,,ENEURO,227,8,17,25,19,13,7,10,17,13,18,80,CEREBRAL CORTEX
26,2.851,BRAIN LANG,210,1,10,28,15,15,18,13,17,23,14,56,CEREBRAL CORTEX
27,3.173,BEHAV BRAIN RES,208,4,10,14,13,8,14,10,11,22,13,89,CEREBRAL CORTEX
28,3.152,FRONT NEUROANAT,195,16,9,17,3,8,11,15,10,15,15,76,CEREBRAL CORTEX
29,3.719,BRAIN IMAGING BEHAV,193,2,8,13,13,22,14,19,12,21,12,57,CEREBRAL CORTEX
30,3.125,BRAIN RES,183,1,6,16,7,7,14,12,11,8,20,81,CEREBRAL CORTEX
31,4.300,FRONT CELL NEUROSCI,179,15,14,23,9,15,10,7,14,10,9,53,CEREBRAL CORTEX
32,2.832,EUR J NEUROSCI,178,7,10,16,11,9,10,8,8,13,16,70,CEREBRAL CORTEX
33,4.454,NEUROBIOL AGING,176,2,18,10,13,8,13,10,7,13,17,65,CEREBRAL CORTEX
34,12.353,NAT COMMUN,172,8,16,20,15,7,19,8,14,7,5,53,CEREBRAL CORTEX
35,1.806,EXP BRAIN RES,169,5,10,14,14,4,10,9,10,17,11,65,CEREBRAL CORTEX
36,3.400,J COMP NEUROL,155,2,5,14,5,9,4,8,9,19,7,73,CEREBRAL CORTEX
37,2.824,HEARING RES,154,0,7,11,7,6,4,2,12,9,11,85,CEREBRAL CORTEX
38,15.557,TRENDS COGN SCI,152,11,31,22,8,6,9,5,11,5,8,36,CEREBRAL CORTEX
39,3.614,CLIN NEUROPHYSIOL,144,3,12,24,11,17,8,10,7,13,14,25,CEREBRAL CORTEX
40,3.138,FRONT BEHAV NEUROSCI,144,10,14,12,6,5,5,8,7,11,9,57,CEREBRAL CORTEX
41,3.476,J ALZHEIMERS DIS,140,0,8,7,12,7,12,10,7,17,9,51,CEREBRAL CORTEX
42,3.131,FRONT NEURAL CIRCUIT,138,10,10,15,5,10,5,4,8,7,3,61,CEREBRAL CORTEX
43,2.086,LANG COGN NEUROSCI,130,4,11,19,9,10,5,3,13,3,12,41,CEREBRAL CORTEX
44,3.244,NEUROBIOL LEARN MEM,126,1,15,15,10,10,4,7,8,11,4,41,CEREBRAL CORTEX
45,4.249,NEUROPHARMACOLOGY,125,3,12,10,8,7,3,10,9,11,8,44,CEREBRAL CORTEX
46,3.955,PLOS COMPUT BIOL,116,2,5,8,16,6,6,7,5,7,3,51,CEREBRAL CORTEX
