,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,32461,129,779,1914,2352,2514,2302,2126,1905,1914,1614,14912,CEREBRAL CORTEX
2, ,ALL OTHERS (1398),1398,4,38,90,87,77,77,58,66,56,57,788,CEREBRAL CORTEX
3,5.971,J NEUROSCI,2748,1,37,159,220,253,192,239,196,183,145,1123,CEREBRAL CORTEX
4,5.426,NEUROIMAGE,2118,10,60,126,185,205,245,191,171,96,78,751,CEREBRAL CORTEX
5,14.319,NEURON,1532,4,27,80,108,140,123,139,98,94,93,626,CEREBRAL CORTEX
6,6.308,CEREB CORTEX,1393,31,102,150,113,111,87,86,90,109,95,419,CEREBRAL CORTEX
7,9.504,P NATL ACAD SCI USA,1280,0,21,68,71,95,92,84,116,118,63,552,CEREBRAL CORTEX
8,19.912,NAT NEUROSCI,961,7,26,53,57,102,64,64,56,57,41,434,CEREBRAL CORTEX
9,41.577,NATURE,782,2,15,18,32,52,54,43,35,49,38,444,CEREBRAL CORTEX
10,41.058,SCIENCE,759,4,11,18,32,26,25,20,38,31,34,520,CEREBRAL CORTEX
11,2.502,J NEUROPHYSIOL,744,0,2,26,17,24,39,54,45,38,34,465,CEREBRAL CORTEX
12,3.400,J COMP NEUROL,627,1,5,3,14,12,5,9,9,15,19,535,CEREBRAL CORTEX
13,32.635,NAT REV NEUROSCI,572,3,11,23,26,44,42,29,39,58,53,244,CEREBRAL CORTEX
14,4.927,HUM BRAIN MAPP,450,4,13,33,67,35,33,21,21,46,12,165,CEREBRAL CORTEX
15,2.766,PLOS ONE,429,0,6,33,68,105,83,48,23,26,24,13,CEREBRAL CORTEX
16,15.557,TRENDS COGN SCI,400,1,7,18,19,51,40,41,23,17,21,162,CEREBRAL CORTEX
17,3.468,J COGNITIVE NEUROSCI,397,1,3,28,28,32,24,31,27,21,30,172,CEREBRAL CORTEX
18,10.848,BRAIN,378,0,8,20,22,16,14,16,23,16,16,227,CEREBRAL CORTEX
19,2.889,NEUROPSYCHOLOGIA,354,1,9,12,18,28,19,32,22,19,24,170,CEREBRAL CORTEX
20,3.382,NEUROSCIENCE,341,3,3,22,21,21,8,13,7,21,16,206,CEREBRAL CORTEX
21,2.832,EUR J NEUROSCI,330,0,4,14,11,12,23,17,16,10,30,193,CEREBRAL CORTEX
22,3.125,BRAIN RES,321,0,4,9,3,9,8,18,22,9,10,229,CEREBRAL CORTEX
23,11.984,BIOL PSYCHIAT,274,3,7,14,16,16,25,35,23,16,14,105,CEREBRAL CORTEX
24,11.439,TRENDS NEUROSCI,239,1,0,11,6,13,18,7,13,11,14,145,CEREBRAL CORTEX
25,6.541,CURR OPIN NEUROBIOL,237,2,3,12,25,22,12,6,16,3,8,128,CEREBRAL CORTEX
26,4.540,J PHYSIOL-LONDON,220,0,4,4,6,13,8,12,3,7,5,158,CEREBRAL CORTEX
27,14.675,ANNU REV NEUROSCI,205,0,4,6,7,4,16,8,11,16,6,127,CEREBRAL CORTEX
