Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"29,570",6.308,5.981,6.800,1.891,441,7.9,9.2,0.059,2.703,100.00,6.88400,90.99600,CEREBRAL CORTEX
2016,"27,496",6.559,6.314,6.943,1.716,363,7.5,9.3,0.06312,2.969,100.00,7.24711,92.08500,CEREBRAL CORTEX
2015,"26,911",8.285,7.987,7.881,1.423,409,7.1,9.0,0.06806,3.376,100.00,7.75793,93.55500,CEREBRAL CORTEX
2014,"26,191",8.665,8.414,8.335,2.043,282,6.7,9.2,0.06927,3.290,100.00,7.75791,93.84900,CEREBRAL CORTEX
2013,"24,708",8.305,8.059,8.372,2.410,268,6.3,8.8,0.07654,3.462,100.00,8.43607,93.84900,CEREBRAL CORTEX
2012,"21,409",6.828,6.530,7.463,2.050,258,6.0,7.9,0.07485,3.117,100.00,Not Available,90.67500,CEREBRAL CORTEX
2011,"19,105",6.544,6.231,7.058,1.623,260,5.8,8.4,0.07277,2.997,100.00,Not Available,91.18900,CEREBRAL CORTEX
2010,"17,284",6.844,6.434,7.200,1.428,264,5.5,8.1,0.07334,3.019,97.73,Not Available,91.84100,CEREBRAL CORTEX
2009,"15,940",6.979,6.611,7.427,1.575,275,5.4,8.0,0.07424,3.211,93.82,Not Available,91.99100,CEREBRAL CORTEX
2008,"13,154",5.907,5.514,6.939,1.619,270,5.4,7.6,0.06793,3.128,91.85,Not Available,90.27100,CEREBRAL CORTEX
2007,"11,408",6.519,6.049,7.001,1.392,306,5.6,7.6,0.05777,3.098,97.39,Not Available,92.65400,CEREBRAL CORTEX
2006,"9,614",6.368,6.012,Not Available,1.124,209,5.7,7.2,Not Available,Not Available,94.74,Not Available,91.75000,CEREBRAL CORTEX
2005,"8,440",6.187,5.805,Not Available,1.203,192,5.5,7.3,Not Available,Not Available,96.88,Not Available,91.25000,CEREBRAL CORTEX
2004,"7,096",5.322,4.977,Not Available,1.097,134,5.0,6.9,Not Available,Not Available,95.52,Not Available,90.65700,CEREBRAL CORTEX
2003,"6,483",5.626,5.277,Not Available,1.065,139,4.9,6.7,Not Available,Not Available,94.24,Not Available,91.16200,CEREBRAL CORTEX
2002,"5,331",6.188,5.857,Not Available,0.930,128,5.3,6.8,Not Available,Not Available,97.66,Not Available,93.14700,CEREBRAL CORTEX
2001,"4,923",6.578,6.260,Not Available,0.709,110,5.1,7.1,Not Available,Not Available,90.00,Not Available,91.16200,CEREBRAL CORTEX
2000,"4,007",4.822,4.638,Not Available,0.741,108,4.8,7.1,Not Available,Not Available,84.26,Not Available,88.42400,CEREBRAL CORTEX
1999,"3,575",5.901,5.572,Not Available,0.726,84,4.5,6.6,Not Available,Not Available,96.43,Not Available,92.78600,CEREBRAL CORTEX
1998,"3,083",7.413,6.985,Not Available,0.868,68,4.2,6.9,Not Available,Not Available,94.12,Not Available,96.28700,CEREBRAL CORTEX
1997,"2,384",5.581,5.302,Not Available,1.190,63,3.9,6.9,Not Available,Not Available,88.89,Not Available,90.33300,CEREBRAL CORTEX
