,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,56595,1045,3768,4475,4558,4087,3993,3203,3379,3171,3001,21915,CURRENT BIOLOGY
2,,ALL OTHERS (1614),1614,19,86,105,139,90,117,99,77,111,77,694,CURRENT BIOLOGY
3,4.122,SCI REP-UK,2566,37,190,191,193,206,181,129,151,152,148,988,CURRENT BIOLOGY
4,9.251,CURR BIOL,1422,266,164,159,151,121,105,65,58,68,58,207,CURRENT BIOLOGY
5,2.766,PLOS ONE,1299,13,69,99,96,94,74,67,89,70,71,557,CURRENT BIOLOGY
6,7.616,ELIFE,1141,31,89,98,106,92,85,61,71,54,62,392,CURRENT BIOLOGY
7,12.353,NAT COMMUN,958,11,64,79,74,58,77,67,58,63,43,364,CURRENT BIOLOGY
8,9.504,P NATL ACAD SCI USA,937,22,95,86,73,76,67,51,67,34,52,314,CURRENT BIOLOGY
9,5.971,J NEUROSCI,486,10,47,57,62,47,56,30,27,29,30,91,CURRENT BIOLOGY
10,5.413,DEVELOPMENT,483,14,35,32,26,32,35,22,37,18,24,208,CURRENT BIOLOGY
11,3.677,FRONT PLANT SCI,459,9,35,21,24,45,32,35,16,23,37,182,CURRENT BIOLOGY
12,3.512,MOL BIOL CELL,453,3,16,24,43,35,30,20,26,39,26,191,CURRENT BIOLOGY
13,5.540,PLOS GENET,435,2,22,24,25,21,23,31,39,14,24,210,CURRENT BIOLOGY
14,4.075,GENETICS,426,4,17,28,39,17,29,27,34,17,15,199,CURRENT BIOLOGY
15,8.784,J CELL BIOL,423,6,27,19,37,42,30,25,13,30,21,173,CURRENT BIOLOGY
16,4.401,J CELL SCI,416,2,15,30,34,43,22,19,30,24,22,175,CURRENT BIOLOGY
17,,ONCOTARGET,414,3,8,15,21,15,25,16,18,12,20,261,CURRENT BIOLOGY
18,5.949,PLANT PHYSIOL,391,1,35,42,18,31,35,54,21,26,20,108,CURRENT BIOLOGY
19,5.666,PHILOS T R SOC B,349,3,39,37,38,33,25,18,36,20,28,72,CURRENT BIOLOGY
20,9.616,DEV CELL,347,11,13,29,16,23,22,22,33,17,15,146,CURRENT BIOLOGY
21,5.426,NEUROIMAGE,330,0,15,30,28,25,41,35,24,31,23,78,CURRENT BIOLOGY
22,8.032,CELL REP,328,4,17,21,38,15,22,10,30,11,12,148,CURRENT BIOLOGY
23,14.319,NEURON,320,6,34,32,39,26,27,22,23,12,21,78,CURRENT BIOLOGY
24,4.011,J BIOL CHEM,317,3,14,19,18,11,10,17,13,11,14,187,CURRENT BIOLOGY
25,3.262,DEV BIOL,310,4,17,22,18,8,16,16,17,20,18,154,CURRENT BIOLOGY
26,4.847,P ROY SOC B-BIOL SCI,302,8,44,40,26,29,21,14,17,23,13,67,CURRENT BIOLOGY
27,3.687,INT J MOL SCI,301,3,17,11,28,16,13,16,19,20,8,150,CURRENT BIOLOGY
28,,FRONT PSYCHOL,295,7,15,29,19,22,35,15,20,22,22,89,CURRENT BIOLOGY
29,3.179,J EXP BIOL,289,10,40,31,25,18,23,14,26,15,21,66,CURRENT BIOLOGY
30,5.354,J EXP BOT,276,2,25,32,27,24,20,26,12,17,15,76,CURRENT BIOLOGY
31,6.131,MOL ECOL,262,0,33,31,26,24,22,19,20,13,10,64,CURRENT BIOLOGY
32,,METHOD MOL BIOL,247,0,2,19,9,10,13,19,15,14,12,134,CURRENT BIOLOGY
33,2.502,J NEUROPHYSIOL,234,5,26,27,23,18,15,14,6,15,17,68,CURRENT BIOLOGY
34,11.561,NUCLEIC ACIDS RES,232,0,8,14,8,9,14,5,24,11,10,129,CURRENT BIOLOGY
35,2.266,J VISION,229,4,15,50,10,12,27,11,13,9,12,66,CURRENT BIOLOGY
36,7.433,NEW PHYTOL,222,1,28,19,16,13,19,22,14,12,14,64,CURRENT BIOLOGY
37,8.228,PLANT CELL,220,5,19,12,16,16,8,23,20,9,16,76,CURRENT BIOLOGY
38,41.058,SCIENCE,219,7,33,26,25,16,17,12,18,8,11,46,CURRENT BIOLOGY
39,3.067,ANIM BEHAV,211,0,10,23,11,17,22,12,27,14,26,49,CURRENT BIOLOGY
40,2.742,G3-GENES GENOM GENET,197,2,9,7,12,11,16,9,19,9,10,93,CURRENT BIOLOGY
41,6.138,SEMIN CELL DEV BIOL,196,2,10,13,19,22,20,11,8,6,5,80,CURRENT BIOLOGY
42,2.504,ROY SOC OPEN SCI,195,6,15,30,16,11,23,9,20,14,11,40,CURRENT BIOLOGY
43,9.247,CSH PERSPECT BIOL,192,0,1,19,18,20,13,11,16,15,9,70,CURRENT BIOLOGY
44,2.118,PEERJ,187,5,15,18,25,16,14,11,5,11,14,53,CURRENT BIOLOGY
45,3.730,BMC GENOMICS,186,2,13,9,8,12,17,8,10,3,9,95,CURRENT BIOLOGY
46,2.871,FRONT HUM NEUROSCI,183,5,11,14,16,9,33,5,13,12,17,48,CURRENT BIOLOGY
47,3.877,FRONT NEUROSCI-SWITZ,182,8,13,13,17,12,23,11,9,9,12,55,CURRENT BIOLOGY
48,8.037,NEUROSCI BIOBEHAV R,180,1,16,23,13,10,18,12,15,9,16,47,CURRENT BIOLOGY
49,31.398,CELL,177,4,20,13,18,20,6,10,13,5,8,60,CURRENT BIOLOGY
50,7.349,CURR OPIN PLANT BIOL,175,6,31,19,23,15,9,13,6,8,11,34,CURRENT BIOLOGY
51,6.721,CELL MOL LIFE SCI,173,0,3,11,12,8,9,6,10,14,6,94,CURRENT BIOLOGY
52,41.577,NATURE,172,2,24,19,22,11,12,8,10,2,14,48,CURRENT BIOLOGY
53,6.308,CEREB CORTEX,170,0,3,15,17,15,20,15,9,14,12,50,CURRENT BIOLOGY
54,10.217,MOL BIOL EVOL,170,3,28,21,13,4,13,10,16,13,7,42,CURRENT BIOLOGY
55,4.019,FRONT MICROBIOL,165,4,9,25,19,10,11,11,9,4,7,56,CURRENT BIOLOGY
56,3.955,PLOS COMPUT BIOL,165,4,14,16,14,19,13,8,9,7,12,49,CURRENT BIOLOGY
57,10.015,CURR OPIN CELL BIOL,164,7,25,20,14,9,8,10,15,9,6,41,CURRENT BIOLOGY
58,3.495,BIOPHYS J,158,4,11,11,8,16,10,9,12,11,11,55,CURRENT BIOLOGY
59,9.163,PLOS BIOL,158,2,20,18,10,21,15,10,6,3,5,48,CURRENT BIOLOGY
60,3.027,BMC EVOL BIOL,157,3,21,14,16,9,9,9,11,9,8,48,CURRENT BIOLOGY
61,5.775,PLANT J,156,2,8,12,7,11,14,11,9,8,9,65,CURRENT BIOLOGY
62,2.340,ECOL EVOL,153,2,11,11,12,12,14,13,7,14,11,46,CURRENT BIOLOGY
63,3.191,GENES-BASEL,150,4,12,9,9,11,7,11,5,0,5,77,CURRENT BIOLOGY
64,4.419,BIOESSAYS,146,5,15,19,10,9,4,10,8,10,9,47,CURRENT BIOLOGY
65,2.559,BIOCHEM BIOPH RES CO,145,1,3,4,10,2,4,3,6,4,7,101,CURRENT BIOLOGY
66,,NAT ECOL EVOL,145,8,17,26,12,17,15,9,3,8,4,26,CURRENT BIOLOGY
67,10.557,EMBO J,140,1,6,5,9,13,11,5,5,8,5,72,CURRENT BIOLOGY
68,2.889,NEUROPSYCHOLOGIA,140,0,2,11,10,6,13,13,11,15,11,48,CURRENT BIOLOGY
69,6.541,CURR OPIN NEUROBIOL,137,6,27,26,23,10,15,3,0,4,5,18,CURRENT BIOLOGY
70,3.940,GENOME BIOL EVOL,134,2,16,11,7,11,5,15,2,6,7,52,CURRENT BIOLOGY
71,1.900,MECH DEVELOP,134,0,8,12,13,12,8,3,5,6,3,64,CURRENT BIOLOGY
72,1.806,EXP BRAIN RES,133,0,1,1,6,5,13,9,8,11,12,67,CURRENT BIOLOGY
