,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,29404,1267,2394,2504,2224,2120,1903,1644,1543,1385,1249,11171,CURRENT BIOLOGY
2, ,ALL OTHERS (2285),2285,74,144,131,112,106,101,94,95,85,78,1265,CURRENT BIOLOGY
3,9.251,CURR BIOL,1422,266,164,159,151,121,105,65,58,68,58,207,CURRENT BIOLOGY
4,41.577,NATURE,1368,54,81,121,61,105,81,54,85,63,63,600,CURRENT BIOLOGY
5,9.504,P NATL ACAD SCI USA,1351,36,101,152,124,113,92,112,77,67,63,414,CURRENT BIOLOGY
6,41.058,SCIENCE,1166,52,61,92,80,59,81,70,61,49,55,506,CURRENT BIOLOGY
7,5.971,J NEUROSCI,800,16,36,45,55,61,45,64,48,57,41,332,CURRENT BIOLOGY
8,31.398,CELL,695,21,65,38,62,46,43,37,34,36,36,277,CURRENT BIOLOGY
9,14.319,NEURON,596,17,54,67,63,43,39,49,37,16,29,182,CURRENT BIOLOGY
10,2.766,PLOS ONE,473,8,34,43,53,111,75,54,29,37,16,13,CURRENT BIOLOGY
11,8.784,J CELL BIOL,459,11,23,31,35,28,21,12,30,14,22,232,CURRENT BIOLOGY
12,5.413,DEVELOPMENT,390,3,21,18,20,23,22,22,17,16,18,210,CURRENT BIOLOGY
13,19.912,NAT NEUROSCI,375,15,29,33,33,34,23,16,21,21,25,125,CURRENT BIOLOGY
14,7.616,ELIFE,300,57,93,73,53,23,1,0,0,0,0,0,CURRENT BIOLOGY
15,12.353,NAT COMMUN,299,37,63,79,55,36,17,10,2,0,0,0,CURRENT BIOLOGY
16,4.847,P ROY SOC B-BIOL SCI,254,11,21,15,19,28,25,10,13,14,5,93,CURRENT BIOLOGY
17,9.616,DEV CELL,246,9,28,28,19,24,18,18,17,12,13,60,CURRENT BIOLOGY
18,2.502,J NEUROPHYSIOL,246,2,10,14,15,3,12,10,8,11,14,147,CURRENT BIOLOGY
19,19.064,NAT CELL BIOL,232,9,18,33,11,23,24,22,13,11,12,56,CURRENT BIOLOGY
20,8.228,PLANT CELL,231,5,13,17,17,13,17,17,18,8,12,94,CURRENT BIOLOGY
21,3.179,J EXP BIOL,219,6,14,18,14,9,10,14,15,5,10,104,CURRENT BIOLOGY
22,4.011,J BIOL CHEM,198,1,6,7,12,16,12,12,13,5,5,109,CURRENT BIOLOGY
23,3.400,J COMP NEUROL,195,1,4,6,6,8,7,7,5,11,9,131,CURRENT BIOLOGY
24,5.949,PLANT PHYSIOL,195,6,14,22,15,12,12,16,10,11,9,68,CURRENT BIOLOGY
25,9.462,GENE DEV,194,2,10,6,10,10,8,9,5,18,14,102,CURRENT BIOLOGY
26,9.163,PLOS BIOL,194,5,15,7,16,16,10,21,30,9,15,50,CURRENT BIOLOGY
27,5.481,BIOINFORMATICS,192,1,4,7,31,13,14,20,20,42,5,35,CURRENT BIOLOGY
28,11.561,NUCLEIC ACIDS RES,190,8,18,18,16,13,11,14,7,5,3,77,CURRENT BIOLOGY
29,10.217,MOL BIOL EVOL,188,6,16,21,16,19,21,11,14,8,11,45,CURRENT BIOLOGY
30,4.075,GENETICS,187,3,11,11,11,3,17,4,10,10,4,103,CURRENT BIOLOGY
31,5.666,PHILOS T R SOC B,180,4,15,18,22,8,8,11,17,9,7,61,CURRENT BIOLOGY
32,10.557,EMBO J,179,6,9,9,7,12,15,10,10,17,6,78,CURRENT BIOLOGY
33,32.635,NAT REV NEUROSCI,178,3,10,12,15,11,14,8,11,17,11,66,CURRENT BIOLOGY
34,4.401,J CELL SCI,171,3,16,17,7,17,13,13,9,6,7,63,CURRENT BIOLOGY
35,3.512,MOL BIOL CELL,167,5,15,12,11,11,11,6,7,9,13,67,CURRENT BIOLOGY
36,3.262,DEV BIOL,158,1,5,4,7,10,4,12,11,8,6,90,CURRENT BIOLOGY
37,5.540,PLOS GENET,157,5,19,20,23,22,17,13,14,6,5,13,CURRENT BIOLOGY
38,5.775,PLANT J,156,3,5,8,12,8,15,18,11,8,10,58,CURRENT BIOLOGY
39,5.426,NEUROIMAGE,140,6,14,10,23,9,18,9,8,4,3,36,CURRENT BIOLOGY
40,26.919,NAT METHODS,139,4,5,10,18,12,56,7,8,8,5,6,CURRENT BIOLOGY
41,4.122,SCI REP-UK,139,17,58,38,11,9,4,2,0,0,0,0,CURRENT BIOLOGY
42,14.248,MOL CELL,138,8,21,12,7,9,10,3,7,13,9,39,CURRENT BIOLOGY
43,35.612,NAT REV MOL CELL BIO,121,6,7,14,12,13,10,13,12,11,3,20,CURRENT BIOLOGY
44,8.032,CELL REP,116,6,23,26,29,16,16,0,0,0,0,0,CURRENT BIOLOGY
45,6.308,CEREB CORTEX,105,7,12,20,7,7,5,1,5,7,3,31,CURRENT BIOLOGY
46,4.540,J PHYSIOL-LONDON,102,4,1,3,5,5,4,8,2,2,2,66,CURRENT BIOLOGY
47,27.125,NAT GENET,102,0,7,4,7,8,11,7,2,1,8,47,CURRENT BIOLOGY
48,7.433,NEW PHYTOL,100,7,10,8,8,12,9,5,8,8,2,23,CURRENT BIOLOGY
49,3.067,ANIM BEHAV,95,1,3,2,2,1,5,6,1,6,4,64,CURRENT BIOLOGY
50,15.557,TRENDS COGN SCI,94,6,10,5,9,5,5,6,5,1,6,36,CURRENT BIOLOGY
51,2.069,VISION RES,93,0,2,3,0,2,2,7,3,5,4,65,CURRENT BIOLOGY
52,3.125,BRAIN RES,92,2,2,3,0,3,2,2,1,3,2,72,CURRENT BIOLOGY
53,15.938,TRENDS ECOL EVOL,92,4,9,10,6,13,8,3,2,3,7,27,CURRENT BIOLOGY
54,6.541,CURR OPIN NEUROBIOL,91,2,7,19,10,6,15,4,0,3,3,22,CURRENT BIOLOGY
55,5.354,J EXP BOT,86,4,13,15,8,9,3,5,4,4,5,16,CURRENT BIOLOGY
56,14.675,ANNU REV NEUROSCI,81,2,2,4,3,7,7,2,2,1,10,41,CURRENT BIOLOGY
57,11.439,TRENDS NEUROSCI,79,2,6,6,10,5,3,3,2,3,3,36,CURRENT BIOLOGY
58,3.818,EVOLUTION,78,2,5,1,2,6,3,2,4,2,2,49,CURRENT BIOLOGY
59,1.970,J COMP PHYSIOL A,77,1,2,6,10,1,2,1,1,0,2,51,CURRENT BIOLOGY
60,2.832,EUR J NEUROSCI,76,0,1,3,6,3,2,3,4,5,4,45,CURRENT BIOLOGY
61,2.266,J VISION,75,1,6,5,10,4,5,9,9,12,6,8,CURRENT BIOLOGY
62,10.101,GENOME RES,73,2,5,4,4,12,3,2,7,13,3,18,CURRENT BIOLOGY
63,8.523,SYST BIOL,70,7,7,4,3,11,7,1,5,0,7,18,CURRENT BIOLOGY
64,3.813,MOL CELL BIOL,69,0,0,1,0,4,1,2,4,3,2,52,CURRENT BIOLOGY
65,41.465,NAT REV GENET,69,1,2,6,1,9,12,2,4,3,4,25,CURRENT BIOLOGY
66,3.382,NEUROSCIENCE,68,0,2,7,1,3,2,3,4,3,2,41,CURRENT BIOLOGY
67,4.265,AM NAT,67,1,1,5,4,2,2,1,3,1,0,47,CURRENT BIOLOGY
68,3.495,BIOPHYS J,67,2,8,3,6,3,3,4,3,4,6,25,CURRENT BIOLOGY
69,7.349,CURR OPIN PLANT BIOL,67,6,6,11,12,2,6,3,4,4,2,11,CURRENT BIOLOGY
70,3.955,PLOS COMPUT BIOL,65,4,4,7,7,8,7,10,6,6,4,2,CURRENT BIOLOGY
71,3.219,J BACTERIOL,63,3,2,2,1,2,3,0,0,3,3,44,CURRENT BIOLOGY
72,4.894,J MOL BIOL,62,1,9,1,0,1,0,0,0,1,6,43,CURRENT BIOLOGY
73,3.677,FRONT PLANT SCI,60,1,16,11,12,9,7,4,0,0,0,0,CURRENT BIOLOGY
74,3.027,BMC EVOL BIOL,55,1,1,4,7,4,2,11,7,4,3,11,CURRENT BIOLOGY
75,6.131,MOL ECOL,54,1,7,5,6,3,6,4,4,3,3,12,CURRENT BIOLOGY
76,3.966,HIPPOCAMPUS,53,0,4,5,2,1,8,1,3,0,3,26,CURRENT BIOLOGY
77,1.806,EXP BRAIN RES,52,0,1,1,2,0,1,1,5,1,1,39,CURRENT BIOLOGY
78,18.564,TRENDS CELL BIOL,52,2,4,4,9,8,7,5,4,2,0,7,CURRENT BIOLOGY
79,2.276,MAR ECOL PROG SER,51,0,4,2,2,3,5,1,1,6,3,24,CURRENT BIOLOGY
80,8.037,NEUROSCI BIOBEHAV R,51,4,4,8,2,1,3,1,5,2,2,19,CURRENT BIOLOGY
81,9.247,CSH PERSPECT BIOL,50,1,5,8,11,4,6,9,4,2,0,0,CURRENT BIOLOGY
82,12.149,TRENDS PLANT SCI,50,2,7,5,3,3,2,4,4,3,4,13,CURRENT BIOLOGY
83,3.345,BIOL LETTERS,49,0,5,6,2,5,7,7,5,4,1,7,CURRENT BIOLOGY
84,8.997,GLOBAL CHANGE BIOL,49,6,6,10,3,4,3,3,3,1,4,6,CURRENT BIOLOGY
85,4.412,MOL PHYLOGENET EVOL,49,1,3,5,5,11,0,5,3,4,1,11,CURRENT BIOLOGY
86,12.423,NAT PROTOC,49,1,0,7,3,11,3,4,2,3,6,9,CURRENT BIOLOGY
87,13.214,GENOME BIOL,48,0,2,3,7,8,1,5,2,4,3,13,CURRENT BIOLOGY
88,10.015,CURR OPIN CELL BIOL,47,5,6,6,1,3,4,4,3,2,3,10,CURRENT BIOLOGY
89,9.137,ECOL LETT,46,1,1,7,5,2,7,2,5,3,2,11,CURRENT BIOLOGY
90,8.855,AM J HUM GENET,45,3,4,0,5,2,3,5,1,4,1,17,CURRENT BIOLOGY
91,10.160,ANNU REV ECOL EVOL S,44,0,0,1,5,2,1,0,2,6,3,24,CURRENT BIOLOGY
92,18.712,ANNU REV PLANT BIOL,44,0,5,2,3,6,4,3,4,4,3,10,CURRENT BIOLOGY
93,3.173,BEHAV BRAIN RES,44,0,1,4,0,2,2,0,1,4,0,30,CURRENT BIOLOGY
94,4.617,ECOLOGY,44,1,3,2,3,4,0,0,1,3,4,23,CURRENT BIOLOGY
95,1.605,J ACOUST SOC AM,44,0,0,1,2,2,0,3,0,2,3,31,CURRENT BIOLOGY
96,10.848,BRAIN,43,2,6,5,2,1,0,0,0,1,4,22,CURRENT BIOLOGY
97,3.940,GENOME BIOL EVOL,43,2,13,3,8,11,2,1,3,0,0,0,CURRENT BIOLOGY
98,9.032,ANNU REV CELL DEV BI,42,0,2,4,3,6,6,3,3,0,1,14,CURRENT BIOLOGY
99,4.902,HUM MOL GENET,42,1,2,1,3,2,2,4,5,3,5,14,CURRENT BIOLOGY
100,1.650,BRAIN BEHAV EVOLUT,41,1,0,3,2,0,0,4,3,5,0,23,CURRENT BIOLOGY
