Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"56,595",9.251,8.888,9.972,2.272,460,7.9,7.4,0.137,4.758,93.91,16.02900,92.31600,CURRENT BIOLOGY
2016,"52,274",8.851,8.519,9.704,2.396,449,7.8,7.3,0.13465,4.736,93.32,15.45562,91.94200,CURRENT BIOLOGY
2015,"49,471",8.983,8.654,9.733,2.378,442,7.6,7.1,0.14179,4.932,94.57,16.16102,91.58500,CURRENT BIOLOGY
2014,"48,575",9.571,9.183,10.134,2.207,440,7.4,6.7,0.14406,4.990,92.50,16.13455,92.20100,CURRENT BIOLOGY
2013,"46,037",9.916,9.534,10.227,2.266,391,7.0,6.7,0.15522,5.308,92.84,17.10870,91.82100,CURRENT BIOLOGY
2012,"43,191",9.494,9.180,10.445,2.307,371,6.8,6.5,0.16637,5.551,92.18,Not Available,91.00000,CURRENT BIOLOGY
2011,"41,572",9.647,9.305,10.881,2.360,333,6.3,6.0,0.18607,5.888,91.29,Not Available,92.42500,CURRENT BIOLOGY
2010,"39,883",10.026,9.658,11.436,2.358,366,5.9,5.8,0.20664,6.314,91.26,Not Available,92.37400,CURRENT BIOLOGY
2009,"37,237",10.992,10.559,11.571,2.190,357,5.6,5.7,0.23416,6.762,91.60,Not Available,94.87600,CURRENT BIOLOGY
2008,"33,409",10.777,10.360,11.142,2.176,352,5.2,5.4,0.25279,6.842,95.45,Not Available,95.45500,CURRENT BIOLOGY
2007,"30,816",10.539,10.128,10.630,2.407,332,5.0,5.3,0.26126,6.733,96.39,Not Available,94.86700,CURRENT BIOLOGY
2006,"28,406",10.988,10.564,Not Available,2.465,340,4.7,4.8,Not Available,Not Available,96.18,Not Available,94.84700,CURRENT BIOLOGY
2005,"26,820",11.732,11.299,Not Available,2.336,330,4.3,4.7,Not Available,Not Available,96.06,Not Available,95.97700,CURRENT BIOLOGY
2004,"25,144",11.901,11.455,Not Available,2.569,334,4.0,4.3,Not Available,Not Available,94.91,Not Available,95.97700,CURRENT BIOLOGY
2003,"22,589",11.910,11.455,Not Available,2.683,331,3.8,4.0,Not Available,Not Available,95.47,Not Available,97.51000,CURRENT BIOLOGY
2002,"20,020",7.007,6.728,Not Available,2.713,341,3.5,3.7,Not Available,Not Available,96.19,Not Available,90.41400,CURRENT BIOLOGY
2001,"18,263",7.460,7.156,Not Available,1.447,528,3.3,3.6,Not Available,Not Available,98.30,Not Available,92.56000,CURRENT BIOLOGY
2000,"15,927",8.393,8.176,Not Available,1.557,458,2.9,3.5,Not Available,Not Available,99.78,Not Available,95.06200,CURRENT BIOLOGY
1999,"12,962",8.733,8.459,Not Available,1.844,463,2.6,3.2,Not Available,Not Available,100.00,Not Available,95.61900,CURRENT BIOLOGY
1998,"9,427",7.855,7.600,Not Available,1.748,433,2.6,3.1,Not Available,Not Available,99.31,Not Available,95.89800,CURRENT BIOLOGY
1997,"6,393",6.667,6.431,Not Available,1.418,342,2.4,3.2,Not Available,Not Available,Not Available,Not Available,93.17400,CURRENT BIOLOGY
