,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13339,186,697,1246,874,797,625,684,1035,929,628,5638,CURRENT OPINION IN CELL BIOLOGY
2,,ALL OTHERS (841),841,5,29,54,50,27,20,35,53,65,40,463,CURRENT OPINION IN CELL BIOLOGY
3,4.122,SCI REP-UK,592,4,26,50,31,25,31,31,37,43,31,283,CURRENT OPINION IN CELL BIOLOGY
4,,ONCOTARGET,402,1,10,25,14,30,20,19,42,34,23,184,CURRENT OPINION IN CELL BIOLOGY
5,2.766,PLOS ONE,275,4,5,27,19,16,8,10,22,22,15,127,CURRENT OPINION IN CELL BIOLOGY
6,12.353,NAT COMMUN,195,1,14,19,21,20,14,10,10,14,20,52,CURRENT OPINION IN CELL BIOLOGY
7,3.687,INT J MOL SCI,177,3,6,10,13,8,5,7,18,15,7,85,CURRENT OPINION IN CELL BIOLOGY
8,3.512,MOL BIOL CELL,175,3,8,19,19,20,10,14,17,7,10,48,CURRENT OPINION IN CELL BIOLOGY
9,4.401,J CELL SCI,170,9,14,23,10,12,11,14,5,8,11,53,CURRENT OPINION IN CELL BIOLOGY
10,4.011,J BIOL CHEM,159,2,6,17,9,9,8,6,16,13,8,65,CURRENT OPINION IN CELL BIOLOGY
11,9.504,P NATL ACAD SCI USA,153,4,8,20,7,12,7,15,12,9,6,53,CURRENT OPINION IN CELL BIOLOGY
12,8.784,J CELL BIOL,123,1,15,16,10,15,8,10,8,6,8,26,CURRENT OPINION IN CELL BIOLOGY
13,7.616,ELIFE,117,1,12,10,15,13,14,4,6,3,10,29,CURRENT OPINION IN CELL BIOLOGY
14,9.247,CSH PERSPECT BIOL,85,0,6,12,7,8,9,3,7,5,7,21,CURRENT OPINION IN CELL BIOLOGY
15,8.032,CELL REP,84,5,4,11,5,9,4,3,5,1,4,33,CURRENT OPINION IN CELL BIOLOGY
16,,METHOD MOL BIOL,82,0,0,6,2,10,4,3,9,4,11,33,CURRENT OPINION IN CELL BIOLOGY
17,2.559,BIOCHEM BIOPH RES CO,80,0,2,7,2,3,2,4,4,5,2,49,CURRENT OPINION IN CELL BIOLOGY
18,3.495,BIOPHYS J,80,1,4,9,8,3,5,6,7,4,4,29,CURRENT OPINION IN CELL BIOLOGY
19,6.721,CELL MOL LIFE SCI,77,0,8,9,4,10,4,5,6,3,5,23,CURRENT OPINION IN CELL BIOLOGY
