,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6546,208,954,821,665,568,455,403,347,285,237,1603,CURRENT OPINION IN CELL BIOLOGY
2, ,ALL OTHERS (367),367,17,48,44,37,31,21,20,16,12,14,107,CURRENT OPINION IN CELL BIOLOGY
3,31.398,CELL,429,12,62,42,40,36,39,27,25,18,15,113,CURRENT OPINION IN CELL BIOLOGY
4,41.577,NATURE,414,18,37,57,35,45,28,28,20,17,14,115,CURRENT OPINION IN CELL BIOLOGY
5,41.058,SCIENCE,295,5,47,31,32,30,18,15,9,20,18,70,CURRENT OPINION IN CELL BIOLOGY
6,9.504,P NATL ACAD SCI USA,289,5,33,27,24,18,32,17,18,17,12,86,CURRENT OPINION IN CELL BIOLOGY
7,8.784,J CELL BIOL,270,3,35,23,23,18,15,14,13,10,10,106,CURRENT OPINION IN CELL BIOLOGY
8,19.064,NAT CELL BIOL,189,14,25,20,12,26,10,11,9,10,8,44,CURRENT OPINION IN CELL BIOLOGY
9,9.616,DEV CELL,185,2,24,23,18,23,15,10,18,13,6,33,CURRENT OPINION IN CELL BIOLOGY
10,9.251,CURR BIOL,164,7,25,20,14,9,8,10,15,9,6,41,CURRENT OPINION IN CELL BIOLOGY
11,4.011,J BIOL CHEM,161,0,9,13,8,10,12,10,10,7,1,81,CURRENT OPINION IN CELL BIOLOGY
12,5.413,DEVELOPMENT,153,1,9,16,21,18,9,10,7,3,4,55,CURRENT OPINION IN CELL BIOLOGY
13,10.557,EMBO J,139,5,18,14,10,11,14,12,6,6,1,42,CURRENT OPINION IN CELL BIOLOGY
14,4.401,J CELL SCI,139,3,16,16,12,10,13,10,10,6,5,38,CURRENT OPINION IN CELL BIOLOGY
15,14.248,MOL CELL,139,5,25,24,15,12,7,7,11,3,7,23,CURRENT OPINION IN CELL BIOLOGY
16,12.353,NAT COMMUN,126,11,47,31,21,10,3,3,0,0,0,0,CURRENT OPINION IN CELL BIOLOGY
17,3.512,MOL BIOL CELL,117,0,10,7,18,9,5,8,6,8,9,37,CURRENT OPINION IN CELL BIOLOGY
18,7.616,ELIFE,116,3,44,32,26,10,0,0,0,0,0,1,CURRENT OPINION IN CELL BIOLOGY
19,9.462,GENE DEV,103,1,19,12,11,8,5,4,8,4,7,24,CURRENT OPINION IN CELL BIOLOGY
20,8.032,CELL REP,91,7,27,23,16,16,2,0,0,0,0,0,CURRENT OPINION IN CELL BIOLOGY
21,23.290,CELL STEM CELL,89,8,19,10,12,7,5,9,7,5,5,2,CURRENT OPINION IN CELL BIOLOGY
22,35.612,NAT REV MOL CELL BIO,83,1,5,8,12,8,11,5,7,10,5,11,CURRENT OPINION IN CELL BIOLOGY
23,3.262,DEV BIOL,74,1,3,4,2,3,3,6,3,3,4,42,CURRENT OPINION IN CELL BIOLOGY
24,2.766,PLOS ONE,63,3,6,8,9,5,8,10,9,2,3,0,CURRENT OPINION IN CELL BIOLOGY
25,10.015,CURR OPIN CELL BIOL,51,2,18,8,7,0,5,3,2,2,0,4,CURRENT OPINION IN CELL BIOLOGY
26,13.333,NAT STRUCT MOL BIOL,48,1,8,6,10,5,2,1,7,2,4,2,CURRENT OPINION IN CELL BIOLOGY
27,3.495,BIOPHYS J,45,0,8,5,4,2,5,0,1,1,3,16,CURRENT OPINION IN CELL BIOLOGY
28,18.564,TRENDS CELL BIOL,44,1,12,4,7,5,3,3,1,2,1,5,CURRENT OPINION IN CELL BIOLOGY
29,14.319,NEURON,43,1,3,9,8,10,3,1,0,0,1,7,CURRENT OPINION IN CELL BIOLOGY
30,9.163,PLOS BIOL,43,1,5,5,1,3,2,5,5,1,2,13,CURRENT OPINION IN CELL BIOLOGY
31,9.130,CANCER RES,41,0,4,4,2,4,3,3,3,3,2,13,CURRENT OPINION IN CELL BIOLOGY
32,20.565,CELL METAB,41,4,9,5,3,2,2,6,0,0,2,8,CURRENT OPINION IN CELL BIOLOGY
33,4.368,J VIROL,40,0,2,2,4,3,4,2,5,1,2,15,CURRENT OPINION IN CELL BIOLOGY
34,5.971,J NEUROSCI,38,2,2,4,3,4,1,4,2,2,0,14,CURRENT OPINION IN CELL BIOLOGY
35,5.540,PLOS GENET,36,1,4,5,7,8,2,2,4,1,0,2,CURRENT OPINION IN CELL BIOLOGY
36,3.813,MOL CELL BIOL,35,0,1,0,1,2,1,1,3,3,2,21,CURRENT OPINION IN CELL BIOLOGY
37,26.919,NAT METHODS,34,5,3,7,2,3,3,5,3,1,0,2,CURRENT OPINION IN CELL BIOLOGY
38,4.122,SCI REP-UK,33,1,19,9,1,1,2,0,0,0,0,0,CURRENT OPINION IN CELL BIOLOGY
39,9.032,ANNU REV CELL DEV BI,32,0,6,4,5,1,4,3,3,0,0,6,CURRENT OPINION IN CELL BIOLOGY
40,15.132,BLOOD,31,2,5,4,1,1,5,2,3,0,0,8,CURRENT OPINION IN CELL BIOLOGY
41,41.465,NAT REV GENET,28,1,2,2,1,4,3,3,1,1,1,9,CURRENT OPINION IN CELL BIOLOGY
42,4.400,TRAFFIC,28,0,0,4,4,1,3,1,3,2,0,10,CURRENT OPINION IN CELL BIOLOGY
43,8.749,EMBO REP,26,0,5,7,0,5,1,2,0,3,0,3,CURRENT OPINION IN CELL BIOLOGY
44,4.902,HUM MOL GENET,26,0,2,4,5,1,1,0,1,1,2,9,CURRENT OPINION IN CELL BIOLOGY
45,2.559,BIOCHEM BIOPH RES CO,25,0,1,0,0,2,0,2,3,3,2,12,CURRENT OPINION IN CELL BIOLOGY
46,9.247,CSH PERSPECT BIOL,25,0,3,0,2,2,4,7,4,3,0,0,CURRENT OPINION IN CELL BIOLOGY
47,11.561,NUCLEIC ACIDS RES,25,0,3,6,5,0,2,1,1,1,0,6,CURRENT OPINION IN CELL BIOLOGY
48,27.125,NAT GENET,24,0,0,1,2,0,1,2,0,0,2,16,CURRENT OPINION IN CELL BIOLOGY
49,22.844,CANCER CELL,23,0,5,1,1,0,3,2,1,6,1,3,CURRENT OPINION IN CELL BIOLOGY
50,6.854,ONCOGENE,23,0,6,2,3,1,0,2,0,1,2,6,CURRENT OPINION IN CELL BIOLOGY
51,3.857,BIOCHEM J,22,0,2,2,3,3,2,1,1,0,1,7,CURRENT OPINION IN CELL BIOLOGY
52,32.621,NAT MED,21,0,8,0,3,2,2,0,0,0,1,5,CURRENT OPINION IN CELL BIOLOGY
53,2.999,FEBS LETT,19,1,0,3,2,2,0,1,1,3,0,6,CURRENT OPINION IN CELL BIOLOGY
54,19.912,NAT NEUROSCI,19,0,2,3,0,0,2,4,4,0,0,4,CURRENT OPINION IN CELL BIOLOGY
55,42.784,NAT REV CANCER,19,1,3,1,3,2,1,0,1,3,0,4,CURRENT OPINION IN CELL BIOLOGY
56,6.138,SEMIN CELL DEV BIOL,19,0,5,3,2,0,2,0,0,3,1,3,CURRENT OPINION IN CELL BIOLOGY
57,13.251,J CLIN INVEST,18,0,4,2,1,1,1,2,1,1,2,3,CURRENT OPINION IN CELL BIOLOGY
58,35.724,NAT BIOTECHNOL,18,2,2,2,3,0,0,3,1,3,0,2,CURRENT OPINION IN CELL BIOLOGY
59,2.210,NUCLEUS-PHILA,18,0,5,3,1,4,1,4,0,0,0,0,CURRENT OPINION IN CELL BIOLOGY
60,11.100,AUTOPHAGY,17,0,2,1,1,4,3,3,1,2,0,0,CURRENT OPINION IN CELL BIOLOGY
61,5.587,STEM CELLS,17,1,2,0,3,1,1,1,3,0,1,4,CURRENT OPINION IN CELL BIOLOGY
62,3.309,EXP CELL RES,16,0,1,0,1,0,0,0,0,0,1,13,CURRENT OPINION IN CELL BIOLOGY
