Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,339",10.015,9.881,8.512,2.044,91,8.6,5.1,0.028,4.050,50.55,3.24500,91.84200,CURRENT OPINION IN CELL BIOLOGY
2016,"13,266",9.937,9.805,8.684,1.724,98,8.1,4.9,0.02978,4.217,62.24,3.40000,92.36800,CURRENT OPINION IN CELL BIOLOGY
2015,"13,034",8.851,8.572,8.515,2.198,96,8.2,4.7,0.03184,4.136,66.67,3.62858,89.03700,CURRENT OPINION IN CELL BIOLOGY
2014,"13,844",8.467,8.295,10.118,1.755,94,7.8,4.6,0.03841,4.616,100.00,4.30210,86.68500,CURRENT OPINION IN CELL BIOLOGY
2013,"14,069",8.736,8.656,10.843,2.160,100,7.5,4.3,0.04665,5.416,100.00,5.14207,87.29700,CURRENT OPINION IN CELL BIOLOGY
2012,"13,866",11.410,11.258,12.034,1.291,110,6.9,4.0,0.05414,6.237,100.00,Not Available,92.16200,CURRENT OPINION IN CELL BIOLOGY
2011,"13,795",12.897,12.762,12.594,1.648,91,6.4,4.1,0.06374,6.950,100.00,Not Available,94.19900,CURRENT OPINION IN CELL BIOLOGY
2010,"13,739",13.540,13.381,13.290,1.886,114,6.3,3.9,0.06826,7.345,100.00,Not Available,93.53900,CURRENT OPINION IN CELL BIOLOGY
2009,"13,559",14.153,14.027,13.634,2.321,109,6.2,3.4,0.07645,7.917,92.66,Not Available,94.75300,CURRENT OPINION IN CELL BIOLOGY
2008,"12,753",12.543,12.391,13.551,1.989,93,5.9,3.5,0.08028,7.740,97.85,Not Available,92.67500,CURRENT OPINION IN CELL BIOLOGY
2007,"12,587",13.444,13.278,13.714,1.667,90,5.7,3.0,0.08763,8.053,96.67,Not Available,94.55100,CURRENT OPINION IN CELL BIOLOGY
2006,"12,422",14.299,14.069,Not Available,2.064,94,5.4,2.8,Not Available,Not Available,97.87,Not Available,95.19200,CURRENT OPINION IN CELL BIOLOGY
2005,"12,538",15.246,14.973,Not Available,1.774,93,5.2,2.8,Not Available,Not Available,13.98,Not Available,96.40500,CURRENT OPINION IN CELL BIOLOGY
2004,"12,674",15.422,15.192,Not Available,1.809,94,5.0,2.7,Not Available,Not Available,0.00,Not Available,95.16100,CURRENT OPINION IN CELL BIOLOGY
2003,"12,565",18.176,17.835,Not Available,2.041,97,4.6,2.7,Not Available,Not Available,5.15,Not Available,95.83300,CURRENT OPINION IN CELL BIOLOGY
2002,"12,818",19.022,18.715,Not Available,2.656,90,4.3,2.4,Not Available,Not Available,30.00,Not Available,96.40500,CURRENT OPINION IN CELL BIOLOGY
2001,"12,563",21.568,21.275,Not Available,3.228,92,4.1,2.4,Not Available,Not Available,17.39,Not Available,96.93900,CURRENT OPINION IN CELL BIOLOGY
2000,"12,648",22.754,22.382,Not Available,2.649,94,3.7,2.4,Not Available,Not Available,30.85,Not Available,97.61900,CURRENT OPINION IN CELL BIOLOGY
1999,"11,992",25.631,25.213,Not Available,3.198,91,3.5,2.3,Not Available,Not Available,62.64,Not Available,97.51800,CURRENT OPINION IN CELL BIOLOGY
1998,"10,297",22.904,22.518,Not Available,2.370,92,3.3,2.3,Not Available,Not Available,96.74,Not Available,98.20100,CURRENT OPINION IN CELL BIOLOGY
1997,"8,143",18.133,17.745,Not Available,2.874,95,3.3,2.3,Not Available,Not Available,100.00,Not Available,97.30800,CURRENT OPINION IN CELL BIOLOGY
