,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,14190,193,729,1096,1111,1202,877,738,788,533,529,6394,CURRENT OPINION IN NEUROBIOLOGY
2,,ALL OTHERS (1008),1008,5,28,67,54,91,45,47,37,38,42,554,CURRENT OPINION IN NEUROBIOLOGY
3,4.122,SCI REP-UK,552,6,25,45,32,41,36,28,42,19,28,250,CURRENT OPINION IN NEUROBIOLOGY
4,5.971,J NEUROSCI,386,5,17,37,34,32,30,37,28,11,5,150,CURRENT OPINION IN NEUROBIOLOGY
5,2.766,PLOS ONE,310,0,15,22,28,13,13,21,16,19,19,144,CURRENT OPINION IN NEUROBIOLOGY
6,7.616,ELIFE,262,11,18,37,29,21,26,16,16,9,8,71,CURRENT OPINION IN NEUROBIOLOGY
7,14.319,NEURON,257,17,32,32,20,15,38,15,16,7,6,59,CURRENT OPINION IN NEUROBIOLOGY
8,2.502,J NEUROPHYSIOL,244,4,15,35,23,3,10,29,17,15,8,85,CURRENT OPINION IN NEUROBIOLOGY
9,6.308,CEREB CORTEX,237,2,3,12,25,22,12,6,16,3,8,128,CURRENT OPINION IN NEUROBIOLOGY
10,5.426,NEUROIMAGE,237,0,15,28,16,37,4,3,20,5,7,102,CURRENT OPINION IN NEUROBIOLOGY
11,9.504,P NATL ACAD SCI USA,182,2,16,20,20,16,15,9,14,9,5,56,CURRENT OPINION IN NEUROBIOLOGY
12,12.353,NAT COMMUN,171,1,13,15,15,11,18,16,17,9,9,47,CURRENT OPINION IN NEUROBIOLOGY
13,6.541,CURR OPIN NEUROBIOL,165,16,22,18,28,19,12,16,7,5,1,21,CURRENT OPINION IN NEUROBIOLOGY
14,8.037,NEUROSCI BIOBEHAV R,154,1,6,6,21,21,6,7,6,10,1,69,CURRENT OPINION IN NEUROBIOLOGY
15,,FRONT PSYCHOL,150,0,5,4,10,14,1,3,7,9,16,81,CURRENT OPINION IN NEUROBIOLOGY
16,3.382,NEUROSCIENCE,138,1,1,8,10,4,6,8,9,4,1,86,CURRENT OPINION IN NEUROBIOLOGY
17,4.300,FRONT CELL NEUROSCI,126,2,11,4,15,7,6,9,8,2,10,52,CURRENT OPINION IN NEUROBIOLOGY
18,2.871,FRONT HUM NEUROSCI,126,0,2,15,8,8,6,4,14,5,4,60,CURRENT OPINION IN NEUROBIOLOGY
19,3.877,FRONT NEUROSCI-SWITZ,125,1,11,13,9,10,3,6,12,5,7,48,CURRENT OPINION IN NEUROBIOLOGY
20,3.173,BEHAV BRAIN RES,105,0,5,5,6,8,3,5,4,3,2,64,CURRENT OPINION IN NEUROBIOLOGY
21,,ENEURO,104,4,8,7,13,7,10,8,7,2,5,33,CURRENT OPINION IN NEUROBIOLOGY
22,3.902,FRONT MOL NEUROSCI,104,6,5,2,7,5,11,8,5,8,5,42,CURRENT OPINION IN NEUROBIOLOGY
23,3.955,PLOS COMPUT BIOL,101,0,5,7,17,1,20,11,6,1,6,27,CURRENT OPINION IN NEUROBIOLOGY
24,4.927,HUM BRAIN MAPP,99,0,2,2,0,14,4,1,3,0,4,69,CURRENT OPINION IN NEUROBIOLOGY
25,3.468,J COGNITIVE NEUROSCI,95,0,6,6,4,10,8,5,13,2,2,39,CURRENT OPINION IN NEUROBIOLOGY
26,2.889,NEUROPSYCHOLOGIA,95,0,2,1,8,7,2,2,3,2,8,60,CURRENT OPINION IN NEUROBIOLOGY
27,8.032,CELL REP,94,4,11,13,13,6,10,8,4,2,3,20,CURRENT OPINION IN NEUROBIOLOGY
28,9.251,CURR BIOL,91,2,7,19,10,6,15,4,0,3,3,22,CURRENT OPINION IN NEUROBIOLOGY
29,4.231,BRAIN STRUCT FUNCT,89,0,1,10,7,8,3,6,4,4,2,44,CURRENT OPINION IN NEUROBIOLOGY
30,4.907,CORTEX,84,0,0,3,7,15,2,5,3,1,4,44,CURRENT OPINION IN NEUROBIOLOGY
31,4.540,J PHYSIOL-LONDON,83,0,4,9,6,1,3,9,7,6,1,37,CURRENT OPINION IN NEUROBIOLOGY
32,2.832,EUR J NEUROSCI,80,0,5,8,4,5,4,0,9,4,2,39,CURRENT OPINION IN NEUROBIOLOGY
33,19.912,NAT NEUROSCI,79,2,8,11,12,2,5,7,7,2,1,22,CURRENT OPINION IN NEUROBIOLOGY
34,4.249,NEUROPHARMACOLOGY,79,0,0,8,3,10,9,5,3,1,2,38,CURRENT OPINION IN NEUROBIOLOGY
35,3.131,FRONT NEURAL CIRCUIT,77,7,2,12,10,5,4,6,3,0,0,28,CURRENT OPINION IN NEUROBIOLOGY
36,1.806,EXP BRAIN RES,75,0,2,8,1,0,1,2,6,5,4,46,CURRENT OPINION IN NEUROBIOLOGY
37,3.138,FRONT BEHAV NEUROSCI,73,1,1,4,2,14,11,2,4,2,2,30,CURRENT OPINION IN NEUROBIOLOGY
38,3.244,NEUROBIOL LEARN MEM,72,0,0,3,1,4,2,3,7,1,1,50,CURRENT OPINION IN NEUROBIOLOGY
39,3.179,J EXP BIOL,66,0,7,4,8,7,11,3,1,1,1,23,CURRENT OPINION IN NEUROBIOLOGY
40,5.076,MOL NEUROBIOL,61,0,2,0,3,5,1,2,3,5,1,39,CURRENT OPINION IN NEUROBIOLOGY
41,3.687,INT J MOL SCI,60,3,3,3,0,5,3,5,2,2,1,33,CURRENT OPINION IN NEUROBIOLOGY
42,3.400,J COMP NEUROL,59,0,2,3,6,2,8,2,2,5,3,26,CURRENT OPINION IN NEUROBIOLOGY
43,3.500,SOC COGN AFFECT NEUR,57,0,0,2,0,12,4,1,4,2,7,25,CURRENT OPINION IN NEUROBIOLOGY
44,32.635,NAT REV NEUROSCI,56,2,3,5,8,6,6,4,3,5,0,14,CURRENT OPINION IN NEUROBIOLOGY
45,3.125,BRAIN RES,52,0,1,1,6,5,4,2,2,1,0,30,CURRENT OPINION IN NEUROBIOLOGY
46,2.159,NEUROSCI LETT,52,0,1,1,7,2,2,4,4,2,2,27,CURRENT OPINION IN NEUROBIOLOGY
47,2.598,DEV NEUROBIOL,51,0,4,2,18,0,1,3,1,1,2,19,CURRENT OPINION IN NEUROBIOLOGY
48,14.675,ANNU REV NEUROSCI,50,0,7,1,10,6,3,4,3,0,1,15,CURRENT OPINION IN NEUROBIOLOGY
49,2.662,J NEUROSCI RES,50,0,6,2,5,3,1,1,3,1,1,27,CURRENT OPINION IN NEUROBIOLOGY
50,3.161,NEURAL PLAST,49,4,3,5,0,4,6,2,2,1,0,22,CURRENT OPINION IN NEUROBIOLOGY
51,15.557,TRENDS COGN SCI,49,2,8,4,8,6,5,1,2,2,0,11,CURRENT OPINION IN NEUROBIOLOGY
52,11.984,BIOL PSYCHIAT,48,0,1,6,4,10,5,3,2,2,0,15,CURRENT OPINION IN NEUROBIOLOGY
53,6.544,NEUROPSYCHOPHARMACOL,45,0,2,3,4,10,2,5,2,3,0,14,CURRENT OPINION IN NEUROBIOLOGY
