,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,10963,360,1456,1253,1003,889,738,628,508,462,393,3273,CURRENT OPINION IN NEUROBIOLOGY
2, ,ALL OTHERS (663),663,32,86,60,43,38,39,26,21,16,13,289,CURRENT OPINION IN NEUROBIOLOGY
3,5.971,J NEUROSCI,1027,13,92,80,88,110,74,82,68,42,60,318,CURRENT OPINION IN NEUROBIOLOGY
4,14.319,NEURON,1001,25,143,120,106,86,90,56,44,57,46,228,CURRENT OPINION IN NEUROBIOLOGY
5,19.912,NAT NEUROSCI,686,24,106,94,67,77,45,43,29,35,20,146,CURRENT OPINION IN NEUROBIOLOGY
6,41.577,NATURE,682,13,75,65,41,64,66,32,38,27,21,240,CURRENT OPINION IN NEUROBIOLOGY
7,41.058,SCIENCE,545,14,77,38,61,31,24,28,30,21,21,200,CURRENT OPINION IN NEUROBIOLOGY
8,9.504,P NATL ACAD SCI USA,433,6,43,54,36,45,28,38,25,33,19,106,CURRENT OPINION IN NEUROBIOLOGY
9,31.398,CELL,359,2,67,58,38,32,10,24,10,18,8,92,CURRENT OPINION IN NEUROBIOLOGY
10,32.635,NAT REV NEUROSCI,191,6,15,7,18,14,20,11,16,20,15,49,CURRENT OPINION IN NEUROBIOLOGY
11,12.353,NAT COMMUN,183,12,72,52,29,11,6,1,0,0,0,0,CURRENT OPINION IN NEUROBIOLOGY
12,6.541,CURR OPIN NEUROBIOL,165,16,22,18,28,19,12,16,7,5,1,21,CURRENT OPINION IN NEUROBIOLOGY
13,2.502,J NEUROPHYSIOL,159,2,8,7,9,6,7,3,5,5,8,99,CURRENT OPINION IN NEUROBIOLOGY
14,7.616,ELIFE,153,9,70,51,19,3,0,0,1,0,0,0,CURRENT OPINION IN NEUROBIOLOGY
15,3.955,PLOS COMPUT BIOL,150,8,28,34,14,17,14,11,2,11,9,2,CURRENT OPINION IN NEUROBIOLOGY
16,9.251,CURR BIOL,137,6,27,26,23,10,15,3,0,4,5,18,CURRENT OPINION IN NEUROBIOLOGY
17,2.766,PLOS ONE,123,0,13,16,13,21,17,21,6,7,5,4,CURRENT OPINION IN NEUROBIOLOGY
18,8.032,CELL REP,115,12,41,23,18,12,9,0,0,0,0,0,CURRENT OPINION IN NEUROBIOLOGY
19,11.439,TRENDS NEUROSCI,98,2,3,11,10,6,9,4,4,4,8,37,CURRENT OPINION IN NEUROBIOLOGY
20,3.400,J COMP NEUROL,95,5,2,2,3,4,3,3,4,1,3,65,CURRENT OPINION IN NEUROBIOLOGY
21,3.382,NEUROSCIENCE,95,2,5,6,5,2,5,5,3,7,9,46,CURRENT OPINION IN NEUROBIOLOGY
22,5.846,GLIA,91,16,13,12,6,8,4,6,5,5,4,12,CURRENT OPINION IN NEUROBIOLOGY
23,6.308,CEREB CORTEX,88,2,14,6,4,5,9,7,2,1,3,35,CURRENT OPINION IN NEUROBIOLOGY
24,5.413,DEVELOPMENT,88,1,1,8,15,4,4,9,3,4,8,31,CURRENT OPINION IN NEUROBIOLOGY
25,3.125,BRAIN RES,87,0,6,1,0,1,0,1,1,1,1,75,CURRENT OPINION IN NEUROBIOLOGY
26,4.540,J PHYSIOL-LONDON,79,0,7,2,4,0,2,6,2,1,1,54,CURRENT OPINION IN NEUROBIOLOGY
