Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"14,190",6.541,6.397,6.917,1.191,162,8.7,5.7,0.035,3.469,0.00,4.04600,91.76200,CURRENT OPINION IN NEUROBIOLOGY
2016,"13,188",6.133,5.933,6.767,1.465,127,8.5,5.3,0.03666,3.550,100.00,4.20939,89.38200,CURRENT OPINION IN NEUROBIOLOGY
2015,"13,090",6.373,6.279,6.958,1.671,152,8.5,5.5,0.03549,3.503,100.00,4.04565,91.60200,CURRENT OPINION IN NEUROBIOLOGY
2014,"12,732",6.628,6.425,7.284,1.604,164,8.2,5.7,0.0338,3.559,100.00,3.78510,91.46800,CURRENT OPINION IN NEUROBIOLOGY
2013,"12,062",6.765,6.627,7.549,1.701,147,8.1,4.7,0.03586,4.031,100.00,3.95304,91.07100,CURRENT OPINION IN NEUROBIOLOGY
2012,"11,429",7.335,7.075,8.165,1.111,135,7.8,5.2,0.03638,4.243,100.00,Not Available,92.26200,CURRENT OPINION IN NEUROBIOLOGY
2011,"10,788",7.444,7.224,8.742,1.075,120,7.3,4.3,0.0403,4.725,100.00,Not Available,92.82800,CURRENT OPINION IN NEUROBIOLOGY
2010,"10,126",6.891,6.668,8.594,0.962,104,7.1,3.9,0.04241,4.773,100.00,Not Available,92.25900,CURRENT OPINION IN NEUROBIOLOGY
2009,"9,784",7.211,7.045,8.936,0.402,92,6.8,3.9,0.04831,4.960,0.00,Not Available,93.29000,CURRENT OPINION IN NEUROBIOLOGY
2008,"9,413",8.102,7.946,9.143,0.535,71,6.3,3.6,0.05407,5.040,98.59,Not Available,93.89100,CURRENT OPINION IN NEUROBIOLOGY
2007,"9,197",8.958,8.769,9.308,1.115,78,6.0,3.6,0.05661,5.031,38.46,Not Available,95.49800,CURRENT OPINION IN NEUROBIOLOGY
2006,"8,648",9.286,9.090,Not Available,1.255,94,5.6,3.6,Not Available,Not Available,31.91,Not Available,94.75000,CURRENT OPINION IN NEUROBIOLOGY
2005,"8,223",8.527,8.348,Not Available,1.000,97,5.3,3.2,Not Available,Not Available,34.02,Not Available,94.75000,CURRENT OPINION IN NEUROBIOLOGY
2004,"7,660",7.937,7.748,Not Available,1.069,102,5.0,3.0,Not Available,Not Available,0.00,Not Available,94.69700,CURRENT OPINION IN NEUROBIOLOGY
2003,"7,432",9.727,9.540,Not Available,0.838,99,4.7,3.4,Not Available,Not Available,26.26,Not Available,96.21200,CURRENT OPINION IN NEUROBIOLOGY
2002,"6,768",10.718,10.420,Not Available,0.761,92,4.4,3.0,Not Available,Not Available,66.30,Not Available,96.70100,CURRENT OPINION IN NEUROBIOLOGY
2001,"6,421",9.995,9.742,Not Available,1.116,95,4.3,2.9,Not Available,Not Available,42.11,Not Available,95.70700,CURRENT OPINION IN NEUROBIOLOGY
2000,"5,912",9.277,8.837,Not Available,1.882,93,3.9,2.7,Not Available,Not Available,15.05,Not Available,96.79800,CURRENT OPINION IN NEUROBIOLOGY
1999,"5,285",9.287,9.101,Not Available,1.113,97,3.7,2.7,Not Available,Not Available,78.35,Not Available,97.76100,CURRENT OPINION IN NEUROBIOLOGY
1998,"4,347",8.854,8.609,Not Available,0.681,94,3.5,2.6,Not Available,Not Available,98.94,Not Available,97.77200,CURRENT OPINION IN NEUROBIOLOGY
1997,"3,193",7.356,7.074,Not Available,0.975,79,3.1,2.6,Not Available,Not Available,91.14,Not Available,94.33300,CURRENT OPINION IN NEUROBIOLOGY
