,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,10619,242,769,839,710,712,477,640,515,556,595,4564,CURRENT OPINION IN STRUCTURAL BIOLOGY
2,,ALL OTHERS (664),664,10,26,40,35,24,16,23,38,33,33,386,CURRENT OPINION IN STRUCTURAL BIOLOGY
3,4.122,SCI REP-UK,427,6,25,35,26,30,21,26,26,18,29,185,CURRENT OPINION IN STRUCTURAL BIOLOGY
4,3.146,J PHYS CHEM B,221,6,7,25,9,17,7,19,10,8,17,96,CURRENT OPINION IN STRUCTURAL BIOLOGY
5,2.766,PLOS ONE,220,5,8,16,13,12,14,11,10,11,15,105,CURRENT OPINION IN STRUCTURAL BIOLOGY
6,9.504,P NATL ACAD SCI USA,209,5,21,25,19,15,9,17,9,13,12,64,CURRENT OPINION IN STRUCTURAL BIOLOGY
7,11.561,NUCLEIC ACIDS RES,187,2,16,17,13,6,13,13,11,17,16,63,CURRENT OPINION IN STRUCTURAL BIOLOGY
8,2.997,BIOCHEMISTRY-US,183,7,17,15,7,10,11,12,15,9,6,74,CURRENT OPINION IN STRUCTURAL BIOLOGY
9,4.011,J BIOL CHEM,159,2,9,12,16,14,8,12,9,9,10,58,CURRENT OPINION IN STRUCTURAL BIOLOGY
10,5.399,J CHEM THEORY COMPUT,159,4,10,9,12,6,12,22,4,7,15,58,CURRENT OPINION IN STRUCTURAL BIOLOGY
11,3.906,PHYS CHEM CHEM PHYS,149,4,7,10,6,15,6,6,6,8,12,69,CURRENT OPINION IN STRUCTURAL BIOLOGY
12,7.179,CURR OPIN STRUC BIOL,142,13,34,15,18,16,2,10,5,3,6,20,CURRENT OPINION IN STRUCTURAL BIOLOGY
13,,METHOD MOL BIOL,140,0,0,7,6,23,4,12,5,12,12,59,CURRENT OPINION IN STRUCTURAL BIOLOGY
14,3.495,BIOPHYS J,137,3,7,14,14,16,8,8,5,4,8,50,CURRENT OPINION IN STRUCTURAL BIOLOGY
15,14.357,J AM CHEM SOC,132,5,16,13,9,6,3,6,7,8,6,53,CURRENT OPINION IN STRUCTURAL BIOLOGY
16,12.353,NAT COMMUN,130,6,16,18,17,5,6,15,9,3,10,25,CURRENT OPINION IN STRUCTURAL BIOLOGY
17,2.843,J CHEM PHYS,118,8,0,9,9,7,13,3,7,3,11,48,CURRENT OPINION IN STRUCTURAL BIOLOGY
18,2.274,PROTEINS,115,0,3,11,7,12,1,3,10,13,5,50,CURRENT OPINION IN STRUCTURAL BIOLOGY
19,4.894,J MOL BIOL,106,5,9,12,9,5,4,14,4,5,5,34,CURRENT OPINION IN STRUCTURAL BIOLOGY
20,2.410,PROTEIN SCI,84,1,8,5,6,5,3,6,5,6,3,36,CURRENT OPINION IN STRUCTURAL BIOLOGY
