,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8116,194,1261,1103,868,649,572,421,394,329,290,2035,CURRENT OPINION IN STRUCTURAL BIOLOGY
2, ,ALL OTHERS (410),410,11,62,46,37,27,30,20,18,15,17,127,CURRENT OPINION IN STRUCTURAL BIOLOGY
3,9.504,P NATL ACAD SCI USA,626,9,68,56,69,56,62,35,38,34,25,174,CURRENT OPINION IN STRUCTURAL BIOLOGY
4,41.577,NATURE,586,17,102,78,54,46,40,35,19,20,26,149,CURRENT OPINION IN STRUCTURAL BIOLOGY
5,41.058,SCIENCE,370,8,68,45,27,26,26,17,15,12,19,107,CURRENT OPINION IN STRUCTURAL BIOLOGY
6,31.398,CELL,254,11,64,44,23,19,12,3,8,9,3,58,CURRENT OPINION IN STRUCTURAL BIOLOGY
7,4.894,J MOL BIOL,242,2,19,13,13,12,15,13,9,15,16,115,CURRENT OPINION IN STRUCTURAL BIOLOGY
8,4.011,J BIOL CHEM,225,2,22,19,19,13,13,12,7,9,11,98,CURRENT OPINION IN STRUCTURAL BIOLOGY
9,11.561,NUCLEIC ACIDS RES,176,3,17,23,25,11,14,6,9,7,12,49,CURRENT OPINION IN STRUCTURAL BIOLOGY
10,14.357,J AM CHEM SOC,160,0,27,16,16,19,15,8,14,10,5,30,CURRENT OPINION IN STRUCTURAL BIOLOGY
11,4.907,STRUCTURE,159,3,21,29,18,12,16,10,9,6,6,29,CURRENT OPINION IN STRUCTURAL BIOLOGY
12,7.179,CURR OPIN STRUC BIOL,142,13,34,15,18,16,2,10,5,3,6,20,CURRENT OPINION IN STRUCTURAL BIOLOGY
13,3.495,BIOPHYS J,128,3,20,17,14,7,10,8,9,10,7,23,CURRENT OPINION IN STRUCTURAL BIOLOGY
14,12.353,NAT COMMUN,128,10,44,41,21,4,6,1,0,0,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
15,13.333,NAT STRUCT MOL BIOL,127,3,25,18,13,9,3,6,10,3,2,35,CURRENT OPINION IN STRUCTURAL BIOLOGY
16,2.274,PROTEINS,123,0,9,6,8,6,9,9,12,5,1,58,CURRENT OPINION IN STRUCTURAL BIOLOGY
17,2.997,BIOCHEMISTRY-US,122,1,12,3,7,6,4,10,7,4,3,65,CURRENT OPINION IN STRUCTURAL BIOLOGY
18,14.248,MOL CELL,119,11,19,28,11,8,4,3,5,4,8,18,CURRENT OPINION IN STRUCTURAL BIOLOGY
19,26.919,NAT METHODS,118,6,16,22,14,17,9,2,9,5,9,9,CURRENT OPINION IN STRUCTURAL BIOLOGY
20,7.616,ELIFE,111,7,26,33,31,13,1,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
21,3.433,J STRUCT BIOL,111,10,11,13,6,9,17,6,5,1,7,26,CURRENT OPINION IN STRUCTURAL BIOLOGY
22,2.843,J CHEM PHYS,109,0,8,13,4,14,5,16,5,3,7,34,CURRENT OPINION IN STRUCTURAL BIOLOGY
23,2.766,PLOS ONE,101,0,11,17,19,22,8,17,2,3,1,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
24,3.146,J PHYS CHEM B,92,2,13,22,10,14,4,4,3,5,4,11,CURRENT OPINION IN STRUCTURAL BIOLOGY
25,5.481,BIOINFORMATICS,88,0,6,15,10,8,8,7,7,4,1,22,CURRENT OPINION IN STRUCTURAL BIOLOGY
26,3.955,PLOS COMPUT BIOL,88,0,8,19,17,10,7,3,9,2,5,8,CURRENT OPINION IN STRUCTURAL BIOLOGY
27,2.410,PROTEIN SCI,87,2,27,7,5,2,10,4,4,3,1,22,CURRENT OPINION IN STRUCTURAL BIOLOGY
28,5.399,J CHEM THEORY COMPUT,83,0,13,31,16,6,10,5,1,1,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
29,10.557,EMBO J,80,3,7,3,3,0,7,5,7,2,2,41,CURRENT OPINION IN STRUCTURAL BIOLOGY
30,4.122,SCI REP-UK,57,0,30,18,3,5,1,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
31,13.843,NAT CHEM BIOL,52,4,12,7,9,4,4,2,2,6,1,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
32,3.099,ACTA CRYSTALLOGR D,49,2,8,10,2,1,5,5,3,2,1,10,CURRENT OPINION IN STRUCTURAL BIOLOGY
33,4.368,J VIROL,48,1,5,4,5,6,7,5,3,1,0,11,CURRENT OPINION IN STRUCTURAL BIOLOGY
34,1.984,METHOD ENZYMOL,47,1,17,1,0,4,3,4,9,0,0,8,CURRENT OPINION IN STRUCTURAL BIOLOGY
35,2.999,FEBS LETT,45,0,3,12,6,4,1,1,3,2,0,13,CURRENT OPINION IN STRUCTURAL BIOLOGY
36,15.678,TRENDS BIOCHEM SCI,45,1,5,11,0,1,4,1,2,4,0,16,CURRENT OPINION IN STRUCTURAL BIOLOGY
37,12.102,ANGEW CHEM INT EDIT,43,1,12,7,8,2,6,0,1,2,0,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
38,1.881,PROTEIN ENG DES SEL,43,1,5,2,0,1,5,3,1,2,0,23,CURRENT OPINION IN STRUCTURAL BIOLOGY
39,20.154,ANNU REV BIOCHEM,42,1,3,7,3,1,3,5,5,2,3,9,CURRENT OPINION IN STRUCTURAL BIOLOGY
40,2.213,BMC BIOINFORMATICS,37,0,3,7,7,4,2,1,1,5,2,5,CURRENT OPINION IN STRUCTURAL BIOLOGY
41,52.613,CHEM REV,36,1,13,1,11,0,0,0,0,3,0,7,CURRENT OPINION IN STRUCTURAL BIOLOGY
42,10.217,MOL BIOL EVOL,34,0,3,14,4,1,2,0,2,1,1,6,CURRENT OPINION IN STRUCTURAL BIOLOGY
43,4.530,FEBS J,32,0,4,7,3,5,1,3,1,3,1,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
44,9.462,GENE DEV,32,1,6,1,2,1,3,1,2,1,1,13,CURRENT OPINION IN STRUCTURAL BIOLOGY
45,6.158,PLOS PATHOG,32,1,6,2,5,4,3,3,3,4,1,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
46,35.724,NAT BIOTECHNOL,31,1,3,0,1,1,4,1,1,4,2,13,CURRENT OPINION IN STRUCTURAL BIOLOGY
47,8.032,CELL REP,30,0,12,12,3,1,1,0,0,0,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
48,3.664,GLYCOBIOLOGY,30,1,6,4,3,1,0,2,1,0,1,11,CURRENT OPINION IN STRUCTURAL BIOLOGY
49,3.813,MOL CELL BIOL,30,0,1,0,3,1,2,1,1,1,4,16,CURRENT OPINION IN STRUCTURAL BIOLOGY
50,4.490,RNA,30,1,2,1,2,3,1,3,3,0,1,13,CURRENT OPINION IN STRUCTURAL BIOLOGY
51,3.680,J GEN PHYSIOL,29,1,1,2,5,1,3,0,0,0,2,14,CURRENT OPINION IN STRUCTURAL BIOLOGY
52,35.612,NAT REV MOL CELL BIO,28,0,2,4,0,3,3,1,1,1,2,11,CURRENT OPINION IN STRUCTURAL BIOLOGY
53,8.784,J CELL BIOL,27,1,2,0,2,3,1,2,2,0,2,12,CURRENT OPINION IN STRUCTURAL BIOLOGY
54,6.253,J MED CHEM,26,0,6,5,6,1,1,0,0,0,0,7,CURRENT OPINION IN STRUCTURAL BIOLOGY
55,3.219,J BACTERIOL,25,0,1,0,1,1,2,2,1,2,1,14,CURRENT OPINION IN STRUCTURAL BIOLOGY
56,4.592,ACS CHEM BIOL,24,1,9,4,4,4,0,1,0,0,1,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
57,3.221,J COMPUT CHEM,24,0,2,0,4,1,2,0,1,3,1,10,CURRENT OPINION IN STRUCTURAL BIOLOGY
58,5.236,MOL CELL PROTEOMICS,24,0,5,2,7,1,3,2,2,0,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
59,41.465,NAT REV GENET,24,0,2,3,1,4,3,1,3,2,1,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
60,8.839,PHYS REV LETT,23,0,3,4,2,1,0,0,1,0,1,11,CURRENT OPINION IN STRUCTURAL BIOLOGY
61,9.163,PLOS BIOL,23,0,3,2,3,1,6,1,0,3,0,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
62,11.742,ANNU REV BIOPHYS,21,3,2,6,1,0,3,1,2,0,3,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
63,5.915,CHEM BIOL,21,0,0,6,4,1,8,0,0,0,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
64,15.393,CELL RES,20,0,9,1,5,5,0,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
65,3.950,J PROTEOME RES,20,0,1,2,3,4,3,2,3,0,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
66, ,METHOD MOL BIOL,20,0,5,4,7,1,0,0,0,3,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
67,3.816,MOL MICROBIOL,20,0,2,0,4,2,3,0,3,1,1,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
68,7.572,CURR OPIN CHEM BIOL,19,0,3,1,0,4,0,0,1,5,1,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
69,3.804,J CHEM INF MODEL,19,0,1,3,6,0,2,2,2,0,2,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
70,3.906,PHYS CHEM CHEM PHYS,19,0,6,2,3,1,0,3,2,0,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
71,3.512,MOL BIOL CELL,18,0,4,0,1,2,2,3,0,0,1,5,CURRENT OPINION IN STRUCTURAL BIOLOGY
72,4.539,J IMMUNOL,17,0,0,3,2,2,0,2,0,1,1,6,CURRENT OPINION IN STRUCTURAL BIOLOGY
73,3.998,METHODS,16,0,8,1,0,1,4,0,0,1,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
74,2.759,MOL BIOSYST,16,0,2,1,1,3,6,0,1,2,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
75,2.929,ULTRAMICROSCOPY,16,0,0,1,3,2,0,0,0,1,0,9,CURRENT OPINION IN STRUCTURAL BIOLOGY
76,7.930,ACTA CRYSTALLOGR A,15,0,1,3,0,1,1,1,0,0,2,6,CURRENT OPINION IN STRUCTURAL BIOLOGY
77,40.182,CHEM SOC REV,15,0,2,2,3,7,1,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
78,6.544,IUCRJ,15,0,3,7,5,0,0,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
79,8.709,J PHYS CHEM LETT,15,0,6,1,1,4,1,1,1,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
80,31.851,NAT REV MICROBIOL,15,0,1,2,4,1,0,2,0,2,0,3,CURRENT OPINION IN STRUCTURAL BIOLOGY
81,8.228,PLANT CELL,15,0,1,2,1,1,2,0,2,0,1,5,CURRENT OPINION IN STRUCTURAL BIOLOGY
82,3.374,VIROLOGY,15,0,0,2,0,1,1,1,0,1,0,9,CURRENT OPINION IN STRUCTURAL BIOLOGY
83,3.394,BIOCHEM SOC T,14,3,2,2,0,1,3,0,1,1,1,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
84,8.749,EMBO REP,14,1,0,1,2,5,1,1,0,2,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
85,12.423,NAT PROTOC,14,1,3,0,5,0,0,2,2,0,1,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
86,2.559,BIOCHEM BIOPH RES CO,13,0,2,0,0,0,3,1,1,2,1,3,CURRENT OPINION IN STRUCTURAL BIOLOGY
87,2.774,CHEMBIOCHEM,13,0,4,3,1,0,1,2,0,0,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
88,9.251,CURR BIOL,13,0,0,1,5,0,1,0,0,1,0,5,CURRENT OPINION IN STRUCTURAL BIOLOGY
89,4.075,GENETICS,13,0,3,1,0,0,0,0,0,1,0,8,CURRENT OPINION IN STRUCTURAL BIOLOGY
90,26.201,NAT CHEM,13,2,3,1,4,0,0,1,0,1,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
91,13.738,ANNU REV PHYS CHEM,12,0,1,1,0,2,2,1,2,0,0,3,CURRENT OPINION IN STRUCTURAL BIOLOGY
92,3.438,BBA-BIOMEMBRANES,12,0,5,2,1,2,2,0,0,0,0,0,CURRENT OPINION IN STRUCTURAL BIOLOGY
93,1.686,CHEM PHYS LETT,12,0,0,0,1,2,0,0,1,1,1,6,CURRENT OPINION IN STRUCTURAL BIOLOGY
94,4.401,J CELL SCI,12,0,3,1,0,4,1,0,0,0,0,3,CURRENT OPINION IN STRUCTURAL BIOLOGY
95,5.540,PLOS GENET,12,0,2,1,1,2,1,2,1,1,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
96,6.042,ANAL CHEM,11,0,2,1,1,0,2,0,1,0,0,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
97,3.340,APPL MICROBIOL BIOT,11,0,5,2,2,1,0,0,0,0,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
98,3.857,BIOCHEM J,11,0,1,3,2,0,2,0,0,1,0,2,CURRENT OPINION IN STRUCTURAL BIOLOGY
99,2.696,CURR PROTEIN PEPT SC,11,0,5,0,0,0,4,0,0,1,0,1,CURRENT OPINION IN STRUCTURAL BIOLOGY
100,13.214,GENOME BIOL,11,1,2,1,1,0,0,2,0,0,0,4,CURRENT OPINION IN STRUCTURAL BIOLOGY
