Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"10,619",7.179,6.959,6.580,1.921,126,8.7,5.0,0.024,3.311,100.00,2.83900,86.94000,CURRENT OPINION IN STRUCTURAL BIOLOGY
2016,"10,440",6.932,6.700,7.129,1.533,122,8.4,4.5,0.02576,3.553,100.00,2.94005,86.79700,CURRENT OPINION IN STRUCTURAL BIOLOGY
2015,"10,167",6.713,6.537,6.965,1.569,102,8.3,4.0,0.02637,3.544,100.00,3.00587,86.56800,CURRENT OPINION IN STRUCTURAL BIOLOGY
2014,"10,897",7.201,6.892,8.077,1.238,105,8.1,4.2,0.03091,4.047,100.00,3.46216,87.24200,CURRENT OPINION IN STRUCTURAL BIOLOGY
2013,"10,465",8.747,8.435,9.113,1.523,111,7.4,4.1,0.03494,4.539,100.00,3.85071,90.05300,CURRENT OPINION IN STRUCTURAL BIOLOGY
2012,"10,116",8.738,8.469,9.020,1.452,93,7.2,4.1,0.03683,4.584,100.00,Not Available,89.32700,CURRENT OPINION IN STRUCTURAL BIOLOGY
2011,"10,190",9.424,9.141,9.485,1.548,93,6.7,3.8,0.04108,4.870,91.40,Not Available,91.97600,CURRENT OPINION IN STRUCTURAL BIOLOGY
2010,"9,829",9.903,9.720,9.650,1.033,90,6.5,4.0,0.04345,4.900,27.78,Not Available,91.63800,CURRENT OPINION IN STRUCTURAL BIOLOGY
2009,"9,606",9.344,9.027,10.015,1.596,94,6.2,3.7,0.04925,5.224,50.00,Not Available,92.12400,CURRENT OPINION IN STRUCTURAL BIOLOGY
2008,"8,844",9.060,8.782,9.804,1.054,92,5.9,3.6,0.05069,5.105,33.70,Not Available,91.24500,CURRENT OPINION IN STRUCTURAL BIOLOGY
2007,"8,278",10.150,9.950,9.987,0.802,91,5.5,2.9,0.05553,5.261,34.07,Not Available,92.91600,CURRENT OPINION IN STRUCTURAL BIOLOGY
2006,"8,189",11.215,10.983,Not Available,1.398,93,5.2,2.9,Not Available,Not Available,8.60,Not Available,93.28800,CURRENT OPINION IN STRUCTURAL BIOLOGY
2005,"7,523",9.559,9.316,Not Available,1.299,87,5.2,2.7,Not Available,Not Available,17.24,Not Available,92.61900,CURRENT OPINION IN STRUCTURAL BIOLOGY
2004,"7,416",9.821,9.603,Not Available,1.189,90,4.9,2.8,Not Available,Not Available,23.33,Not Available,92.03100,CURRENT OPINION IN STRUCTURAL BIOLOGY
2003,"6,337",8.686,8.486,Not Available,1.011,87,4.6,3.0,Not Available,Not Available,32.18,Not Available,91.74200,CURRENT OPINION IN STRUCTURAL BIOLOGY
2002,"6,156",9.630,9.271,Not Available,1.062,97,4.4,2.7,Not Available,Not Available,51.55,Not Available,92.58500,CURRENT OPINION IN STRUCTURAL BIOLOGY
2001,"5,830",10.893,10.613,Not Available,1.117,94,4.1,2.6,Not Available,Not Available,50.00,Not Available,93.05400,CURRENT OPINION IN STRUCTURAL BIOLOGY
2000,"5,167",10.427,9.994,Not Available,1.133,90,3.8,2.8,Not Available,Not Available,64.44,Not Available,93.41000,CURRENT OPINION IN STRUCTURAL BIOLOGY
1999,"4,675",8.633,8.558,Not Available,3.478,46,3.7,2.4,Not Available,Not Available,65.22,Not Available,92.07700,CURRENT OPINION IN STRUCTURAL BIOLOGY
1998,"4,126",8.690,8.385,Not Available,1.000,93,3.6,2.4,Not Available,Not Available,89.25,Not Available,92.68600,CURRENT OPINION IN STRUCTURAL BIOLOGY
1997,"3,449",7.509,7.137,Not Available,1.368,95,3.3,2.5,Not Available,Not Available,94.74,Not Available,90.56900,CURRENT OPINION IN STRUCTURAL BIOLOGY
