,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6567,272,559,605,526,547,482,413,351,343,313,2156,CYTOKINE & GROWTH FACTOR REVIEWS
2, ,ALL OTHERS (700),700,30,56,79,72,56,68,52,39,42,34,172,CYTOKINE & GROWTH FACTOR REVIEWS
3,4.539,J IMMUNOL,239,3,8,11,4,13,13,14,15,15,17,126,CYTOKINE & GROWTH FACTOR REVIEWS
4,9.504,P NATL ACAD SCI USA,170,2,13,10,8,14,10,7,13,12,9,72,CYTOKINE & GROWTH FACTOR REVIEWS
5,4.011,J BIOL CHEM,158,1,9,6,6,7,13,6,13,9,7,81,CYTOKINE & GROWTH FACTOR REVIEWS
6,41.577,NATURE,151,7,8,9,12,15,3,11,7,7,10,62,CYTOKINE & GROWTH FACTOR REVIEWS
7,9.130,CANCER RES,130,8,11,9,9,9,5,11,8,8,5,47,CYTOKINE & GROWTH FACTOR REVIEWS
8,31.398,CELL,125,7,20,21,7,5,7,6,5,4,8,35,CYTOKINE & GROWTH FACTOR REVIEWS
9,2.766,PLOS ONE,119,4,12,12,24,29,15,9,6,5,2,1,CYTOKINE & GROWTH FACTOR REVIEWS
10,41.058,SCIENCE,117,4,9,16,1,18,2,3,3,8,3,50,CYTOKINE & GROWTH FACTOR REVIEWS
11,19.734,IMMUNITY,104,2,11,5,12,17,11,7,3,6,1,29,CYTOKINE & GROWTH FACTOR REVIEWS
12,10.790,J EXP MED,100,2,3,1,4,8,1,12,3,4,4,58,CYTOKINE & GROWTH FACTOR REVIEWS
13,15.132,BLOOD,92,2,3,4,2,3,5,7,7,5,10,44,CYTOKINE & GROWTH FACTOR REVIEWS
14,21.809,NAT IMMUNOL,89,0,11,7,8,11,4,6,6,3,3,30,CYTOKINE & GROWTH FACTOR REVIEWS
15,32.621,NAT MED,79,4,5,6,9,4,5,3,3,5,4,31,CYTOKINE & GROWTH FACTOR REVIEWS
