,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,14475,545,1886,2551,3784,3385,1059,718,527,4,1,15,Cell Death & Disease
2,,ALL OTHERS (740),740,20,69,122,165,214,60,52,37,1,0,0,Cell Death & Disease
3,,ONCOTARGET,1053,56,146,199,294,226,58,42,31,1,0,0,Cell Death & Disease
4,4.122,SCI REP-UK,607,11,76,108,162,144,56,30,18,0,0,2,Cell Death & Disease
5,5.638,CELL DEATH DIS,382,38,60,63,90,83,20,12,16,0,0,0,Cell Death & Disease
6,2.766,PLOS ONE,277,11,31,47,78,63,22,15,8,0,0,2,Cell Death & Disease
7,3.687,INT J MOL SCI,259,25,43,40,51,60,21,10,9,0,0,0,Cell Death & Disease
8,2.559,BIOCHEM BIOPH RES CO,165,13,30,38,42,28,6,4,4,0,0,0,Cell Death & Disease
9,3.457,BIOMED PHARMACOTHER,163,13,38,38,39,22,3,7,3,0,0,0,Cell Death & Disease
10,5.500,CELL PHYSIOL BIOCHEM,130,8,23,17,52,20,3,4,3,0,0,0,Cell Death & Disease
11,1.922,MOL MED REP,122,5,11,23,47,26,3,6,1,0,0,0,Cell Death & Disease
12,5.511,FRONT IMMUNOL,112,8,23,27,17,24,8,1,4,0,0,0,Cell Death & Disease
13,6.854,ONCOGENE,110,0,12,20,32,27,10,5,4,0,0,0,Cell Death & Disease
14,1.664,ONCOL LETT,104,0,5,15,38,27,9,5,5,0,0,0,Cell Death & Disease
15,2.976,ONCOL REP,104,4,17,31,18,22,9,2,1,0,0,0,Cell Death & Disease
16,6.491,CANCER LETT,102,7,10,13,30,29,6,3,4,0,0,0,Cell Death & Disease
17,8.000,CELL DEATH DIFFER,88,2,13,21,24,15,9,2,2,0,0,0,Cell Death & Disease
18,5.076,MOL NEUROBIOL,88,0,2,20,30,25,7,1,3,0,0,0,Cell Death & Disease
19,4.011,J BIOL CHEM,87,3,8,16,23,21,10,2,4,0,0,0,Cell Death & Disease
20,1.396,INT J CLIN EXP PATHO,84,2,15,22,21,20,2,0,2,0,0,0,Cell Death & Disease
21,4.936,OXID MED CELL LONGEV,81,8,5,13,32,16,1,5,1,0,0,0,Cell Death & Disease
22,,TUMOR BIOL,80,2,14,14,26,15,6,2,1,0,0,0,Cell Death & Disease
23,3.902,FRONT MOL NEUROSCI,79,5,12,18,18,16,4,4,2,0,0,0,Cell Death & Disease
24,12.353,NAT COMMUN,79,1,4,19,24,16,9,4,2,0,0,0,Cell Death & Disease
25,3.333,INT J ONCOL,78,5,16,10,19,17,2,8,1,0,0,0,Cell Death & Disease
26,6.020,FREE RADICAL BIO MED,63,3,10,11,22,9,4,3,1,0,0,0,Cell Death & Disease
27,9.130,CANCER RES,62,1,6,13,15,17,5,2,3,0,0,0,Cell Death & Disease
28,3.309,EXP CELL RES,62,6,13,10,10,12,8,2,1,0,0,0,Cell Death & Disease
