,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,28750,563,2319,2766,2611,2402,2124,1926,1735,1613,1437,9254,Cell Death & Disease
2, ,ALL OTHERS (1033),1033,29,98,129,105,100,84,58,49,39,36,306,Cell Death & Disease
3,4.011,J BIOL CHEM,972,1,12,25,37,41,46,44,49,40,59,618,Cell Death & Disease
4,41.577,NATURE,781,2,28,47,33,44,40,54,53,44,44,392,Cell Death & Disease
5,9.504,P NATL ACAD SCI USA,737,5,7,33,43,50,63,44,52,50,47,343,Cell Death & Disease
6,31.398,CELL,677,3,11,12,35,34,46,76,43,69,40,308,Cell Death & Disease
7,6.854,ONCOGENE,570,16,36,39,37,48,32,28,36,12,42,244,Cell Death & Disease
8,2.766,PLOS ONE,551,0,30,59,96,131,104,60,30,22,16,3,Cell Death & Disease
9,9.130,CANCER RES,542,2,20,22,29,22,26,49,40,45,40,247,Cell Death & Disease
10, ,ONCOTARGET,423,47,176,135,44,9,4,5,3,0,0,0,Cell Death & Disease
11,41.058,SCIENCE,412,4,11,19,19,17,11,21,21,25,13,251,Cell Death & Disease
12,5.638,CELL DEATH DIS,382,38,60,63,90,83,20,12,16,0,0,0,Cell Death & Disease
13,8.000,CELL DEATH DIFFER,362,4,31,28,27,47,29,27,15,36,17,101,Cell Death & Disease
14,15.132,BLOOD,311,2,14,8,12,13,12,35,29,22,18,146,Cell Death & Disease
15,11.100,AUTOPHAGY,294,10,37,42,44,29,22,20,18,20,24,28,Cell Death & Disease
16,13.251,J CLIN INVEST,272,1,8,18,22,29,37,20,12,18,15,92,Cell Death & Disease
17,14.248,MOL CELL,260,3,13,23,21,9,16,27,32,9,18,89,Cell Death & Disease
18,42.784,NAT REV CANCER,260,1,13,16,18,17,18,18,10,31,17,101,Cell Death & Disease
19,3.813,MOL CELL BIOL,251,1,3,4,7,12,13,7,3,17,13,171,Cell Death & Disease
20,19.064,NAT CELL BIOL,241,2,7,17,21,16,17,29,22,23,18,69,Cell Death & Disease
21,4.539,J IMMUNOL,225,3,3,18,13,9,13,20,16,14,14,102,Cell Death & Disease
22,5.971,J NEUROSCI,225,2,14,10,11,14,13,26,15,14,12,94,Cell Death & Disease
23,9.462,GENE DEV,216,2,8,5,11,11,18,12,16,9,12,112,Cell Death & Disease
