,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,29834,764,3204,3233,3479,3553,3179,2661,1594,1535,2021,4611,Cell Metabolism
2,,ALL OTHERS (772),772,16,57,94,103,88,61,82,30,36,64,141,Cell Metabolism
3,4.122,SCI REP-UK,1238,32,110,114,118,140,147,125,74,59,88,231,Cell Metabolism
4,20.565,CELL METAB,768,82,138,85,102,64,77,60,35,30,22,73,Cell Metabolism
5,2.766,PLOS ONE,566,8,38,57,58,75,65,55,30,44,48,88,Cell Metabolism
6,,ONCOTARGET,509,7,60,47,46,77,66,41,29,17,37,82,Cell Metabolism
7,6.291,MOL METAB,421,19,70,38,45,41,33,31,28,20,25,71,Cell Metabolism
8,8.032,CELL REP,418,9,46,50,57,55,48,35,27,19,32,40,Cell Metabolism
9,4.011,J BIOL CHEM,415,9,27,30,54,62,42,38,25,19,33,76,Cell Metabolism
10,12.353,NAT COMMUN,398,10,49,42,55,43,46,31,22,16,37,47,Cell Metabolism
11,7.273,DIABETES,340,3,33,32,54,42,44,29,16,16,22,49,Cell Metabolism
12,3.687,INT J MOL SCI,289,8,26,33,36,35,31,20,15,14,19,52,Cell Metabolism
13,13.251,J CLIN INVEST,289,4,26,30,52,48,30,15,9,20,12,43,Cell Metabolism
14,9.504,P NATL ACAD SCI USA,232,9,33,23,31,24,19,15,18,17,17,26,Cell Metabolism
15,7.616,ELIFE,229,12,31,21,26,23,31,17,10,12,19,27,Cell Metabolism
16,5.511,FRONT IMMUNOL,207,17,43,25,30,20,27,8,4,3,7,23,Cell Metabolism
17,4.196,NUTRIENTS,207,6,18,21,16,13,30,17,13,18,20,35,Cell Metabolism
18,3.961,ENDOCRINOLOGY,206,6,24,15,21,21,17,19,17,17,16,33,Cell Metabolism
19,10.769,TRENDS ENDOCRIN MET,205,3,22,28,23,21,29,19,12,11,14,23,Cell Metabolism
20,3.519,FRONT ENDOCRINOL,198,6,25,34,15,15,19,17,6,13,11,37,Cell Metabolism
21,3.394,FRONT PHYSIOL,183,12,18,13,23,21,16,14,5,12,14,35,Cell Metabolism
22,4.936,OXID MED CELL LONGEV,183,2,23,10,16,20,29,14,14,9,9,37,Cell Metabolism
23,5.797,COMPR PHYSIOL,182,3,20,17,21,25,20,11,14,12,8,31,Cell Metabolism
