,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,12980,377,1340,1301,1218,1107,960,867,713,618,458,4021,Cell Metabolism
2, ,ALL OTHERS (642),642,16,65,51,47,61,47,45,40,35,20,215,Cell Metabolism
3,20.565,CELL METAB,768,82,138,85,102,64,77,60,35,30,22,73,Cell Metabolism
4,41.577,NATURE,631,32,69,38,59,64,57,40,29,41,22,180,Cell Metabolism
5,31.398,CELL,578,20,68,75,77,58,67,24,30,34,28,97,Cell Metabolism
6,9.504,P NATL ACAD SCI USA,516,6,23,32,46,41,28,36,28,36,21,219,Cell Metabolism
7,4.011,J BIOL CHEM,451,2,20,11,25,21,17,16,28,16,9,286,Cell Metabolism
8,7.273,DIABETES,405,6,29,36,35,29,24,27,31,18,18,152,Cell Metabolism
9,41.058,SCIENCE,396,6,51,29,15,50,19,27,24,23,14,138,Cell Metabolism
10,13.251,J CLIN INVEST,385,4,10,35,22,35,26,21,8,7,8,209,Cell Metabolism
11,32.621,NAT MED,215,9,21,29,15,28,18,26,10,11,1,47,Cell Metabolism
12,2.766,PLOS ONE,198,2,19,18,28,33,32,33,17,10,2,4,Cell Metabolism
13,21.809,NAT IMMUNOL,130,6,28,15,19,23,9,10,5,0,4,11,Cell Metabolism
14,19.734,IMMUNITY,126,5,20,22,18,16,11,11,5,5,1,12,Cell Metabolism
15,12.353,NAT COMMUN,126,7,35,34,26,15,6,2,1,0,0,0,Cell Metabolism
16,4.018,AM J PHYSIOL-ENDOC M,124,0,1,10,5,6,7,5,10,10,7,63,Cell Metabolism
17,3.961,ENDOCRINOLOGY,122,1,6,14,4,6,7,8,6,8,6,56,Cell Metabolism
18,79.260,NEW ENGL J MED,122,3,11,7,5,5,4,8,3,20,2,54,Cell Metabolism
19,14.248,MOL CELL,113,1,15,13,9,15,6,5,10,5,9,25,Cell Metabolism
20,8.032,CELL REP,109,5,27,29,33,14,1,0,0,0,0,0,Cell Metabolism
21,9.462,GENE DEV,109,1,9,5,2,9,10,17,10,10,5,31,Cell Metabolism
22,4.539,J IMMUNOL,108,1,5,7,5,9,5,14,14,9,6,33,Cell Metabolism
23,27.125,NAT GENET,101,2,4,6,4,2,4,11,9,3,8,48,Cell Metabolism
24,3.857,BIOCHEM J,98,0,3,2,2,3,8,4,4,5,1,66,Cell Metabolism
25,6.023,DIABETOLOGIA,87,3,9,8,7,3,5,10,6,4,3,29,Cell Metabolism
26,13.397,DIABETES CARE,83,4,14,14,7,9,5,4,2,6,2,16,Cell Metabolism
27,3.813,MOL CELL BIOL,81,0,2,3,5,5,5,7,3,7,3,41,Cell Metabolism
28,5.789,J CLIN ENDOCR METAB,70,0,11,7,5,6,5,5,2,3,1,25,Cell Metabolism
29,19.064,NAT CELL BIOL,67,2,3,8,4,11,3,11,6,8,5,6,Cell Metabolism
30,4.540,J PHYSIOL-LONDON,66,1,6,8,3,2,5,4,2,2,4,29,Cell Metabolism
31,18.881,CIRCULATION,65,1,9,3,3,0,3,2,6,7,2,29,Cell Metabolism
32,3.256,J APPL PHYSIOL,65,0,5,2,0,1,1,3,2,1,2,48,Cell Metabolism
33,4.505,J LIPID RES,64,2,1,5,9,5,5,3,4,6,2,22,Cell Metabolism
34,6.291,MOL METAB,63,8,16,17,14,8,0,0,0,0,0,0,Cell Metabolism
35,10.557,EMBO J,62,2,3,7,4,1,4,7,3,0,6,25,Cell Metabolism
36,5.595,FASEB J,61,0,5,9,6,3,4,3,3,1,2,25,Cell Metabolism
37,19.912,NAT NEUROSCI,61,0,0,8,12,2,7,6,5,1,5,15,Cell Metabolism
38,53.254,LANCET,60,3,4,1,4,1,1,5,2,0,3,36,Cell Metabolism
39,5.540,PLOS GENET,60,0,0,6,19,8,8,2,7,6,3,1,Cell Metabolism
40,4.122,SCI REP-UK,60,4,31,16,3,3,1,2,0,0,0,0,Cell Metabolism
41,41.982,NAT REV IMMUNOL,58,1,16,7,4,5,2,4,0,2,1,16,Cell Metabolism
42, ,AM J PHYSIOL,55,0,0,0,0,0,0,0,0,0,0,55,Cell Metabolism
43,8.784,J CELL BIOL,55,0,2,8,3,4,4,2,4,7,3,18,Cell Metabolism
44,10.790,J EXP MED,55,3,12,6,2,5,2,4,5,2,1,13,Cell Metabolism
