Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"29,834",20.565,19.853,21.398,4.602,166,5.2,6.2,0.102,9.494,76.51,11.88400,98.37700,Cell Metabolism
2016,"25,575",18.164,17.529,19.786,4.981,157,4.9,5.5,0.09958,9.146,84.71,11.43156,97.38400,Cell Metabolism
2015,"21,343",17.303,16.790,17.897,3.353,156,4.6,5.8,0.08861,8.288,82.69,10.10032,98.07400,Cell Metabolism
2014,"18,502",17.565,16.900,17.608,3.629,167,4.5,5.8,0.07919,7.916,80.24,8.86965,97.64800,Cell Metabolism
2013,"15,636",16.747,16.266,17.878,3.052,153,4.5,5.5,0.07864,8.209,78.43,8.66819,97.36800,Cell Metabolism
2012,"12,432",14.619,13.966,17.551,3.250,148,4.3,5.2,0.07219,8.169,78.38,Not Available,97.08800,Cell Metabolism
2011,"9,907",13.668,13.025,17.770,2.624,133,3.9,5.6,0.0715,8.606,91.73,Not Available,96.76100,Cell Metabolism
2010,"8,682",18.207,17.659,20.130,2.755,106,3.4,5.5,0.07559,9.366,93.40,Not Available,97.52800,Cell Metabolism
2009,"6,462",17.350,16.836,19.021,2.844,90,2.9,5.3,0.06218,9.165,92.22,Not Available,97.28000,Cell Metabolism
2008,"4,463",16.107,15.515,17.974,3.653,98,2.5,4.7,0.04804,9.506,93.88,Not Available,97.12300,Cell Metabolism
2007,"2,778",17.148,16.604,17.161,2.772,79,2.1,4.8,0.03229,9.320,93.67,Not Available,97.42200,Cell Metabolism
2006,"1,409",16.710,15.869,Not Available,3.162,80,1.4,4.5,Not Available,Not Available,90.00,Not Available,97.43100,Cell Metabolism
2005,202,Not Available,Not Available,Not Available,2.899,69,0.5,4.3,Not Available,Not Available,91.30,Not Available,0.44400,Cell Metabolism
