,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,29789,1468,7267,7705,6452,4591,2277,2,0,0,0,27,Cell Reports
2,,ALL OTHERS (804),804,31,197,202,180,113,79,1,0,0,0,1,Cell Reports
3,4.122,SCI REP-UK,1158,51,260,295,267,193,92,0,0,0,0,0,Cell Reports
4,12.353,NAT COMMUN,706,42,147,182,158,119,58,0,0,0,0,0,Cell Reports
5,8.032,CELL REP,680,81,206,128,118,98,48,0,0,0,0,1,Cell Reports
6,,ONCOTARGET,636,32,145,167,149,101,41,0,0,0,0,1,Cell Reports
7,9.504,P NATL ACAD SCI USA,501,27,118,140,96,85,35,0,0,0,0,0,Cell Reports
8,11.561,NUCLEIC ACIDS RES,470,12,92,116,118,86,46,0,0,0,0,0,Cell Reports
9,7.616,ELIFE,449,28,108,102,100,62,49,0,0,0,0,0,Cell Reports
10,2.766,PLOS ONE,433,15,85,109,108,77,39,0,0,0,0,0,Cell Reports
11,5.511,FRONT IMMUNOL,344,51,123,92,37,27,14,0,0,0,0,0,Cell Reports
12,4.011,J BIOL CHEM,288,13,61,77,63,48,26,0,0,0,0,0,Cell Reports
13,3.687,INT J MOL SCI,260,19,62,57,62,42,18,0,0,0,0,0,Cell Reports
14,14.248,MOL CELL,245,14,75,48,47,42,19,0,0,0,0,0,Cell Reports
15,5.413,DEVELOPMENT,243,12,47,70,43,41,30,0,0,0,0,0,Cell Reports
16,31.398,CELL,206,13,64,42,36,33,18,0,0,0,0,0,Cell Reports
17,5.971,J NEUROSCI,205,16,48,56,48,24,13,0,0,0,0,0,Cell Reports
18,14.319,NEURON,197,22,47,50,26,33,19,0,0,0,0,0,Cell Reports
19,5.540,PLOS GENET,188,9,35,53,36,34,20,0,0,0,0,1,Cell Reports
20,41.577,NATURE,183,5,49,38,46,27,18,0,0,0,0,0,Cell Reports
21,6.854,ONCOGENE,182,0,45,46,44,41,6,0,0,0,0,0,Cell Reports
22,9.462,GENE DEV,160,13,40,37,38,18,14,0,0,0,0,0,Cell Reports
23,8.784,J CELL BIOL,160,5,46,41,35,26,7,0,0,0,0,0,Cell Reports
24,4.368,J VIROL,158,9,44,53,14,27,11,0,0,0,0,0,Cell Reports
25,10.557,EMBO J,140,11,40,30,25,29,5,0,0,0,0,0,Cell Reports
26,9.130,CANCER RES,136,3,39,30,39,21,4,0,0,0,0,0,Cell Reports
27,6.537,STEM CELL REP,135,4,31,35,23,27,15,0,0,0,0,0,Cell Reports
28,6.721,CELL MOL LIFE SCI,133,2,25,47,26,20,13,0,0,0,0,0,Cell Reports
29,9.616,DEV CELL,131,6,34,27,27,25,12,0,0,0,0,0,Cell Reports
30,4.539,J IMMUNOL,131,7,35,47,19,21,2,0,0,0,0,0,Cell Reports
31,15.132,BLOOD,129,5,31,35,28,18,12,0,0,0,0,0,Cell Reports
32,2.559,BIOCHEM BIOPH RES CO,128,6,35,34,25,21,7,0,0,0,0,0,Cell Reports
33,6.158,PLOS PATHOG,125,9,30,35,23,20,8,0,0,0,0,0,Cell Reports
34,3.191,GENES-BASEL,122,6,26,25,26,32,7,0,0,0,0,0,Cell Reports
35,4.894,J MOL BIOL,122,4,33,35,22,22,6,0,0,0,0,0,Cell Reports
