,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,52871,1176,3825,4722,4787,4569,4081,3555,3212,2791,2454,17699,Cell Reports
2, ,ALL OTHERS (1175),1175,32,77,110,80,85,83,67,61,47,50,483,Cell Reports
3,41.577,NATURE,3107,43,191,219,254,235,297,250,183,188,150,1097,Cell Reports
4,31.398,CELL,2498,43,186,256,232,224,220,148,101,136,123,829,Cell Reports
5,9.504,P NATL ACAD SCI USA,2273,30,86,117,168,198,164,157,170,130,141,912,Cell Reports
6,41.058,SCIENCE,1902,23,123,132,126,165,107,100,95,114,92,825,Cell Reports
7,4.011,J BIOL CHEM,1427,5,36,65,62,61,80,68,79,53,61,857,Cell Reports
8,5.971,J NEUROSCI,1410,10,42,89,104,116,85,109,93,76,75,611,Cell Reports
9,14.319,NEURON,1378,37,106,110,100,106,98,89,79,57,61,535,Cell Reports
10,14.248,MOL CELL,916,24,77,96,95,75,74,75,78,46,40,236,Cell Reports
11,2.766,PLOS ONE,740,9,43,66,109,138,128,91,64,52,22,18,Cell Reports
12,9.462,GENE DEV,707,6,27,45,45,53,47,47,39,30,37,331,Cell Reports
13,8.032,CELL REP,680,81,206,128,118,98,48,0,0,0,0,1,Cell Reports
14,19.734,IMMUNITY,666,14,66,76,66,81,61,39,36,39,32,156,Cell Reports
15,19.912,NAT NEUROSCI,639,16,60,71,54,73,50,44,63,26,22,160,Cell Reports
16,4.539,J IMMUNOL,607,10,24,48,50,45,38,46,41,33,39,233,Cell Reports
17,8.784,J CELL BIOL,589,3,20,29,26,44,16,22,36,29,31,333,Cell Reports
18,12.353,NAT COMMUN,571,38,151,156,116,71,25,12,2,0,0,0,Cell Reports
19,11.561,NUCLEIC ACIDS RES,569,17,55,69,50,58,62,34,27,37,19,141,Cell Reports
20,10.557,EMBO J,563,11,18,32,25,25,51,35,20,15,15,316,Cell Reports
21,3.813,MOL CELL BIOL,516,3,8,12,17,21,29,20,19,29,25,333,Cell Reports
22,5.413,DEVELOPMENT,507,3,16,33,43,32,29,23,18,24,23,263,Cell Reports
23,21.809,NAT IMMUNOL,483,5,47,40,48,45,40,44,25,32,31,126,Cell Reports
24,10.790,J EXP MED,469,8,20,26,34,23,25,28,28,27,21,229,Cell Reports
25,27.125,NAT GENET,457,14,20,40,25,35,25,33,11,23,23,208,Cell Reports
26,15.132,BLOOD,437,7,15,18,25,32,33,48,43,27,29,160,Cell Reports
27,9.130,CANCER RES,430,4,24,19,24,32,21,33,34,30,16,193,Cell Reports
28,13.251,J CLIN INVEST,422,7,22,36,32,28,48,48,26,18,15,142,Cell Reports
29,20.565,CELL METAB,418,9,46,50,57,55,48,35,27,19,32,40,Cell Reports
30,23.290,CELL STEM CELL,410,8,37,54,58,39,52,35,42,36,32,17,Cell Reports
31,19.064,NAT CELL BIOL,399,7,25,41,41,44,34,41,26,15,26,99,Cell Reports
32,4.368,J VIROL,386,11,29,45,34,25,27,20,25,16,12,142,Cell Reports
33,35.612,NAT REV MOL CELL BIO,377,9,25,30,47,25,34,25,38,28,24,92,Cell Reports
34,32.621,NAT MED,374,6,35,45,28,42,30,30,15,20,21,102,Cell Reports
35,22.844,CANCER CELL,362,6,41,38,47,31,26,34,41,19,14,65,Cell Reports
36,9.251,CURR BIOL,328,4,17,21,38,15,22,10,30,11,12,148,Cell Reports
37,9.616,DEV CELL,309,5,20,37,25,29,19,25,30,26,17,76,Cell Reports
38,26.919,NAT METHODS,298,8,27,30,35,42,44,19,21,26,14,32,Cell Reports
39,7.616,ELIFE,296,29,90,91,59,23,4,0,0,0,0,0,Cell Reports
40,13.333,NAT STRUCT MOL BIOL,293,5,15,26,20,42,28,27,32,20,22,56,Cell Reports
41,41.982,NAT REV IMMUNOL,281,3,17,34,40,27,17,31,18,18,22,54,Cell Reports
42,4.401,J CELL SCI,280,6,10,27,21,21,21,18,18,15,10,113,Cell Reports
43,6.854,ONCOGENE,263,6,18,22,17,23,11,9,15,8,21,113,Cell Reports
44,5.540,PLOS GENET,262,1,15,29,55,39,29,34,24,12,12,12,Cell Reports
45,35.724,NAT BIOTECHNOL,250,2,17,20,39,24,19,20,25,12,31,41,Cell Reports
46,79.260,NEW ENGL J MED,238,2,24,24,22,23,22,14,13,31,7,56,Cell Reports
47,4.902,HUM MOL GENET,227,4,7,23,17,15,17,18,19,9,15,83,Cell Reports
48,42.784,NAT REV CANCER,222,1,17,24,11,31,18,23,20,14,10,53,Cell Reports
49,5.481,BIOINFORMATICS,221,4,4,21,21,23,10,10,38,44,4,42,Cell Reports
50,6.158,PLOS PATHOG,217,12,28,36,25,34,21,11,18,12,10,10,Cell Reports
51,3.262,DEV BIOL,203,1,7,3,9,9,13,16,7,16,13,109,Cell Reports
52,10.101,GENOME RES,203,5,11,26,21,23,31,22,10,9,4,41,Cell Reports
53,3.512,MOL BIOL CELL,203,0,8,11,13,14,15,15,18,13,11,85,Cell Reports
54,13.214,GENOME BIOL,202,1,12,17,41,24,14,14,14,16,17,32,Cell Reports
55,32.635,NAT REV NEUROSCI,202,2,10,8,16,22,17,6,17,19,18,67,Cell Reports
56,2.502,J NEUROPHYSIOL,194,3,6,5,2,8,6,9,5,5,8,137,Cell Reports
57,4.122,SCI REP-UK,192,19,72,54,14,20,11,2,0,0,0,0,Cell Reports
58,3.400,J COMP NEUROL,191,2,2,3,8,8,8,4,7,12,8,129,Cell Reports
59,12.423,NAT PROTOC,183,4,13,16,24,16,19,8,7,29,7,40,Cell Reports
60,17.872,CELL HOST MICROBE,179,5,31,29,20,17,23,10,11,15,9,9,Cell Reports
61,7.273,DIABETES,178,2,9,14,17,12,13,10,16,8,11,66,Cell Reports
62,41.465,NAT REV GENET,172,2,9,8,31,24,19,14,18,11,10,26,Cell Reports
63,9.163,PLOS BIOL,170,3,8,9,7,10,5,18,29,12,13,56,Cell Reports
64,2.559,BIOCHEM BIOPH RES CO,145,1,1,5,12,6,7,6,7,12,5,83,Cell Reports
65,4.540,J PHYSIOL-LONDON,143,2,8,4,9,7,8,6,4,3,14,78,Cell Reports
66,3.125,BRAIN RES,141,0,4,4,4,1,6,1,3,3,1,114,Cell Reports
67,4.075,GENETICS,139,2,1,7,4,13,11,5,6,5,5,80,Cell Reports
68,3.857,BIOCHEM J,137,2,4,8,5,4,7,8,10,9,9,71,Cell Reports
69,4.894,J MOL BIOL,134,1,11,6,7,3,3,5,11,4,7,76,Cell Reports
70,3.382,NEUROSCIENCE,134,3,2,5,4,3,5,8,4,11,8,81,Cell Reports
71,9.247,CSH PERSPECT BIOL,128,0,8,11,15,23,28,26,11,6,0,0,Cell Reports
72,2.997,BIOCHEMISTRY-US,120,1,4,5,4,4,7,6,7,8,4,70,Cell Reports
73,8.749,EMBO REP,119,5,11,14,14,5,18,8,9,5,2,28,Cell Reports
74,2.832,EUR J NEUROSCI,118,0,3,3,8,5,10,9,8,11,2,59,Cell Reports
75,2.999,FEBS LETT,115,1,1,7,10,4,2,7,8,10,5,60,Cell Reports
76,20.773,GASTROENTEROLOGY,114,3,5,3,8,7,11,16,14,10,6,31,Cell Reports
77,5.587,STEM CELLS,113,2,5,13,7,12,14,10,5,11,6,28,Cell Reports
78,4.609,J NEUROCHEM,111,3,9,7,5,10,9,5,4,5,8,46,Cell Reports
79,11.439,TRENDS NEUROSCI,111,2,5,7,5,10,9,7,5,7,7,47,Cell Reports
80,22.714,ANNU REV IMMUNOL,110,2,4,8,7,10,16,7,14,7,10,25,Cell Reports
81,24.373,CANCER DISCOV,110,4,18,19,27,13,22,7,0,0,0,0,Cell Reports
82,3.495,BIOPHYS J,109,1,3,10,5,5,4,9,3,11,15,43,Cell Reports
83,10.199,CLIN CANCER RES,108,4,15,6,13,15,9,5,3,5,8,25,Cell Reports
84,13.843,NAT CHEM BIOL,108,8,16,10,10,10,16,10,4,9,8,7,Cell Reports
85,6.378,SCI SIGNAL,107,0,2,13,21,24,11,12,11,11,2,0,Cell Reports
86,20.154,ANNU REV BIOCHEM,105,2,2,6,8,12,11,2,1,11,4,46,Cell Reports
87,14.675,ANNU REV NEUROSCI,103,7,3,5,5,9,6,9,4,8,7,40,Cell Reports
88, ,METHOD MOL BIOL,100,2,12,6,14,15,10,9,8,8,5,11,Cell Reports
89,5.236,MOL CELL PROTEOMICS,100,4,6,12,18,6,18,6,7,4,5,14,Cell Reports
90,4.248,EUR J IMMUNOL,99,0,7,9,8,9,7,2,8,4,4,41,Cell Reports
91,18.564,TRENDS CELL BIOL,98,2,13,16,20,8,4,3,4,3,6,19,Cell Reports
92,4.490,RNA,95,4,7,5,8,7,12,5,3,6,8,30,Cell Reports
93,6.541,CURR OPIN NEUROBIOL,94,4,11,13,13,6,10,8,4,2,3,20,Cell Reports
94,3.304,CELL CYCLE,93,0,6,7,7,9,10,12,9,9,10,14,Cell Reports
95,15.211,CIRC RES,93,2,4,5,11,6,6,6,9,8,3,33,Cell Reports
96,5.595,FASEB J,93,4,2,4,7,4,10,6,8,1,5,42,Cell Reports
97,8.000,CELL DEATH DIFFER,90,2,8,11,8,6,12,5,8,2,6,22,Cell Reports
98,15.393,CELL RES,90,3,9,16,16,14,4,15,3,2,5,3,Cell Reports
