,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,23493,580,2569,2485,3096,2708,2541,2033,2217,2062,2088,1114,Cell Stem Cell
2,,ALL OTHERS (651),651,11,77,59,73,66,72,48,57,66,86,36,Cell Stem Cell
3,4.122,SCI REP-UK,826,12,84,82,92,90,92,69,80,96,91,38,Cell Stem Cell
4,6.537,STEM CELL REP,627,14,46,64,94,85,92,53,63,44,61,11,Cell Stem Cell
5,,ONCOTARGET,617,9,16,57,95,65,75,67,70,56,36,71,Cell Stem Cell
6,23.290,CELL STEM CELL,525,74,95,69,65,56,50,35,26,28,21,6,Cell Stem Cell
7,12.353,NAT COMMUN,436,4,49,42,60,48,56,49,48,32,33,15,Cell Stem Cell
8,5.413,DEVELOPMENT,434,17,72,42,70,44,36,33,26,36,50,8,Cell Stem Cell
9,8.032,CELL REP,410,8,37,54,58,39,52,35,42,36,32,17,Cell Stem Cell
10,2.766,PLOS ONE,361,2,15,28,47,45,37,35,44,34,44,30,Cell Stem Cell
11,5.587,STEM CELLS,357,4,27,32,45,44,55,24,31,37,43,15,Cell Stem Cell
12,3.989,STEM CELLS INT,278,8,23,28,24,28,36,34,24,22,42,9,Cell Stem Cell
13,4.995,CURR OPIN GENET DEV,253,16,36,43,44,25,25,22,22,10,9,1,Cell Stem Cell
14,4.929,STEM CELL TRANSL MED,231,5,6,19,22,20,40,28,18,30,36,7,Cell Stem Cell
15,15.132,BLOOD,226,3,22,30,43,22,24,6,17,15,17,27,Cell Stem Cell
16,3.687,INT J MOL SCI,214,7,8,18,19,19,31,24,28,26,19,15,Cell Stem Cell
17,9.504,P NATL ACAD SCI USA,212,5,38,17,27,22,25,22,16,24,7,9,Cell Stem Cell
18,4.963,STEM CELL RES THER,195,3,11,20,18,18,24,26,23,27,21,4,Cell Stem Cell
19,3.315,STEM CELLS DEV,176,6,15,15,21,16,20,21,19,17,23,3,Cell Stem Cell
20,7.616,ELIFE,174,8,19,24,30,15,25,16,13,9,7,8,Cell Stem Cell
21,41.577,NATURE,172,12,19,28,37,26,10,15,10,5,6,4,Cell Stem Cell
22,3.902,STEM CELL RES,154,1,17,15,17,22,9,16,18,15,22,2,Cell Stem Cell
23,11.561,NUCLEIC ACIDS RES,147,0,14,25,20,22,18,11,11,10,8,8,Cell Stem Cell
24,19.064,NAT CELL BIOL,146,5,17,21,28,22,11,9,11,10,8,4,Cell Stem Cell
25,31.398,CELL,129,5,25,17,23,15,8,12,10,8,4,2,Cell Stem Cell
26,6.854,ONCOGENE,128,1,2,17,15,10,15,13,20,12,12,11,Cell Stem Cell
27,6.721,CELL MOL LIFE SCI,124,1,11,20,14,17,12,12,13,9,9,6,Cell Stem Cell
28,4.011,J BIOL CHEM,117,4,4,15,12,15,21,13,15,7,7,4,Cell Stem Cell
29,3.262,DEV BIOL,116,5,11,7,9,14,10,9,12,13,23,3,Cell Stem Cell
30,3.612,STEM CELL REV REP,113,0,14,11,14,10,12,9,13,13,14,3,Cell Stem Cell
31,5.511,FRONT IMMUNOL,111,0,8,16,18,24,7,8,8,8,9,5,Cell Stem Cell
32,3.174,PROG BRAIN RES,108,4,11,20,14,10,16,10,13,5,4,1,Cell Stem Cell
33,4.894,J MOL BIOL,105,1,5,12,20,14,18,9,5,9,10,2,Cell Stem Cell
34,9.130,CANCER RES,100,2,6,9,13,9,10,9,12,6,11,13,Cell Stem Cell
35,2.436,EXP HEMATOL,100,3,8,14,15,14,14,3,8,5,9,7,Cell Stem Cell
36,2.992,REGEN MED,99,0,36,13,5,6,6,4,7,2,17,3,Cell Stem Cell
37,3.125,BRAIN RES,98,0,0,8,12,29,16,8,12,4,6,3,Cell Stem Cell
38,1.184,JOVE-J VIS EXP,95,2,15,7,8,10,11,14,7,6,13,2,Cell Stem Cell
39,2.559,BIOCHEM BIOPH RES CO,94,1,22,5,8,11,11,6,7,11,6,6,Cell Stem Cell
40,8.806,BIOMATERIALS,94,1,10,15,12,8,13,7,9,14,4,1,Cell Stem Cell
41,2.168,CURR STEM CELL RES T,91,0,3,4,11,17,9,11,4,11,15,6,Cell Stem Cell
42,10.557,EMBO J,91,2,8,11,10,15,11,8,8,8,8,2,Cell Stem Cell
43,15.211,CIRC RES,89,3,13,7,17,13,9,6,5,8,7,1,Cell Stem Cell
44,10.015,CURR OPIN CELL BIOL,89,8,19,10,12,7,5,9,7,5,5,2,Cell Stem Cell
45,,METHOD MOL BIOL,89,0,2,5,22,14,14,4,9,6,6,7,Cell Stem Cell
46,5.638,CELL DEATH DIS,88,0,10,7,10,9,12,8,13,8,4,7,Cell Stem Cell
47,7.776,MOL CANCER,88,0,3,15,12,8,6,8,11,10,3,12,Cell Stem Cell
48,9.616,DEV CELL,87,0,7,7,16,8,8,8,6,10,15,2,Cell Stem Cell
49,10.790,J EXP MED,86,2,9,6,9,11,15,8,6,5,9,6,Cell Stem Cell
50,13.251,J CLIN INVEST,83,1,9,9,15,9,11,4,10,8,4,3,Cell Stem Cell
51,5.540,PLOS GENET,79,0,4,6,9,10,11,18,2,6,10,3,Cell Stem Cell
52,9.462,GENE DEV,77,5,16,6,11,7,9,3,4,7,6,3,Cell Stem Cell
53,13.660,ADV DRUG DELIVER REV,76,3,7,9,3,13,5,10,12,7,6,1,Cell Stem Cell
54,5.076,MOL NEUROBIOL,75,0,1,8,6,9,11,10,12,11,4,3,Cell Stem Cell
55,6.541,CURR OPIN NEUROBIOL,74,0,15,19,5,7,4,7,11,3,3,0,Cell Stem Cell
56,3.563,MOL CELL ENDOCRINOL,73,0,9,16,13,10,9,1,5,3,4,3,Cell Stem Cell
57,14.319,NEURON,73,7,6,17,3,10,10,2,9,0,7,2,Cell Stem Cell
