,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7517,302,771,823,840,806,611,552,479,393,311,1629,Cell Stem Cell
2, ,ALL OTHERS (431),431,20,41,43,34,38,27,30,24,19,18,137,Cell Stem Cell
3,41.577,NATURE,690,32,63,67,89,74,48,62,57,45,30,123,Cell Stem Cell
4,23.290,CELL STEM CELL,525,74,95,69,65,56,50,35,26,28,21,6,Cell Stem Cell
5,31.398,CELL,445,10,50,55,38,71,38,22,20,17,33,91,Cell Stem Cell
6,41.058,SCIENCE,277,11,38,41,27,23,12,21,15,9,10,70,Cell Stem Cell
7,9.504,P NATL ACAD SCI USA,237,1,11,16,17,17,23,24,16,13,10,89,Cell Stem Cell
8,5.413,DEVELOPMENT,168,2,20,20,13,12,8,10,9,9,4,61,Cell Stem Cell
9,35.724,NAT BIOTECHNOL,163,5,15,31,25,20,7,16,16,12,4,12,Cell Stem Cell
10,5.481,BIOINFORMATICS,131,1,2,17,18,14,9,6,24,32,0,8,Cell Stem Cell
11,15.132,BLOOD,130,1,10,12,15,10,15,6,12,5,3,41,Cell Stem Cell
12,26.919,NAT METHODS,122,6,6,18,17,27,31,8,1,2,1,5,Cell Stem Cell
13,9.462,GENE DEV,113,2,5,14,4,9,7,7,6,4,9,46,Cell Stem Cell
14,27.125,NAT GENET,112,5,8,9,3,14,12,7,4,5,6,39,Cell Stem Cell
15,19.064,NAT CELL BIOL,106,5,14,19,8,14,18,7,4,4,3,10,Cell Stem Cell
16,32.621,NAT MED,102,4,15,11,27,10,6,6,2,3,1,17,Cell Stem Cell
17,12.353,NAT COMMUN,95,10,21,30,16,11,4,3,0,0,0,0,Cell Stem Cell
18,11.561,NUCLEIC ACIDS RES,95,5,9,16,19,9,9,3,4,6,1,14,Cell Stem Cell
19,2.766,PLOS ONE,91,0,3,7,10,17,15,21,10,5,1,2,Cell Stem Cell
20,5.587,STEM CELLS,87,0,5,11,10,8,11,8,9,5,8,12,Cell Stem Cell
21,8.032,CELL REP,83,6,32,8,12,15,10,0,0,0,0,0,Cell Stem Cell
22,14.319,NEURON,83,1,8,7,16,11,4,11,3,2,2,18,Cell Stem Cell
23,13.214,GENOME BIOL,80,0,2,0,19,12,7,3,12,10,11,4,Cell Stem Cell
