Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"23,493",23.290,22.534,23.799,5.321,109,5.1,5.4,0.096,12.374,93.58,11.20800,98.03700,Cell Stem Cell
2016,"21,524",23.394,22.342,23.121,7.425,113,4.8,4.8,0.09235,11.738,88.50,10.59900,97.62500,Cell Stem Cell
2015,"18,575",22.387,21.262,22.567,3.712,104,4.6,4.7,0.09136,11.044,85.58,10.41334,97.60600,Cell Stem Cell
2014,"17,720",22.268,21.080,24.565,6.143,112,4.2,4.4,0.10245,12.105,84.82,11.47414,97.58700,Cell Stem Cell
2013,"15,492",22.151,20.986,25.911,5.956,113,3.7,4.5,0.11763,13.683,86.73,12.96560,97.39500,Cell Stem Cell
2012,"12,593",25.315,24.115,27.361,4.336,122,3.3,4.5,0.10026,13.047,77.05,Not Available,97.85400,Cell Stem Cell
2011,"10,145",25.421,24.450,27.494,6.646,96,2.7,4.2,0.10082,15.981,89.58,Not Available,96.95000,Cell Stem Cell
2010,"6,982",25.943,24.690,26.967,4.740,104,2.2,4.0,0.06641,14.263,90.38,Not Available,97.09400,Cell Stem Cell
2009,"4,007",23.563,21.971,23.563,6.724,98,1.7,3.7,0.04396,14.875,86.73,Not Available,96.83600,Cell Stem Cell
2008,"1,232",16.826,15.000,16.826,4.760,96,1.2,3.9,0.01254,12.304,94.79,Not Available,96.49700,Cell Stem Cell
2007,119,Not Available,Not Available,0.000,2.587,46,0.5,4.1,0.0,Not Available,82.61,Not Available,1.60300,Cell Stem Cell
