,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6369,148,502,663,631,628,540,431,401,329,273,1823,Cell Systems
2, ,ALL OTHERS (591),591,17,46,57,44,51,35,29,30,34,15,233,Cell Systems
3,31.398,CELL,385,7,47,47,32,49,43,27,16,22,23,72,Cell Systems
4,41.577,NATURE,383,3,33,39,46,17,35,32,25,23,21,109,Cell Systems
5,41.058,SCIENCE,329,5,21,31,30,35,23,26,12,19,14,113,Cell Systems
6,9.504,P NATL ACAD SCI USA,279,3,10,16,30,24,12,22,31,11,15,105,Cell Systems
7,11.561,NUCLEIC ACIDS RES,212,4,23,35,24,29,14,9,12,9,6,47,Cell Systems
8,5.481,BIOINFORMATICS,162,5,8,15,15,16,10,11,28,18,8,28,Cell Systems
9,26.919,NAT METHODS,144,6,16,16,14,31,23,6,7,8,9,8,Cell Systems
10,35.724,NAT BIOTECHNOL,136,2,15,18,18,12,9,5,17,7,7,26,Cell Systems
11,14.248,MOL CELL,107,3,4,11,13,16,10,4,15,10,2,19,Cell Systems
12,8.500,MOL SYST BIOL,102,4,6,15,7,8,8,24,5,8,3,14,Cell Systems
13,3.955,PLOS COMPUT BIOL,102,2,8,17,14,14,12,14,8,2,6,5,Cell Systems
14,2.766,PLOS ONE,92,0,3,7,10,22,20,12,9,4,4,1,Cell Systems
15,27.125,NAT GENET,88,1,5,13,6,10,3,4,1,8,5,32,Cell Systems
16,41.465,NAT REV GENET,81,0,6,8,6,8,12,9,3,5,2,22,Cell Systems
17,4.011,J BIOL CHEM,80,0,3,2,2,3,2,3,1,4,7,53,Cell Systems
18,13.214,GENOME BIOL,72,0,11,10,8,9,3,3,6,8,3,11,Cell Systems
19,10.101,GENOME RES,69,0,1,3,3,7,11,7,5,8,1,23,Cell Systems
20,8.982,CELL SYST,64,36,17,10,0,0,0,0,0,0,0,1,Cell Systems
21,5.540,PLOS GENET,54,0,2,4,12,6,7,7,5,4,2,5,Cell Systems
22,8.032,CELL REP,50,4,14,14,9,7,2,0,0,0,0,0,Cell Systems
23,12.353,NAT COMMUN,49,2,14,15,11,3,3,0,1,0,0,0,Cell Systems
24,9.462,GENE DEV,47,0,2,6,6,1,5,3,3,1,1,19,Cell Systems
25,3.219,J BACTERIOL,47,0,0,2,2,4,2,1,2,1,1,32,Cell Systems
26,7.616,ELIFE,45,2,18,9,10,2,0,0,0,0,0,4,Cell Systems
27,5.236,MOL CELL PROTEOMICS,45,4,4,2,7,7,14,1,0,0,2,4,Cell Systems
28,2.213,BMC BIOINFORMATICS,42,0,1,0,3,3,3,7,3,3,9,10,Cell Systems
29,12.423,NAT PROTOC,42,0,3,3,2,6,11,6,1,6,0,4,Cell Systems
30,19.064,NAT CELL BIOL,39,0,0,4,2,8,3,3,2,0,3,14,Cell Systems
31,10.557,EMBO J,37,0,1,0,4,1,1,3,3,1,0,23,Cell Systems
32,2.050,BMC SYST BIOL,36,0,2,3,3,3,6,8,5,2,2,2,Cell Systems
33,8.784,J CELL BIOL,36,1,2,2,2,1,2,0,2,1,0,23,Cell Systems
34,9.163,PLOS BIOL,36,1,5,1,3,3,0,3,3,3,2,12,Cell Systems
35,4.894,J MOL BIOL,35,0,1,1,1,0,0,1,1,0,2,28,Cell Systems
36,3.813,MOL CELL BIOL,35,0,0,1,2,1,1,1,1,0,0,28,Cell Systems
37,35.612,NAT REV MOL CELL BIO,35,0,2,5,2,3,4,1,5,1,4,8,Cell Systems
38,4.122,SCI REP-UK,32,3,15,8,1,2,2,1,0,0,0,0,Cell Systems
39,9.251,CURR BIOL,29,0,3,3,6,1,3,1,5,1,0,6,Cell Systems
40,3.950,J PROTEOME RES,29,0,2,3,6,3,3,2,2,3,4,1,Cell Systems
41,7.674,METAB ENG,29,3,5,6,2,3,2,0,2,1,1,4,Cell Systems
42,13.333,NAT STRUCT MOL BIOL,29,0,2,1,3,8,3,1,1,0,3,7,Cell Systems
43,3.495,BIOPHYS J,28,1,1,2,3,3,0,1,0,3,3,11,Cell Systems
44,6.378,SCI SIGNAL,28,1,1,3,3,5,3,1,5,5,1,0,Cell Systems
45,5.413,DEVELOPMENT,27,0,0,1,6,2,3,2,1,0,1,11,Cell Systems
46,3.512,MOL BIOL CELL,27,0,2,4,1,1,2,0,0,0,4,13,Cell Systems
47,3.633,APPL ENVIRON MICROB,25,0,0,0,2,2,2,1,1,1,3,13,Cell Systems
48,3.952,BIOTECHNOL BIOENG,25,0,0,1,3,2,4,2,1,3,2,7,Cell Systems
49,4.401,J CELL SCI,25,0,0,1,0,2,2,4,3,2,1,10,Cell Systems
50,3.816,MOL MICROBIOL,25,0,2,0,1,2,3,0,3,0,1,13,Cell Systems
51,4.075,GENETICS,24,0,1,1,1,1,3,2,0,1,1,13,Cell Systems
52,6.854,ONCOGENE,24,0,3,2,2,1,1,1,0,0,1,13,Cell Systems
53,23.290,CELL STEM CELL,23,0,1,7,3,2,4,1,1,2,1,1,Cell Systems
54,42.784,NAT REV CANCER,23,1,0,0,0,1,3,2,3,2,1,10,Cell Systems
55,14.319,NEURON,23,1,2,7,3,4,1,0,3,0,1,1,Cell Systems
56,3.730,BMC GENOMICS,22,0,0,4,4,2,2,1,0,2,1,6,Cell Systems
57,9.130,CANCER RES,22,0,0,0,0,2,1,3,3,1,1,11,Cell Systems
58,21.809,NAT IMMUNOL,21,0,2,2,2,1,2,0,0,3,2,7,Cell Systems
59,31.851,NAT REV MICROBIOL,20,1,2,0,3,0,6,1,2,0,1,4,Cell Systems
60,9.616,DEV CELL,18,0,1,4,2,0,0,3,2,2,1,3,Cell Systems
61,4.902,HUM MOL GENET,18,0,0,1,5,2,2,1,1,0,1,5,Cell Systems
62,79.260,NEW ENGL J MED,18,0,1,4,1,2,2,0,3,0,1,4,Cell Systems
63,15.132,BLOOD,17,0,2,2,0,1,3,3,0,0,0,6,Cell Systems
64,16.710,SCI TRANSL MED,17,0,0,4,1,7,3,1,1,0,0,0,Cell Systems
65,5.316,ACS SYNTH BIOL,16,0,5,3,2,1,3,0,0,0,0,2,Cell Systems
66,4.995,CURR OPIN GENET DEV,16,0,0,0,1,1,1,1,3,1,1,7,Cell Systems
67,13.251,J CLIN INVEST,16,0,0,0,2,3,1,0,2,0,0,8,Cell Systems
68,2.759,MOL BIOSYST,16,0,0,3,2,5,2,2,0,1,1,0,Cell Systems
69,3.857,BIOCHEM J,15,0,0,0,0,0,2,0,0,0,1,12,Cell Systems
70,2.533,J BIOTECHNOL,15,0,0,1,2,1,2,2,3,0,0,4,Cell Systems
71,6.042,ANAL CHEM,14,0,1,1,0,1,2,2,2,1,0,4,Cell Systems
