,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13275,183,617,1445,1226,2490,1986,2261,2065,1002,0,0,Cold Spring Harbor Perspectives in Biology
2,,ALL OTHERS (836),836,10,25,87,95,128,101,137,172,81,0,0,Cold Spring Harbor Perspectives in Biology
3,4.122,SCI REP-UK,525,5,19,47,34,93,80,107,94,46,0,0,Cold Spring Harbor Perspectives in Biology
4,2.766,PLOS ONE,250,3,9,23,21,41,40,39,42,32,0,0,Cold Spring Harbor Perspectives in Biology
5,9.504,P NATL ACAD SCI USA,226,4,8,14,32,58,28,38,36,8,0,0,Cold Spring Harbor Perspectives in Biology
6,,ONCOTARGET,224,2,11,16,15,56,30,31,34,29,0,0,Cold Spring Harbor Perspectives in Biology
7,7.616,ELIFE,199,2,9,26,19,38,30,37,19,19,0,0,Cold Spring Harbor Perspectives in Biology
8,12.353,NAT COMMUN,179,3,9,26,22,28,27,27,27,10,0,0,Cold Spring Harbor Perspectives in Biology
9,4.011,J BIOL CHEM,176,1,17,14,21,43,30,27,13,10,0,0,Cold Spring Harbor Perspectives in Biology
10,11.561,NUCLEIC ACIDS RES,169,2,5,18,25,58,25,20,14,2,0,0,Cold Spring Harbor Perspectives in Biology
11,3.687,INT J MOL SCI,153,2,6,10,11,38,18,25,33,10,0,0,Cold Spring Harbor Perspectives in Biology
12,8.032,CELL REP,128,0,8,11,15,23,28,26,11,6,0,0,Cold Spring Harbor Perspectives in Biology
13,3.512,MOL BIOL CELL,108,2,10,11,16,14,11,30,7,7,0,0,Cold Spring Harbor Perspectives in Biology
14,4.401,J CELL SCI,98,9,5,1,17,23,3,18,13,9,0,0,Cold Spring Harbor Perspectives in Biology
15,5.540,PLOS GENET,83,0,5,10,8,21,13,14,10,2,0,0,Cold Spring Harbor Perspectives in Biology
16,3.262,DEV BIOL,78,1,0,5,2,8,22,17,15,8,0,0,Cold Spring Harbor Perspectives in Biology
17,9.247,CSH PERSPECT BIOL,77,20,24,0,6,5,3,10,1,8,0,0,Cold Spring Harbor Perspectives in Biology
18,5.413,DEVELOPMENT,76,0,3,5,2,11,23,16,8,8,0,0,Cold Spring Harbor Perspectives in Biology
19,5.971,J NEUROSCI,72,0,4,18,1,3,21,20,3,2,0,0,Cold Spring Harbor Perspectives in Biology
20,5.511,FRONT IMMUNOL,71,3,4,4,6,18,10,5,12,9,0,0,Cold Spring Harbor Perspectives in Biology
21,3.902,FRONT MOL NEUROSCI,71,3,5,6,5,8,23,14,4,3,0,0,Cold Spring Harbor Perspectives in Biology
22,6.721,CELL MOL LIFE SCI,66,5,6,4,1,22,8,6,13,1,0,0,Cold Spring Harbor Perspectives in Biology
23,4.075,GENETICS,66,5,2,21,8,14,5,7,4,0,0,0,Cold Spring Harbor Perspectives in Biology
24,14.319,NEURON,66,1,5,17,3,4,22,10,3,1,0,0,Cold Spring Harbor Perspectives in Biology
25,2.559,BIOCHEM BIOPH RES CO,64,0,0,5,5,14,16,11,9,4,0,0,Cold Spring Harbor Perspectives in Biology
26,3.191,GENES-BASEL,61,1,0,2,4,40,6,4,2,2,0,0,Cold Spring Harbor Perspectives in Biology
27,9.616,DEV CELL,59,2,2,8,9,7,8,10,5,8,0,0,Cold Spring Harbor Perspectives in Biology
28,4.461,DNA REPAIR,58,0,0,9,7,39,1,2,0,0,0,0,Cold Spring Harbor Perspectives in Biology
29,6.854,ONCOGENE,58,1,4,3,3,10,10,2,22,3,0,0,Cold Spring Harbor Perspectives in Biology
30,8.784,J CELL BIOL,57,0,1,10,18,14,4,5,4,1,0,0,Cold Spring Harbor Perspectives in Biology
31,14.248,MOL CELL,55,1,1,11,7,22,8,4,1,0,0,0,Cold Spring Harbor Perspectives in Biology
32,4.019,FRONT MICROBIOL,52,0,3,2,6,17,5,12,5,2,0,0,Cold Spring Harbor Perspectives in Biology
33,,METHOD MOL BIOL,51,0,1,5,5,8,6,9,17,0,0,0,Cold Spring Harbor Perspectives in Biology
34,9.251,CURR BIOL,50,1,5,8,11,4,6,9,4,2,0,0,Cold Spring Harbor Perspectives in Biology
35,3.677,FRONT PLANT SCI,49,0,1,4,11,4,3,6,18,2,0,0,Cold Spring Harbor Perspectives in Biology
36,5.076,MOL NEUROBIOL,47,0,1,13,4,5,11,8,4,1,0,0,Cold Spring Harbor Perspectives in Biology
37,3.495,BIOPHYS J,45,0,2,4,3,3,5,13,14,1,0,0,Cold Spring Harbor Perspectives in Biology
38,31.398,CELL,44,0,1,4,9,6,3,11,10,0,0,0,Cold Spring Harbor Perspectives in Biology
39,6.541,CURR OPIN NEUROBIOL,44,0,4,21,0,2,13,1,2,1,0,0,Cold Spring Harbor Perspectives in Biology
40,9.462,GENE DEV,44,1,1,9,5,13,4,1,10,0,0,0,Cold Spring Harbor Perspectives in Biology
41,6.138,SEMIN CELL DEV BIOL,43,0,4,2,1,7,12,8,7,2,0,0,Cold Spring Harbor Perspectives in Biology
42,5.666,PHILOS T R SOC B,42,0,0,8,10,9,9,3,2,1,0,0,Cold Spring Harbor Perspectives in Biology
43,41.058,SCIENCE,42,1,1,10,5,9,2,5,8,1,0,0,Cold Spring Harbor Perspectives in Biology
44,3.457,BIOMED PHARMACOTHER,41,0,1,0,1,13,7,9,2,8,0,0,Cold Spring Harbor Perspectives in Biology
45,18.564,TRENDS CELL BIOL,41,2,6,6,6,11,3,5,2,0,0,0,Cold Spring Harbor Perspectives in Biology
46,10.557,EMBO J,40,1,0,1,7,13,7,6,5,0,0,0,Cold Spring Harbor Perspectives in Biology
47,4.300,FRONT CELL NEUROSCI,40,0,4,10,2,5,8,3,2,6,0,0,Cold Spring Harbor Perspectives in Biology
48,3.877,FRONT NEUROSCI-SWITZ,40,0,7,13,3,4,2,5,3,3,0,0,Cold Spring Harbor Perspectives in Biology
49,3.312,MOL CELL NEUROSCI,40,0,3,7,0,2,4,13,9,2,0,0,Cold Spring Harbor Perspectives in Biology
50,41.577,NATURE,40,1,4,8,4,8,2,11,2,0,0,0,Cold Spring Harbor Perspectives in Biology
51,6.020,FREE RADICAL BIO MED,39,0,0,0,4,22,3,3,3,4,0,0,Cold Spring Harbor Perspectives in Biology
52,3.487,CELL SIGNAL,37,0,1,2,1,9,4,3,11,6,0,0,Cold Spring Harbor Perspectives in Biology
53,4.368,J VIROL,37,0,1,0,4,11,4,10,3,4,0,0,Cold Spring Harbor Perspectives in Biology
54,5.595,FASEB J,36,0,1,1,3,9,7,3,9,3,0,0,Cold Spring Harbor Perspectives in Biology
55,4.894,J MOL BIOL,36,1,7,2,6,3,5,3,5,4,0,0,Cold Spring Harbor Perspectives in Biology
56,3.309,EXP CELL RES,35,0,2,2,1,3,8,8,3,8,0,0,Cold Spring Harbor Perspectives in Biology
57,4.540,J PHYSIOL-LONDON,35,0,0,7,1,0,8,13,5,1,0,0,Cold Spring Harbor Perspectives in Biology
58,6.158,PLOS PATHOG,34,0,1,4,7,6,5,5,4,2,0,0,Cold Spring Harbor Perspectives in Biology
59,4.419,BIOESSAYS,33,0,1,7,5,6,2,4,5,3,0,0,Cold Spring Harbor Perspectives in Biology
60,3.304,CELL CYCLE,33,0,0,7,2,9,3,4,4,4,0,0,Cold Spring Harbor Perspectives in Biology
61,3.394,FRONT PHYSIOL,33,0,2,4,8,4,4,5,5,1,0,0,Cold Spring Harbor Perspectives in Biology
62,13.251,J CLIN INVEST,33,0,1,5,2,7,4,4,6,4,0,0,Cold Spring Harbor Perspectives in Biology
63,4.651,BBA-MOL CELL RES,32,0,0,3,1,4,7,11,2,4,0,0,Cold Spring Harbor Perspectives in Biology
64,5.638,CELL DEATH DIS,32,0,2,3,3,8,6,2,5,3,0,0,Cold Spring Harbor Perspectives in Biology
65,1.664,ONCOL LETT,32,0,0,1,1,17,5,2,4,2,0,0,Cold Spring Harbor Perspectives in Biology
66,5.216,RNA BIOL,32,0,1,2,0,6,7,12,4,0,0,0,Cold Spring Harbor Perspectives in Biology
67,3.730,BMC GENOMICS,31,0,0,2,4,6,5,7,7,0,0,0,Cold Spring Harbor Perspectives in Biology
68,4.530,FEBS J,31,3,3,1,2,6,3,5,7,1,0,0,Cold Spring Harbor Perspectives in Biology
69,2.999,FEBS LETT,31,0,3,7,4,3,6,6,2,0,0,0,Cold Spring Harbor Perspectives in Biology
70,2.997,BIOCHEMISTRY-US,30,0,1,1,2,10,5,3,7,1,0,0,Cold Spring Harbor Perspectives in Biology
71,4.902,HUM MOL GENET,30,2,2,1,4,10,4,5,0,2,0,0,Cold Spring Harbor Perspectives in Biology
72,9.130,CANCER RES,29,0,0,1,2,5,3,2,13,3,0,0,Cold Spring Harbor Perspectives in Biology
73,3.923,J CELL PHYSIOL,29,0,0,4,1,2,4,6,7,5,0,0,Cold Spring Harbor Perspectives in Biology
74,5.354,J EXP BOT,29,0,1,3,2,2,1,8,12,0,0,0,Cold Spring Harbor Perspectives in Biology
75,2.217,BIOL OPEN,28,0,0,1,1,4,7,7,3,5,0,0,Cold Spring Harbor Perspectives in Biology
76,8.749,EMBO REP,28,1,1,4,2,12,1,3,2,2,0,0,Cold Spring Harbor Perspectives in Biology
77,4.609,J NEUROCHEM,28,0,2,10,2,1,5,3,4,1,0,0,Cold Spring Harbor Perspectives in Biology
78,35.612,NAT REV MOL CELL BIO,28,3,0,3,2,9,1,7,3,0,0,0,Cold Spring Harbor Perspectives in Biology
79,3.761,VIRUSES-BASEL,28,0,0,0,3,15,4,2,4,0,0,0,Cold Spring Harbor Perspectives in Biology
80,8.000,CELL DEATH DIFFER,27,0,1,0,0,8,11,5,2,0,0,0,Cold Spring Harbor Perspectives in Biology
81,3.219,J BACTERIOL,27,0,1,1,0,9,0,3,13,0,0,0,Cold Spring Harbor Perspectives in Biology
82,4.539,J IMMUNOL,27,0,0,0,2,7,8,2,6,2,0,0,Cold Spring Harbor Perspectives in Biology
83,1.184,JOVE-J VIS EXP,27,0,3,1,4,4,7,5,3,0,0,0,Cold Spring Harbor Perspectives in Biology
84,2.598,DEV NEUROBIOL,26,0,0,5,5,2,4,4,4,2,0,0,Cold Spring Harbor Perspectives in Biology
85,3.831,FRONT PHARMACOL,26,1,1,3,1,7,3,5,2,3,0,0,Cold Spring Harbor Perspectives in Biology
86,1.922,MOL MED REP,26,1,0,3,2,6,5,4,3,2,0,0,Cold Spring Harbor Perspectives in Biology
87,3.438,BBA-BIOMEMBRANES,25,0,0,0,5,9,1,9,1,0,0,0,Cold Spring Harbor Perspectives in Biology
88,10.015,CURR OPIN CELL BIOL,25,0,3,0,2,2,4,7,4,3,0,0,Cold Spring Harbor Perspectives in Biology
89,3.813,MOL CELL BIOL,25,0,2,2,2,11,2,3,2,1,0,0,Cold Spring Harbor Perspectives in Biology
90,3.979,CSH PERSPECT MED,24,3,1,0,0,1,1,4,11,3,0,0,Cold Spring Harbor Perspectives in Biology
91,2.349,FRONT BIOSCI-LANDMRK,24,0,0,2,3,7,6,4,1,1,0,0,Cold Spring Harbor Perspectives in Biology
92,8.136,MATRIX BIOL,24,0,0,0,0,0,1,21,1,1,0,0,Cold Spring Harbor Perspectives in Biology
93,13.333,NAT STRUCT MOL BIOL,24,0,1,4,5,6,2,2,4,0,0,0,Cold Spring Harbor Perspectives in Biology
94,3.955,PLOS COMPUT BIOL,24,0,0,1,2,2,7,3,5,4,0,0,Cold Spring Harbor Perspectives in Biology
95,6.537,STEM CELL REP,24,0,1,9,0,2,7,2,2,1,0,0,Cold Spring Harbor Perspectives in Biology
96,,TRANSL EPIGENET SER,24,0,2,3,9,6,1,2,1,0,0,0,Cold Spring Harbor Perspectives in Biology
