,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,13165,39,455,771,921,826,867,808,688,734,636,6420,Cold Spring Harbor Perspectives in Biology
2, ,ALL OTHERS (620),620,5,41,56,52,48,41,29,33,25,28,262,Cold Spring Harbor Perspectives in Biology
3,8.784,J CELL BIOL,706,0,9,23,21,32,28,32,23,32,21,485,Cold Spring Harbor Perspectives in Biology
4,9.504,P NATL ACAD SCI USA,647,1,17,28,49,53,41,49,31,30,32,316,Cold Spring Harbor Perspectives in Biology
5,31.398,CELL,533,0,10,22,23,33,30,34,25,25,25,306,Cold Spring Harbor Perspectives in Biology
6,41.577,NATURE,500,0,8,18,22,23,15,20,30,17,27,320,Cold Spring Harbor Perspectives in Biology
7,4.011,J BIOL CHEM,468,0,6,9,13,13,26,19,17,24,14,327,Cold Spring Harbor Perspectives in Biology
8,41.058,SCIENCE,393,1,14,12,18,20,31,22,13,24,19,219,Cold Spring Harbor Perspectives in Biology
9,4.401,J CELL SCI,332,0,12,19,31,22,17,13,19,21,11,167,Cold Spring Harbor Perspectives in Biology
10,5.413,DEVELOPMENT,331,0,7,8,13,10,14,21,10,20,18,210,Cold Spring Harbor Perspectives in Biology
11,3.512,MOL BIOL CELL,308,0,5,22,22,18,26,20,16,15,10,154,Cold Spring Harbor Perspectives in Biology
12,27.125,NAT GENET,249,0,1,3,3,8,11,20,10,15,13,165,Cold Spring Harbor Perspectives in Biology
13,19.064,NAT CELL BIOL,231,0,8,17,16,15,27,20,22,10,13,83,Cold Spring Harbor Perspectives in Biology
14,9.251,CURR BIOL,192,0,1,19,18,20,13,11,16,15,9,70,Cold Spring Harbor Perspectives in Biology
15,3.262,DEV BIOL,177,0,2,5,4,8,7,9,8,7,10,117,Cold Spring Harbor Perspectives in Biology
16,9.616,DEV CELL,162,0,3,26,15,13,21,10,10,12,13,39,Cold Spring Harbor Perspectives in Biology
17,2.766,PLOS ONE,156,0,4,11,23,20,32,26,13,16,10,1,Cold Spring Harbor Perspectives in Biology
18,8.855,AM J HUM GENET,155,0,0,8,9,16,15,18,13,12,10,54,Cold Spring Harbor Perspectives in Biology
19,9.462,GENE DEV,152,0,0,1,3,6,4,9,4,5,12,108,Cold Spring Harbor Perspectives in Biology
20,10.557,EMBO J,142,0,4,9,3,2,5,2,1,2,3,111,Cold Spring Harbor Perspectives in Biology
21,5.971,J NEUROSCI,139,0,1,1,4,9,10,8,6,7,8,85,Cold Spring Harbor Perspectives in Biology
22,14.319,NEURON,138,0,0,6,12,14,7,12,7,5,3,72,Cold Spring Harbor Perspectives in Biology
23,4.539,J IMMUNOL,115,0,0,3,0,7,6,3,5,5,5,81,Cold Spring Harbor Perspectives in Biology
24,35.612,NAT REV MOL CELL BIO,114,0,4,2,20,4,10,10,5,16,9,34,Cold Spring Harbor Perspectives in Biology
25,4.902,HUM MOL GENET,112,0,2,13,10,9,4,10,4,10,6,44,Cold Spring Harbor Perspectives in Biology
26,13.251,J CLIN INVEST,111,0,1,3,7,6,5,5,8,19,6,51,Cold Spring Harbor Perspectives in Biology
27,3.813,MOL CELL BIOL,108,1,1,2,1,4,5,7,6,1,5,75,Cold Spring Harbor Perspectives in Biology
28,10.015,CURR OPIN CELL BIOL,85,0,6,12,7,8,9,3,7,5,7,21,Cold Spring Harbor Perspectives in Biology
29,9.130,CANCER RES,79,0,1,2,3,2,0,9,5,3,9,45,Cold Spring Harbor Perspectives in Biology
30,9.247,CSH PERSPECT BIOL,77,20,24,0,6,5,3,10,1,8,0,0,Cold Spring Harbor Perspectives in Biology
31,12.353,NAT COMMUN,76,0,8,22,24,11,4,7,0,0,0,0,Cold Spring Harbor Perspectives in Biology
32,10.790,J EXP MED,74,0,1,1,1,1,7,2,3,4,1,53,Cold Spring Harbor Perspectives in Biology
33,14.248,MOL CELL,73,0,1,7,5,3,3,2,5,5,4,38,Cold Spring Harbor Perspectives in Biology
34,6.854,ONCOGENE,69,0,1,4,4,5,1,3,2,1,4,44,Cold Spring Harbor Perspectives in Biology
35,15.132,BLOOD,62,0,2,1,0,3,5,3,5,5,5,33,Cold Spring Harbor Perspectives in Biology
36,32.621,NAT MED,61,0,0,6,5,7,6,1,2,6,6,22,Cold Spring Harbor Perspectives in Biology
37, ,CELL MOTIL CYTOSKEL,57,0,0,0,0,0,0,0,0,5,5,47,Cold Spring Harbor Perspectives in Biology
38,5.540,PLOS GENET,57,1,8,6,7,12,2,5,2,5,2,7,Cold Spring Harbor Perspectives in Biology
39,3.285,VACCINE,57,0,3,5,6,6,4,7,3,5,2,16,Cold Spring Harbor Perspectives in Biology
40,2.559,BIOCHEM BIOPH RES CO,54,0,0,0,2,0,1,2,2,1,3,43,Cold Spring Harbor Perspectives in Biology
41,79.260,NEW ENGL J MED,52,0,1,2,1,4,6,4,4,3,0,27,Cold Spring Harbor Perspectives in Biology
42,9.163,PLOS BIOL,52,0,3,3,3,4,5,5,3,7,5,14,Cold Spring Harbor Perspectives in Biology
43,18.564,TRENDS CELL BIOL,52,0,3,7,4,6,1,4,6,1,4,16,Cold Spring Harbor Perspectives in Biology
44,23.290,CELL STEM CELL,51,0,1,2,7,1,9,4,15,4,6,2,Cold Spring Harbor Perspectives in Biology
45,19.912,NAT NEUROSCI,50,0,2,10,3,2,1,4,2,2,5,19,Cold Spring Harbor Perspectives in Biology
46,15.876,ACTA NEUROPATHOL,49,0,6,3,7,5,4,3,2,5,3,11,Cold Spring Harbor Perspectives in Biology
47,21.809,NAT IMMUNOL,48,0,2,1,3,5,8,4,3,2,5,15,Cold Spring Harbor Perspectives in Biology
48,8.032,CELL REP,47,0,4,16,11,14,2,0,0,0,0,0,Cold Spring Harbor Perspectives in Biology
49,3.495,BIOPHYS J,46,0,1,2,9,3,4,3,7,2,3,12,Cold Spring Harbor Perspectives in Biology
50,4.894,J MOL BIOL,45,0,0,1,1,3,2,2,2,4,2,28,Cold Spring Harbor Perspectives in Biology
51,7.616,ELIFE,42,0,5,16,12,8,1,0,0,0,0,0,Cold Spring Harbor Perspectives in Biology
52,3.309,EXP CELL RES,42,0,1,1,2,1,0,1,2,0,4,30,Cold Spring Harbor Perspectives in Biology
53,19.734,IMMUNITY,42,0,3,2,2,5,7,2,2,2,0,17,Cold Spring Harbor Perspectives in Biology
54,11.561,NUCLEIC ACIDS RES,42,0,3,1,5,3,5,1,5,2,0,17,Cold Spring Harbor Perspectives in Biology
55,2.451,CYTOSKELETON,41,0,3,0,6,4,14,9,5,0,0,0,Cold Spring Harbor Perspectives in Biology
56,22.844,CANCER CELL,38,0,0,2,0,0,5,2,4,5,1,19,Cold Spring Harbor Perspectives in Biology
57,8.655,J AM SOC NEPHROL,38,0,1,1,5,5,0,1,3,4,1,17,Cold Spring Harbor Perspectives in Biology
58,6.448,J INVEST DERMATOL,38,1,4,4,6,4,4,2,2,0,3,8,Cold Spring Harbor Perspectives in Biology
59,8.055,NEUROLOGY,38,0,1,1,1,3,2,1,0,4,6,19,Cold Spring Harbor Perspectives in Biology
60,5.595,FASEB J,37,0,2,2,9,1,1,3,2,3,1,13,Cold Spring Harbor Perspectives in Biology
61,20.773,GASTROENTEROLOGY,37,0,1,0,2,3,0,10,1,4,1,15,Cold Spring Harbor Perspectives in Biology
62,35.724,NAT BIOTECHNOL,37,0,0,2,3,2,1,1,6,6,2,14,Cold Spring Harbor Perspectives in Biology
63,5.751,J MED GENET,36,0,0,2,3,4,7,2,2,1,0,15,Cold Spring Harbor Perspectives in Biology
64,3.678,MOL ENDOCRINOL,36,0,0,1,2,0,0,0,3,1,1,28,Cold Spring Harbor Perspectives in Biology
65,13.333,NAT STRUCT MOL BIOL,36,0,3,2,3,4,2,3,6,3,1,9,Cold Spring Harbor Perspectives in Biology
66,4.122,SCI REP-UK,36,0,13,17,3,2,1,0,0,0,0,0,Cold Spring Harbor Perspectives in Biology
67, ,COLD SPRING HARB PER,35,2,29,1,1,0,0,1,0,1,0,0,Cold Spring Harbor Perspectives in Biology
68,4.075,GENETICS,35,0,0,0,0,0,3,3,0,2,2,25,Cold Spring Harbor Perspectives in Biology
69,4.609,J NEUROCHEM,35,0,1,0,2,0,0,0,1,4,3,24,Cold Spring Harbor Perspectives in Biology
70,5.359,HUM MUTAT,34,0,2,2,5,3,5,2,3,3,3,6,Cold Spring Harbor Perspectives in Biology
71,1.900,MECH DEVELOP,34,0,0,0,0,0,1,0,0,1,1,31,Cold Spring Harbor Perspectives in Biology
72,10.250,ANN NEUROL,33,0,2,1,2,1,0,3,1,2,2,19,Cold Spring Harbor Perspectives in Biology
