,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,26896,392,1493,2440,2145,2074,1776,1784,2103,2145,1956,8588,DEVELOPMENTAL CELL
2,,ALL OTHERS (768),768,4,31,40,39,44,41,52,66,80,56,315,DEVELOPMENTAL CELL
3,4.122,SCI REP-UK,1029,9,43,80,80,77,63,61,89,79,85,363,DEVELOPMENTAL CELL
4,5.413,DEVELOPMENT,816,19,63,85,69,53,58,55,54,64,41,255,DEVELOPMENTAL CELL
5,12.353,NAT COMMUN,693,5,44,85,60,53,42,59,49,63,32,201,DEVELOPMENTAL CELL
6,7.616,ELIFE,648,15,43,72,62,52,45,43,35,39,51,191,DEVELOPMENTAL CELL
7,9.616,DEV CELL,571,80,33,73,47,42,45,27,39,27,31,127,DEVELOPMENTAL CELL
8,2.766,PLOS ONE,533,3,13,32,34,29,21,41,47,51,50,212,DEVELOPMENTAL CELL
9,3.262,DEV BIOL,464,3,20,57,20,37,32,29,32,37,36,161,DEVELOPMENTAL CELL
10,,ONCOTARGET,444,4,15,24,30,43,21,25,41,43,53,145,DEVELOPMENTAL CELL
11,9.504,P NATL ACAD SCI USA,427,2,37,50,35,43,18,32,37,30,36,107,DEVELOPMENTAL CELL
12,8.784,J CELL BIOL,359,6,25,60,42,19,25,32,22,27,12,89,DEVELOPMENTAL CELL
13,5.540,PLOS GENET,330,7,17,37,17,29,18,24,21,22,35,103,DEVELOPMENTAL CELL
14,4.401,J CELL SCI,329,4,21,39,36,18,25,26,19,32,17,92,DEVELOPMENTAL CELL
15,8.032,CELL REP,309,5,20,37,25,29,19,25,30,26,17,76,DEVELOPMENTAL CELL
16,3.512,MOL BIOL CELL,291,2,22,41,27,26,25,19,13,18,14,84,DEVELOPMENTAL CELL
17,6.138,SEMIN CELL DEV BIOL,251,7,16,21,16,14,14,10,24,26,12,91,DEVELOPMENTAL CELL
18,3.687,INT J MOL SCI,250,2,11,12,21,10,16,20,21,23,18,96,DEVELOPMENTAL CELL
19,9.251,CURR BIOL,246,9,28,28,19,24,18,18,17,12,13,60,DEVELOPMENTAL CELL
20,4.011,J BIOL CHEM,228,7,10,14,25,11,14,12,22,20,13,80,DEVELOPMENTAL CELL
21,4.075,GENETICS,187,3,10,12,14,15,15,7,9,12,15,75,DEVELOPMENTAL CELL
22,10.015,CURR OPIN CELL BIOL,185,2,24,23,18,23,15,10,18,13,6,33,DEVELOPMENTAL CELL
23,3.677,FRONT PLANT SCI,178,4,11,17,17,13,9,10,23,8,12,54,DEVELOPMENTAL CELL
24,6.721,CELL MOL LIFE SCI,168,0,9,16,15,13,10,6,11,13,16,59,DEVELOPMENTAL CELL
25,9.247,CSH PERSPECT BIOL,162,0,3,26,15,13,21,10,10,12,13,39,DEVELOPMENTAL CELL
26,19.064,NAT CELL BIOL,153,3,6,20,17,7,14,8,16,16,8,38,DEVELOPMENTAL CELL
27,1.900,MECH DEVELOP,152,0,6,18,9,12,9,11,14,9,9,55,DEVELOPMENTAL CELL
28,,METHOD MOL BIOL,146,0,1,9,17,10,8,10,18,12,5,56,DEVELOPMENTAL CELL
29,6.854,ONCOGENE,136,1,2,8,12,10,13,11,16,13,20,30,DEVELOPMENTAL CELL
30,,RESULTS PROBL CELL D,134,0,1,15,14,11,11,9,6,10,7,50,DEVELOPMENTAL CELL
31,5.949,PLANT PHYSIOL,128,0,7,11,13,20,17,4,6,9,7,34,DEVELOPMENTAL CELL
32,9.462,GENE DEV,124,1,9,19,9,10,9,7,11,13,8,28,DEVELOPMENTAL CELL
33,11.561,NUCLEIC ACIDS RES,122,0,11,13,10,12,7,11,10,9,7,32,DEVELOPMENTAL CELL
34,2.559,BIOCHEM BIOPH RES CO,121,0,4,5,6,13,3,8,11,15,12,44,DEVELOPMENTAL CELL
35,18.564,TRENDS CELL BIOL,120,3,11,17,19,10,10,6,6,3,6,29,DEVELOPMENTAL CELL
36,5.354,J EXP BOT,119,1,5,13,6,25,5,8,19,7,10,20,DEVELOPMENTAL CELL
37,3.304,CELL CYCLE,114,7,10,10,16,11,4,1,4,5,4,42,DEVELOPMENTAL CELL
38,31.398,CELL,113,3,9,13,19,10,4,9,8,4,2,32,DEVELOPMENTAL CELL
39,35.612,NAT REV MOL CELL BIO,113,1,9,17,10,10,8,12,7,5,10,24,DEVELOPMENTAL CELL
40,6.537,STEM CELL REP,110,0,8,10,10,13,8,8,9,10,5,29,DEVELOPMENTAL CELL
41,1.760,ADV EXP MED BIOL,109,0,2,7,10,4,5,6,4,11,5,55,DEVELOPMENTAL CELL
42,10.557,EMBO J,107,2,16,12,15,6,4,6,6,8,7,25,DEVELOPMENTAL CELL
43,13.251,J CLIN INVEST,106,1,7,9,7,12,15,10,6,9,5,25,DEVELOPMENTAL CELL
44,41.577,NATURE,105,1,16,18,5,16,3,5,9,9,3,20,DEVELOPMENTAL CELL
45,2.217,BIOL OPEN,103,2,4,6,8,10,9,9,9,8,8,30,DEVELOPMENTAL CELL
46,2.507,DEV DYNAM,103,2,3,11,14,9,5,5,9,6,3,36,DEVELOPMENTAL CELL
47,3.110,CURR TOP DEV BIOL,100,0,3,10,10,4,7,3,7,8,7,41,DEVELOPMENTAL CELL
48,4.419,BIOESSAYS,98,3,10,16,8,7,6,6,5,0,5,32,DEVELOPMENTAL CELL
49,3.309,EXP CELL RES,98,1,2,12,2,7,3,3,8,10,7,43,DEVELOPMENTAL CELL
50,4.995,CURR OPIN GENET DEV,94,0,14,16,3,16,6,8,8,7,1,15,DEVELOPMENTAL CELL
51,4.651,BBA-MOL CELL RES,90,0,12,8,12,8,9,4,6,5,4,22,DEVELOPMENTAL CELL
52,4.894,J MOL BIOL,85,2,8,7,15,7,1,8,7,5,2,23,DEVELOPMENTAL CELL
53,2.742,G3-GENES GENOM GENET,84,2,1,1,6,6,2,7,5,5,14,35,DEVELOPMENTAL CELL
54,4.902,HUM MOL GENET,84,0,4,8,5,9,14,6,3,5,7,23,DEVELOPMENTAL CELL
55,14.248,MOL CELL,84,3,9,10,7,8,8,3,6,2,4,24,DEVELOPMENTAL CELL
56,5.595,FASEB J,82,0,1,5,5,7,9,5,5,8,7,30,DEVELOPMENTAL CELL
57,41.058,SCIENCE,82,5,9,10,7,8,6,2,4,3,9,19,DEVELOPMENTAL CELL
58,3.730,BMC GENOMICS,81,1,3,5,9,5,6,2,6,5,6,33,DEVELOPMENTAL CELL
59,8.749,EMBO REP,80,1,3,9,5,8,9,7,5,14,3,16,DEVELOPMENTAL CELL
60,9.032,ANNU REV CELL DEV BI,78,1,11,9,9,6,4,4,5,0,3,26,DEVELOPMENTAL CELL
61,1.922,MOL MED REP,78,0,2,2,2,5,0,3,9,10,14,31,DEVELOPMENTAL CELL
62,5.666,PHILOS T R SOC B,78,0,10,8,3,9,6,5,6,5,5,21,DEVELOPMENTAL CELL
63,3.394,FRONT PHYSIOL,76,1,2,5,5,9,3,6,10,9,6,20,DEVELOPMENTAL CELL
64,1.579,INT J DEV BIOL,74,0,3,5,3,3,2,9,4,6,4,35,DEVELOPMENTAL CELL
65,8.228,PLANT CELL,72,5,12,7,4,5,5,6,8,1,8,11,DEVELOPMENTAL CELL
66,1.588,METHOD CELL BIOL,71,0,4,13,12,10,5,3,0,2,0,22,DEVELOPMENTAL CELL
67,8.000,CELL DEATH DIFFER,70,0,10,3,1,5,0,1,7,7,6,30,DEVELOPMENTAL CELL
68,5.343,WIRES DEV BIOL,70,0,3,10,7,1,5,6,5,4,2,27,DEVELOPMENTAL CELL
69,3.286,OPEN BIOL,68,2,3,13,5,3,2,2,4,7,2,25,DEVELOPMENTAL CELL
70,5.638,CELL DEATH DIS,67,0,2,5,2,3,3,3,14,6,7,22,DEVELOPMENTAL CELL
71,5.971,J NEUROSCI,67,0,4,13,11,2,6,6,5,7,4,9,DEVELOPMENTAL CELL
72,3.487,CELL SIGNAL,66,1,3,2,4,4,3,3,2,12,6,26,DEVELOPMENTAL CELL
73,23.290,CELL STEM CELL,66,1,7,8,8,5,3,4,6,3,2,19,DEVELOPMENTAL CELL
74,15.211,CIRC RES,65,0,5,5,0,4,12,7,2,6,8,16,DEVELOPMENTAL CELL
75,11.100,AUTOPHAGY,63,1,2,11,6,2,3,7,0,6,5,20,DEVELOPMENTAL CELL
76,7.349,CURR OPIN PLANT BIOL,63,2,7,9,10,12,4,3,7,0,4,5,DEVELOPMENTAL CELL
77,3.902,FRONT MOL NEUROSCI,63,0,5,6,8,6,4,5,1,5,1,22,DEVELOPMENTAL CELL
78,1.184,JOVE-J VIS EXP,62,0,6,8,5,2,9,6,2,2,3,19,DEVELOPMENTAL CELL
