,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,12847,401,775,1076,984,999,942,888,795,762,635,4590,DEVELOPMENTAL CELL
2, ,ALL OTHERS (542),542,18,26,34,27,34,33,34,26,19,23,268,DEVELOPMENTAL CELL
3,31.398,CELL,803,23,43,41,51,50,61,46,34,62,42,350,DEVELOPMENTAL CELL
4,5.413,DEVELOPMENT,706,12,38,35,59,48,38,50,35,37,28,326,DEVELOPMENTAL CELL
5,41.577,NATURE,668,28,34,59,32,46,35,44,56,36,40,258,DEVELOPMENTAL CELL
6,9.616,DEV CELL,571,80,33,73,47,42,45,27,39,27,31,127,DEVELOPMENTAL CELL
7,9.504,P NATL ACAD SCI USA,520,3,13,26,24,52,43,35,34,47,45,198,DEVELOPMENTAL CELL
8,41.058,SCIENCE,465,22,27,42,16,36,35,37,26,19,28,177,DEVELOPMENTAL CELL
9,8.784,J CELL BIOL,421,5,16,31,31,26,21,28,43,17,23,180,DEVELOPMENTAL CELL
10,9.251,CURR BIOL,347,11,13,29,16,23,22,22,33,17,15,146,DEVELOPMENTAL CELL
11,19.064,NAT CELL BIOL,289,13,19,30,17,33,23,21,28,8,10,87,DEVELOPMENTAL CELL
12,9.462,GENE DEV,280,2,14,15,11,11,15,19,16,12,8,157,DEVELOPMENTAL CELL
13,3.262,DEV BIOL,275,3,5,9,10,8,10,24,24,12,16,154,DEVELOPMENTAL CELL
14,4.011,J BIOL CHEM,267,1,6,14,11,14,19,14,15,13,15,145,DEVELOPMENTAL CELL
15,10.557,EMBO J,204,4,8,12,12,15,12,16,8,11,5,101,DEVELOPMENTAL CELL
16,14.248,MOL CELL,185,7,13,23,11,20,6,9,12,14,16,54,DEVELOPMENTAL CELL
17,35.612,NAT REV MOL CELL BIO,180,4,17,13,16,21,12,18,9,29,11,30,DEVELOPMENTAL CELL
18,4.401,J CELL SCI,159,4,9,8,7,12,16,14,11,14,7,57,DEVELOPMENTAL CELL
19,3.512,MOL BIOL CELL,150,3,5,14,9,7,15,9,6,10,9,63,DEVELOPMENTAL CELL
20,7.616,ELIFE,145,12,40,50,27,15,1,0,0,0,0,0,DEVELOPMENTAL CELL
21,12.353,NAT COMMUN,136,7,36,38,29,12,6,6,2,0,0,0,DEVELOPMENTAL CELL
22,2.766,PLOS ONE,136,1,5,13,19,31,16,19,14,10,6,2,DEVELOPMENTAL CELL
23,8.032,CELL REP,131,6,34,27,27,25,12,0,0,0,0,0,DEVELOPMENTAL CELL
24,26.919,NAT METHODS,122,4,4,2,9,21,38,9,3,12,9,11,DEVELOPMENTAL CELL
25,5.540,PLOS GENET,112,1,9,18,13,11,17,13,9,8,3,10,DEVELOPMENTAL CELL
26,8.228,PLANT CELL,110,6,3,5,7,8,15,10,3,6,5,42,DEVELOPMENTAL CELL
27,11.561,NUCLEIC ACIDS RES,108,2,11,17,7,4,9,8,7,7,5,31,DEVELOPMENTAL CELL
28,27.125,NAT GENET,104,3,4,4,1,7,6,10,2,7,9,51,DEVELOPMENTAL CELL
29,14.319,NEURON,104,6,3,5,7,6,11,6,9,3,5,43,DEVELOPMENTAL CELL
30,4.075,GENETICS,98,3,4,12,6,4,5,6,1,2,1,54,DEVELOPMENTAL CELL
31,5.971,J NEUROSCI,98,1,1,3,6,3,12,10,7,3,4,48,DEVELOPMENTAL CELL
32,3.813,MOL CELL BIOL,98,0,3,4,3,6,4,3,4,5,5,61,DEVELOPMENTAL CELL
33,5.481,BIOINFORMATICS,92,0,3,5,10,10,1,8,15,25,2,13,DEVELOPMENTAL CELL
34,23.290,CELL STEM CELL,87,0,7,7,16,8,8,8,6,10,15,2,DEVELOPMENTAL CELL
35,2.507,DEV DYNAM,73,1,2,0,3,3,2,5,2,9,8,38,DEVELOPMENTAL CELL
36,9.163,PLOS BIOL,72,0,5,6,6,7,8,8,9,6,2,15,DEVELOPMENTAL CELL
37,10.015,CURR OPIN CELL BIOL,70,3,10,7,7,9,5,9,4,7,0,9,DEVELOPMENTAL CELL
38,13.214,GENOME BIOL,67,0,4,1,14,13,1,1,3,13,4,13,DEVELOPMENTAL CELL
39,18.564,TRENDS CELL BIOL,67,7,7,11,7,1,8,3,8,3,2,10,DEVELOPMENTAL CELL
40,12.423,NAT PROTOC,66,1,2,1,5,8,12,3,2,10,7,15,DEVELOPMENTAL CELL
41,5.949,PLANT PHYSIOL,62,0,3,2,4,2,4,3,7,5,3,29,DEVELOPMENTAL CELL
42,15.132,BLOOD,61,1,5,4,7,4,4,8,6,1,2,19,DEVELOPMENTAL CELL
43,9.130,CANCER RES,61,0,0,3,1,5,1,8,3,6,7,27,DEVELOPMENTAL CELL
44,9.247,CSH PERSPECT BIOL,59,2,2,8,9,7,8,10,5,8,0,0,DEVELOPMENTAL CELL
45,41.465,NAT REV GENET,59,2,2,3,5,3,7,6,10,2,6,13,DEVELOPMENTAL CELL
46,9.032,ANNU REV CELL DEV BI,58,1,3,2,7,4,10,9,4,5,2,11,DEVELOPMENTAL CELL
47,1.900,MECH DEVELOP,55,1,0,0,0,0,1,0,1,5,4,43,DEVELOPMENTAL CELL
48,6.854,ONCOGENE,55,1,1,3,3,4,3,3,1,2,1,33,DEVELOPMENTAL CELL
49,13.333,NAT STRUCT MOL BIOL,54,0,1,4,2,7,9,3,7,2,2,17,DEVELOPMENTAL CELL
50,35.724,NAT BIOTECHNOL,52,0,2,10,6,7,0,4,5,0,8,10,DEVELOPMENTAL CELL
51,5.775,PLANT J,50,0,0,1,6,1,1,4,6,2,7,22,DEVELOPMENTAL CELL
52,13.251,J CLIN INVEST,47,0,3,4,9,6,6,6,4,2,1,6,DEVELOPMENTAL CELL
53,10.101,GENOME RES,46,0,3,3,6,4,6,9,2,4,1,8,DEVELOPMENTAL CELL
54,3.110,CURR TOP DEV BIOL,44,0,13,9,3,3,4,1,5,1,2,3,DEVELOPMENTAL CELL
55,8.749,EMBO REP,44,2,4,3,6,5,2,2,1,2,0,17,DEVELOPMENTAL CELL
56,2.667,GENESIS,39,0,1,0,0,3,3,2,2,2,2,24,DEVELOPMENTAL CELL
57,19.912,NAT NEUROSCI,39,2,2,4,6,3,2,3,3,2,1,11,DEVELOPMENTAL CELL
58,6.138,SEMIN CELL DEV BIOL,38,2,6,2,10,1,2,3,3,3,2,4,DEVELOPMENTAL CELL
59,32.621,NAT MED,37,1,0,3,4,6,4,0,3,3,3,10,DEVELOPMENTAL CELL
60,22.844,CANCER CELL,36,2,3,4,4,2,6,2,2,2,5,4,DEVELOPMENTAL CELL
