Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"26,896",9.616,9.356,9.611,2.096,187,7.6,7.4,0.075,5.270,93.05,8.75800,95.06300,DEVELOPMENTAL CELL
2016,"25,598",9.174,8.933,9.833,1.868,182,7.2,6.5,0.07613,5.262,89.56,8.73055,92.34600,DEVELOPMENTAL CELL
2015,"24,023",9.338,9.070,10.730,2.465,228,6.7,6.8,0.08333,5.906,91.67,9.49818,92.80700,DEVELOPMENTAL CELL
2014,"23,646",9.708,9.487,12.437,1.936,220,6.3,6.8,0.0906,6.635,95.91,10.14734,91.92400,DEVELOPMENTAL CELL
2013,"21,439",10.366,10.036,13.012,2.433,203,5.9,6.6,0.0994,7.402,96.55,10.95544,92.49200,DEVELOPMENTAL CELL
2012,"20,306",12.861,12.527,14.091,2.174,201,5.6,6.2,0.10605,8.205,92.54,Not Available,95.60300,DEVELOPMENTAL CELL
2011,"18,481",14.030,13.609,14.202,2.448,154,5.3,5.7,0.11839,8.928,92.86,Not Available,95.77700,DEVELOPMENTAL CELL
2010,"16,739",13.946,13.533,14.240,2.677,155,4.9,5.5,0.12082,8.735,90.32,Not Available,95.35800,DEVELOPMENTAL CELL
2009,"14,785",13.363,12.904,14.058,2.980,147,4.6,5.3,0.13558,9.254,85.71,Not Available,94.98500,DEVELOPMENTAL CELL
2008,"12,421",12.882,12.529,13.284,3.403,149,4.2,5.2,0.13984,9.001,94.63,Not Available,93.36700,DEVELOPMENTAL CELL
2007,"10,735",12.436,12.113,13.658,3.037,135,3.7,5.1,0.14649,9.014,96.30,Not Available,93.25600,DEVELOPMENTAL CELL
2006,"9,208",13.523,13.106,Not Available,3.175,137,3.2,4.8,Not Available,Not Available,94.16,Not Available,93.27900,DEVELOPMENTAL CELL
2005,"7,679",14.609,14.172,Not Available,3.338,145,2.7,4.6,Not Available,Not Available,92.41,Not Available,93.76100,DEVELOPMENTAL CELL
2004,"5,638",15.434,15.071,Not Available,3.239,138,2.1,4.6,Not Available,Not Available,92.03,Not Available,94.11500,DEVELOPMENTAL CELL
2003,"3,448",14.807,14.390,Not Available,3.596,146,1.6,4.4,Not Available,Not Available,93.84,Not Available,93.48800,DEVELOPMENTAL CELL
2002,"1,196",11.531,10.718,Not Available,3.295,139,1.2,4.2,Not Available,Not Available,89.21,Not Available,92.78100,DEVELOPMENTAL CELL
