,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,67036,618,1717,1830,1922,2336,3316,3474,2449,2441,2089,44844,EMBO JOURNAL
2,,ALL OTHERS (969),969,5,15,20,23,27,20,32,20,26,17,764,EMBO JOURNAL
3,4.122,SCI REP-UK,2853,17,60,63,74,107,120,158,110,107,99,1938,EMBO JOURNAL
4,2.766,PLOS ONE,1501,6,25,27,29,38,70,62,53,43,39,1109,EMBO JOURNAL
5,,ONCOTARGET,1403,14,15,36,41,48,73,81,52,71,34,938,EMBO JOURNAL
6,11.561,NUCLEIC ACIDS RES,1356,14,40,34,34,56,77,77,65,59,41,859,EMBO JOURNAL
7,4.011,J BIOL CHEM,1197,5,20,22,21,43,53,57,42,40,37,857,EMBO JOURNAL
8,12.353,NAT COMMUN,1180,9,43,36,38,54,75,80,67,73,40,665,EMBO JOURNAL
9,9.504,P NATL ACAD SCI USA,1025,16,34,28,35,42,61,61,43,43,41,621,EMBO JOURNAL
10,7.616,ELIFE,935,5,37,23,39,48,41,51,42,37,28,584,EMBO JOURNAL
11,3.687,INT J MOL SCI,704,10,16,15,20,28,33,30,33,25,31,463,EMBO JOURNAL
12,8.032,CELL REP,563,11,18,32,25,25,51,35,20,15,15,316,EMBO JOURNAL
13,5.540,PLOS GENET,518,6,8,16,16,26,30,37,29,24,19,307,EMBO JOURNAL
14,10.557,EMBO J,513,91,33,30,14,39,34,28,21,22,16,185,EMBO JOURNAL
15,3.677,FRONT PLANT SCI,446,8,5,5,4,18,11,17,7,19,9,343,EMBO JOURNAL
16,4.019,FRONT MICROBIOL,438,4,5,9,4,8,14,19,9,17,13,336,EMBO JOURNAL
17,4.401,J CELL SCI,435,5,28,15,13,20,25,32,13,12,14,258,EMBO JOURNAL
18,14.248,MOL CELL,435,6,25,16,17,25,34,37,13,24,17,221,EMBO JOURNAL
19,4.368,J VIROL,423,0,8,5,8,8,18,17,7,9,18,325,EMBO JOURNAL
20,2.559,BIOCHEM BIOPH RES CO,403,2,7,4,8,15,15,22,25,11,8,286,EMBO JOURNAL
21,4.894,J MOL BIOL,393,2,12,13,12,17,37,22,21,20,11,226,EMBO JOURNAL
22,5.511,FRONT IMMUNOL,390,11,11,13,19,16,18,14,10,10,17,251,EMBO JOURNAL
23,3.512,MOL BIOL CELL,377,4,13,7,6,12,19,23,7,21,13,252,EMBO JOURNAL
24,8.784,J CELL BIOL,373,3,11,22,22,19,12,29,20,17,18,200,EMBO JOURNAL
25,3.191,GENES-BASEL,357,4,8,7,10,13,28,16,8,19,10,234,EMBO JOURNAL
26,6.854,ONCOGENE,343,1,2,14,9,16,26,28,18,11,7,211,EMBO JOURNAL
27,,METHOD MOL BIOL,342,0,0,8,6,11,16,22,12,20,6,241,EMBO JOURNAL
28,6.158,PLOS PATHOG,318,2,3,4,3,15,14,15,8,13,13,228,EMBO JOURNAL
29,6.721,CELL MOL LIFE SCI,313,0,4,11,13,9,25,22,17,13,16,183,EMBO JOURNAL
30,2.999,FEBS LETT,286,5,10,5,6,9,15,13,9,10,13,191,EMBO JOURNAL
31,3.902,FRONT MOL NEUROSCI,285,5,29,6,9,10,24,20,19,6,8,149,EMBO JOURNAL
32,3.816,MOL MICROBIOL,280,2,2,3,3,4,15,19,13,12,6,201,EMBO JOURNAL
33,4.075,GENETICS,269,1,3,6,10,9,9,13,9,8,8,193,EMBO JOURNAL
34,9.462,GENE DEV,253,7,18,7,9,13,16,15,17,6,2,143,EMBO JOURNAL
35,5.216,RNA BIOL,253,1,16,3,8,7,11,19,7,5,4,172,EMBO JOURNAL
36,5.413,DEVELOPMENT,250,4,9,16,9,24,15,10,5,10,6,142,EMBO JOURNAL
37,2.997,BIOCHEMISTRY-US,246,1,6,5,6,5,8,9,7,7,6,186,EMBO JOURNAL
38,31.398,CELL,239,9,11,10,12,17,13,15,12,8,11,121,EMBO JOURNAL
39,3.857,BIOCHEM J,237,3,4,11,8,6,9,11,5,11,10,159,EMBO JOURNAL
40,4.651,BBA-MOL CELL RES,234,0,7,9,19,3,14,16,11,6,15,134,EMBO JOURNAL
41,5.949,PLANT PHYSIOL,231,1,3,0,5,7,8,7,7,11,6,176,EMBO JOURNAL
42,4.490,RNA,231,1,9,3,8,11,12,19,11,8,5,144,EMBO JOURNAL
43,3.813,MOL CELL BIOL,230,0,3,7,3,11,14,8,12,7,10,155,EMBO JOURNAL
44,4.530,FEBS J,227,1,8,5,10,11,6,12,13,8,5,148,EMBO JOURNAL
45,3.761,VIRUSES-BASEL,223,4,3,3,1,2,10,12,8,5,4,171,EMBO JOURNAL
46,1.760,ADV EXP MED BIOL,212,0,0,6,3,5,15,5,4,8,7,159,EMBO JOURNAL
47,13.333,NAT STRUCT MOL BIOL,206,2,14,14,10,11,11,14,12,7,8,103,EMBO JOURNAL
48,9.616,DEV CELL,204,4,8,12,12,15,12,16,8,11,5,101,EMBO JOURNAL
49,41.577,NATURE,200,4,11,11,8,15,19,15,8,10,5,94,EMBO JOURNAL
50,6.138,SEMIN CELL DEV BIOL,200,4,5,4,2,17,8,9,8,11,2,130,EMBO JOURNAL
51,35.612,NAT REV MOL CELL BIO,199,1,12,12,6,12,15,11,12,13,8,97,EMBO JOURNAL
52,5.775,PLANT J,196,1,3,4,4,6,5,7,8,13,5,140,EMBO JOURNAL
53,3.520,FRONT CELL INFECT MI,195,0,3,3,4,7,10,11,5,4,3,145,EMBO JOURNAL
54,5.638,CELL DEATH DIS,192,2,4,5,5,6,13,7,10,4,7,129,EMBO JOURNAL
55,6.020,FREE RADICAL BIO MED,192,0,3,5,2,8,7,10,1,9,10,137,EMBO JOURNAL
56,6.689,MBIO,192,2,4,3,2,8,4,6,5,12,2,144,EMBO JOURNAL
57,8.749,EMBO REP,191,5,11,10,12,8,17,10,15,10,4,89,EMBO JOURNAL
58,4.902,HUM MOL GENET,189,2,15,2,7,6,13,4,15,9,11,105,EMBO JOURNAL
59,5.354,J EXP BOT,188,0,1,4,2,10,5,10,7,9,7,133,EMBO JOURNAL
60,4.539,J IMMUNOL,187,2,11,6,7,4,9,7,4,6,4,127,EMBO JOURNAL
61,8.000,CELL DEATH DIFFER,182,1,11,7,5,5,19,13,9,6,6,100,EMBO JOURNAL
62,5.179,BBA-GENE REGUL MECH,181,0,3,4,2,2,3,9,5,5,5,143,EMBO JOURNAL
63,9.251,CURR BIOL,179,6,9,9,7,12,15,10,10,17,6,78,EMBO JOURNAL
64,4.461,DNA REPAIR,179,3,8,9,8,2,7,3,9,12,10,108,EMBO JOURNAL
65,1.984,METHOD ENZYMOL,177,0,8,15,12,5,16,8,8,8,8,89,EMBO JOURNAL
66,3.262,DEV BIOL,168,1,1,5,10,7,5,11,4,1,6,117,EMBO JOURNAL
67,3.219,J BACTERIOL,167,0,1,2,0,5,6,8,12,6,6,121,EMBO JOURNAL
68,5.971,J NEUROSCI,166,1,7,8,10,6,19,10,5,5,8,87,EMBO JOURNAL
69,3.730,BMC GENOMICS,165,2,2,2,7,1,8,13,1,4,6,119,EMBO JOURNAL
70,3.304,CELL CYCLE,165,6,7,6,1,5,4,7,8,13,4,104,EMBO JOURNAL
71,3.679,BBA-GEN SUBJECTS,161,0,5,5,3,7,5,8,6,4,5,113,EMBO JOURNAL
72,1.664,ONCOL LETT,160,1,1,3,0,8,10,14,4,4,3,112,EMBO JOURNAL
73,3.394,BIOCHEM SOC T,159,11,13,7,5,10,11,7,9,4,3,79,EMBO JOURNAL
74,1.922,MOL MED REP,158,0,0,7,3,9,12,9,3,2,5,108,EMBO JOURNAL
75,3.495,BIOPHYS J,155,1,2,3,0,4,8,10,4,14,5,104,EMBO JOURNAL
76,5.076,MOL NEUROBIOL,152,0,0,2,14,7,11,11,8,8,4,87,EMBO JOURNAL
77,5.666,PHILOS T R SOC B,152,1,8,3,4,5,12,7,16,22,4,70,EMBO JOURNAL
78,3.487,CELL SIGNAL,150,0,1,4,1,2,9,10,6,6,7,104,EMBO JOURNAL
79,41.058,SCIENCE,150,1,3,4,6,8,8,10,4,8,6,92,EMBO JOURNAL
80,9.130,CANCER RES,149,2,2,5,7,12,7,13,9,4,5,83,EMBO JOURNAL
81,11.100,AUTOPHAGY,147,2,5,12,3,11,14,17,10,7,4,62,EMBO JOURNAL
82,4.419,BIOESSAYS,147,0,7,6,7,11,5,6,6,12,7,80,EMBO JOURNAL
83,5.279,CRIT REV BIOCHEM MOL,146,1,6,4,4,5,7,9,9,1,3,97,EMBO JOURNAL
84,5.844,WIRES RNA,146,1,1,3,1,5,6,6,9,4,5,105,EMBO JOURNAL
85,6.530,ANTIOXID REDOX SIGN,143,3,2,1,5,4,8,9,9,6,7,89,EMBO JOURNAL
86,15.132,BLOOD,142,1,1,3,8,0,5,8,5,2,0,109,EMBO JOURNAL
87,9.247,CSH PERSPECT BIOL,142,0,4,9,3,2,5,2,1,2,3,111,EMBO JOURNAL
88,13.251,J CLIN INVEST,142,2,5,7,2,6,9,3,5,5,7,91,EMBO JOURNAL
89,6.378,SCI SIGNAL,142,0,4,3,5,5,5,8,8,3,8,93,EMBO JOURNAL
90,8.228,PLANT CELL,140,1,4,5,9,5,2,6,4,9,3,92,EMBO JOURNAL
91,10.015,CURR OPIN CELL BIOL,139,5,18,14,10,11,14,12,6,6,1,42,EMBO JOURNAL
92,2.498,GENE,139,0,3,2,2,1,5,8,3,2,1,112,EMBO JOURNAL
93,14.319,NEURON,138,1,8,6,16,7,11,14,12,5,2,56,EMBO JOURNAL
94,2.757,CURR PHARM DESIGN,137,0,1,3,2,4,5,0,2,6,5,109,EMBO JOURNAL
95,15.678,TRENDS BIOCHEM SCI,135,6,8,9,5,3,6,12,5,6,4,71,EMBO JOURNAL
96,3.374,VIROLOGY,135,0,0,0,4,0,1,3,1,3,2,121,EMBO JOURNAL
97,3.574,CURR GENET,132,1,6,2,1,2,6,7,1,4,3,99,EMBO JOURNAL
98,4.416,FRONT ONCOL,132,4,5,10,5,9,5,10,3,3,0,78,EMBO JOURNAL
99,6.491,CANCER LETT,131,1,2,4,9,9,8,10,3,3,7,75,EMBO JOURNAL
100,5.595,FASEB J,131,0,4,3,3,4,10,7,2,2,4,92,EMBO JOURNAL
