,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,15925,396,1179,1402,1355,1405,1200,1050,996,884,771,5287,EMBO JOURNAL
2, ,ALL OTHERS (601),601,19,55,76,57,46,36,35,19,25,15,218,EMBO JOURNAL
3,41.577,NATURE,907,26,54,69,70,68,59,66,50,61,63,321,EMBO JOURNAL
4,31.398,CELL,845,26,47,57,54,77,71,40,44,63,48,318,EMBO JOURNAL
5,9.504,P NATL ACAD SCI USA,686,13,51,52,31,56,42,54,47,48,26,266,EMBO JOURNAL
6,4.011,J BIOL CHEM,614,2,17,23,23,28,39,32,46,18,33,353,EMBO JOURNAL
7,14.248,MOL CELL,515,11,43,63,59,45,41,47,35,28,20,123,EMBO JOURNAL
8,10.557,EMBO J,513,91,33,30,14,39,34,28,21,22,16,185,EMBO JOURNAL
9,41.058,SCIENCE,513,13,25,42,25,49,26,38,26,40,25,204,EMBO JOURNAL
10,8.784,J CELL BIOL,331,3,10,19,22,26,17,16,26,21,20,151,EMBO JOURNAL
11,9.462,GENE DEV,291,0,17,14,24,15,22,26,14,15,22,122,EMBO JOURNAL
12,3.813,MOL CELL BIOL,251,0,4,5,6,10,11,13,10,16,10,166,EMBO JOURNAL
13,11.561,NUCLEIC ACIDS RES,251,3,27,30,21,29,25,10,15,10,8,73,EMBO JOURNAL
14,19.064,NAT CELL BIOL,244,4,14,21,19,26,21,33,18,14,10,64,EMBO JOURNAL
15,2.766,PLOS ONE,176,0,8,15,25,33,29,23,19,10,10,4,EMBO JOURNAL
16,13.333,NAT STRUCT MOL BIOL,169,3,10,19,14,30,16,14,11,10,6,36,EMBO JOURNAL
17,14.319,NEURON,166,8,12,19,16,16,15,5,10,4,10,51,EMBO JOURNAL
18,35.612,NAT REV MOL CELL BIO,156,5,13,15,14,18,18,4,9,11,17,32,EMBO JOURNAL
19,12.353,NAT COMMUN,155,8,49,43,30,15,4,3,3,0,0,0,EMBO JOURNAL
20,4.401,J CELL SCI,142,0,12,12,11,21,11,8,11,5,2,49,EMBO JOURNAL
21,8.032,CELL REP,140,11,40,30,25,29,5,0,0,0,0,0,EMBO JOURNAL
22,9.251,CURR BIOL,140,1,6,5,9,13,11,5,5,8,5,72,EMBO JOURNAL
23,20.565,CELL METAB,131,0,17,11,21,22,15,20,3,7,3,12,EMBO JOURNAL
24,5.971,J NEUROSCI,131,0,10,6,9,10,10,8,6,5,7,60,EMBO JOURNAL
25,5.540,PLOS GENET,126,3,12,19,13,20,14,7,16,10,6,6,EMBO JOURNAL
26,5.413,DEVELOPMENT,125,0,6,10,17,7,4,10,10,2,7,52,EMBO JOURNAL
27,3.512,MOL BIOL CELL,124,0,5,5,10,6,10,10,6,9,17,46,EMBO JOURNAL
28,9.130,CANCER RES,119,2,7,7,8,4,6,11,5,7,11,51,EMBO JOURNAL
29,26.919,NAT METHODS,109,2,3,8,15,10,29,4,5,15,7,11,EMBO JOURNAL
30,9.616,DEV CELL,107,2,16,12,15,6,4,6,6,8,7,25,EMBO JOURNAL
31,15.132,BLOOD,96,1,4,3,5,7,12,6,13,9,6,30,EMBO JOURNAL
32,7.616,ELIFE,96,11,17,30,28,9,1,0,0,0,0,0,EMBO JOURNAL
33,4.539,J IMMUNOL,96,0,3,4,4,4,8,4,6,5,6,52,EMBO JOURNAL
34,27.125,NAT GENET,95,2,5,8,4,8,2,7,2,6,3,48,EMBO JOURNAL
35,13.251,J CLIN INVEST,93,0,9,16,6,5,3,2,7,4,4,37,EMBO JOURNAL
36,23.290,CELL STEM CELL,91,2,8,11,10,15,11,8,8,8,8,2,EMBO JOURNAL
37,32.621,NAT MED,88,3,4,9,9,9,10,6,2,4,5,27,EMBO JOURNAL
38,22.844,CANCER CELL,87,0,6,9,10,4,11,11,8,7,2,19,EMBO JOURNAL
39,19.912,NAT NEUROSCI,85,1,6,7,10,16,9,7,1,5,2,21,EMBO JOURNAL
40,19.734,IMMUNITY,82,0,4,11,9,10,8,3,1,6,3,27,EMBO JOURNAL
41,5.481,BIOINFORMATICS,81,0,1,4,4,9,5,13,16,14,3,12,EMBO JOURNAL
42,6.854,ONCOGENE,81,2,6,8,5,6,8,6,7,1,5,27,EMBO JOURNAL
43,11.100,AUTOPHAGY,79,1,11,4,10,7,6,4,15,5,6,10,EMBO JOURNAL
44,4.894,J MOL BIOL,79,5,6,3,3,4,4,2,2,5,3,42,EMBO JOURNAL
45,3.816,MOL MICROBIOL,79,0,7,1,5,3,2,12,4,7,6,32,EMBO JOURNAL
46,3.099,ACTA CRYSTALLOGR D,76,0,2,1,0,1,4,8,27,3,0,30,EMBO JOURNAL
47,10.790,J EXP MED,74,2,6,6,5,7,2,4,4,2,4,32,EMBO JOURNAL
48,4.075,GENETICS,72,0,2,3,5,4,10,2,0,3,4,39,EMBO JOURNAL
49,8.749,EMBO REP,70,4,7,3,6,7,5,6,8,5,5,14,EMBO JOURNAL
50,3.304,CELL CYCLE,68,1,2,7,11,10,5,4,4,3,8,13,EMBO JOURNAL
51,8.228,PLANT CELL,68,1,1,5,6,1,5,6,5,2,4,32,EMBO JOURNAL
52,3.857,BIOCHEM J,66,1,4,5,2,3,2,5,3,3,6,32,EMBO JOURNAL
53,3.219,J BACTERIOL,66,0,3,2,2,4,1,3,5,2,3,41,EMBO JOURNAL
54,12.423,NAT PROTOC,66,1,0,4,3,7,6,4,4,10,6,21,EMBO JOURNAL
55,21.809,NAT IMMUNOL,65,1,7,4,5,1,6,7,6,5,7,16,EMBO JOURNAL
56,13.214,GENOME BIOL,63,2,1,8,7,7,1,6,4,10,9,8,EMBO JOURNAL
57,42.784,NAT REV CANCER,62,1,6,6,5,7,5,2,2,6,8,14,EMBO JOURNAL
58,18.564,TRENDS CELL BIOL,62,0,17,10,11,9,2,4,1,2,0,6,EMBO JOURNAL
59,17.872,CELL HOST MICROBE,61,0,10,10,8,5,9,3,6,6,3,1,EMBO JOURNAL
60,4.902,HUM MOL GENET,57,3,3,4,5,12,2,4,3,4,1,16,EMBO JOURNAL
61,3.262,DEV BIOL,54,0,1,3,2,1,5,0,3,6,3,30,EMBO JOURNAL
62,2.999,FEBS LETT,53,0,0,4,4,2,5,3,5,1,1,28,EMBO JOURNAL
63,6.158,PLOS PATHOG,52,0,4,5,10,10,5,2,6,3,4,3,EMBO JOURNAL
64,4.122,SCI REP-UK,51,2,18,16,3,5,5,2,0,0,0,0,EMBO JOURNAL
65,41.465,NAT REV GENET,50,1,2,3,5,8,7,4,4,1,2,13,EMBO JOURNAL
66,9.163,PLOS BIOL,50,0,2,0,7,5,4,5,3,3,6,15,EMBO JOURNAL
67,10.015,CURR OPIN CELL BIOL,49,0,2,10,4,5,4,2,4,2,3,13,EMBO JOURNAL
68,15.678,TRENDS BIOCHEM SCI,49,1,4,5,3,3,2,6,7,2,1,15,EMBO JOURNAL
69,4.368,J VIROL,47,0,2,3,3,5,3,4,2,1,2,22,EMBO JOURNAL
70,41.982,NAT REV IMMUNOL,47,0,1,4,8,8,3,7,2,4,1,9,EMBO JOURNAL
71,8.000,CELL DEATH DIFFER,44,0,7,9,6,5,5,1,3,2,1,5,EMBO JOURNAL
72,35.724,NAT BIOTECHNOL,44,0,4,5,1,1,2,4,5,2,8,12,EMBO JOURNAL
73,20.154,ANNU REV BIOCHEM,43,1,2,5,3,3,8,4,1,1,0,15,EMBO JOURNAL
74,2.997,BIOCHEMISTRY-US,43,0,1,2,0,2,3,1,2,4,3,25,EMBO JOURNAL
75,7.273,DIABETES,43,0,6,4,5,3,2,3,1,3,1,15,EMBO JOURNAL
