Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"67,036",10.557,10.369,10.345,2.784,222,14.2,7.0,0.08,5.386,94.14,9.31500,94.05100,EMBO JOURNAL
2016,"66,603",9.792,9.608,9.853,2.873,157,>10.0,6.6,0.09767,5.240,94.27,11.20650,93.24900,EMBO JOURNAL
2015,"68,016",9.643,9.480,9.387,2.581,179,>10.0,6.0,0.10694,4.891,88.27,12.18935,93.61400,EMBO JOURNAL
2014,"72,583",10.434,10.293,9.837,2.657,181,>10.0,6.2,0.128,5.082,92.27,14.33547,93.70600,EMBO JOURNAL
2013,"76,176",10.748,10.600,10.168,2.951,225,>10.0,6.1,0.15327,5.568,94.67,16.89288,93.31900,EMBO JOURNAL
2012,"75,950",9.822,9.601,9.602,2.553,333,>10.0,6.2,0.16016,5.172,96.10,Not Available,92.15500,EMBO JOURNAL
2011,"73,390",9.205,9.001,8.833,2.248,379,>10.0,6.1,0.17335,4.867,96.04,Not Available,91.07900,EMBO JOURNAL
2010,"76,014",10.124,9.919,9.369,2.267,329,9.7,6.1,0.20632,5.299,95.74,Not Available,92.83000,EMBO JOURNAL
2009,"74,782",8.993,8.818,9.395,2.324,321,9.1,5.7,0.24818,5.552,95.95,Not Available,90.97700,EMBO JOURNAL
2008,"73,804",8.295,8.140,8.904,2.100,291,8.5,5.6,0.28398,5.160,96.22,Not Available,90.56300,EMBO JOURNAL
2007,"74,734",8.662,8.468,9.275,2.086,454,8.0,5.7,0.34093,5.419,99.34,Not Available,90.87400,EMBO JOURNAL
2006,"74,535",10.086,9.780,Not Available,1.644,547,7.4,5.4,Not Available,Not Available,98.17,Not Available,92.07400,EMBO JOURNAL
2005,"77,132",10.053,9.850,Not Available,2.198,394,6.9,5.1,Not Available,Not Available,98.22,Not Available,93.13700,EMBO JOURNAL
2004,"80,131",10.492,10.243,Not Available,2.353,462,6.3,4.9,Not Available,Not Available,97.84,Not Available,93.25100,EMBO JOURNAL
2003,"78,343",10.456,10.139,Not Available,1.821,626,5.9,4.9,Not Available,Not Available,97.44,Not Available,93.85300,EMBO JOURNAL
2002,"77,524",10.698,10.251,Not Available,1.960,677,5.6,4.6,Not Available,Not Available,97.93,Not Available,94.31700,EMBO JOURNAL
2001,"79,463",12.459,11.956,Not Available,1.969,710,5.3,4.6,Not Available,Not Available,97.89,Not Available,94.56200,EMBO JOURNAL
2000,"77,689",13.999,13.447,Not Available,2.053,662,5.0,4.5,Not Available,Not Available,97.73,Not Available,96.57900,EMBO JOURNAL
1999,"77,747",13.973,13.375,Not Available,2.652,660,4.9,4.3,Not Available,Not Available,97.88,Not Available,96.25400,EMBO JOURNAL
1998,"73,612",13.171,12.473,Not Available,2.774,709,4.8,4.2,Not Available,Not Available,97.46,Not Available,96.22100,EMBO JOURNAL
1997,"66,081",12.643,11.895,Not Available,2.104,712,4.7,4.2,Not Available,Not Available,98.74,Not Available,96.40200,EMBO JOURNAL
