,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13293,292,941,1080,1064,839,968,948,617,888,830,4826,EMBO REPORTS
2,,ALL OTHERS (1113),1113,12,50,74,76,69,88,55,34,73,73,509,EMBO REPORTS
3,4.122,SCI REP-UK,527,8,32,35,43,35,31,37,29,34,39,204,EMBO REPORTS
4,,ONCOTARGET,304,8,25,22,34,17,24,16,22,20,21,95,EMBO REPORTS
5,2.766,PLOS ONE,254,0,8,11,28,20,7,20,13,21,11,115,EMBO REPORTS
6,12.353,NAT COMMUN,215,6,14,23,24,16,19,11,10,9,11,72,EMBO REPORTS
7,11.561,NUCLEIC ACIDS RES,208,1,8,30,9,16,8,13,13,16,15,79,EMBO REPORTS
8,4.011,J BIOL CHEM,191,4,14,22,11,12,10,18,9,8,16,67,EMBO REPORTS
9,7.616,ELIFE,171,1,14,14,17,12,23,11,5,10,10,54,EMBO REPORTS
10,9.504,P NATL ACAD SCI USA,152,8,18,11,12,8,8,11,5,14,10,47,EMBO REPORTS
11,3.687,INT J MOL SCI,140,2,16,8,7,6,9,7,7,13,11,54,EMBO REPORTS
12,8.749,EMBO REP,134,55,13,4,12,6,2,7,4,8,5,18,EMBO REPORTS
13,8.032,CELL REP,119,5,11,14,14,5,18,8,9,5,2,28,EMBO REPORTS
14,4.894,J MOL BIOL,99,2,6,9,8,12,8,3,3,11,7,30,EMBO REPORTS
15,14.248,MOL CELL,92,4,9,13,6,9,5,8,5,11,3,19,EMBO REPORTS
16,5.540,PLOS GENET,82,1,3,4,8,6,5,8,3,6,3,35,EMBO REPORTS
17,6.854,ONCOGENE,80,0,6,7,10,2,9,10,8,4,6,18,EMBO REPORTS
18,5.511,FRONT IMMUNOL,79,6,5,10,5,7,10,8,1,4,5,18,EMBO REPORTS
19,4.401,J CELL SCI,79,2,8,7,6,5,9,9,2,7,6,18,EMBO REPORTS
20,8.784,J CELL BIOL,74,0,10,5,4,6,11,1,6,3,6,22,EMBO REPORTS
21,10.557,EMBO J,70,4,7,3,6,7,5,6,8,5,5,14,EMBO REPORTS
22,4.019,FRONT MICROBIOL,70,2,5,5,5,2,5,6,4,2,2,32,EMBO REPORTS
23,6.721,CELL MOL LIFE SCI,68,1,9,12,5,3,2,5,0,7,3,21,EMBO REPORTS
24,5.413,DEVELOPMENT,68,2,10,8,9,3,5,6,0,2,1,22,EMBO REPORTS
25,6.158,PLOS PATHOG,66,0,8,6,1,3,2,5,3,5,7,26,EMBO REPORTS
26,2.559,BIOCHEM BIOPH RES CO,63,0,5,6,1,4,12,4,2,2,7,20,EMBO REPORTS
27,3.902,FRONT MOL NEUROSCI,60,1,12,3,8,1,3,7,2,3,4,16,EMBO REPORTS
28,8.000,CELL DEATH DIFFER,59,0,6,2,8,2,4,2,6,9,9,11,EMBO REPORTS
29,3.677,FRONT PLANT SCI,58,2,4,4,2,3,3,4,2,2,1,31,EMBO REPORTS
30,,METHOD MOL BIOL,56,0,0,1,4,4,2,2,2,4,4,33,EMBO REPORTS
31,3.191,GENES-BASEL,54,1,7,2,3,8,2,2,1,4,2,22,EMBO REPORTS
32,4.651,BBA-MOL CELL RES,53,1,11,4,5,4,2,4,3,2,2,15,EMBO REPORTS
33,3.304,CELL CYCLE,52,4,6,0,7,3,5,2,5,3,1,16,EMBO REPORTS
34,2.999,FEBS LETT,52,1,4,3,4,5,3,5,3,1,3,20,EMBO REPORTS
35,4.075,GENETICS,52,0,8,8,2,1,2,1,2,1,2,25,EMBO REPORTS
36,6.138,SEMIN CELL DEV BIOL,52,0,1,6,2,3,6,7,3,4,3,17,EMBO REPORTS
37,5.638,CELL DEATH DIS,50,0,7,4,2,3,5,3,0,3,6,17,EMBO REPORTS
38,4.530,FEBS J,49,0,4,3,5,2,2,4,3,5,4,17,EMBO REPORTS
39,3.512,MOL BIOL CELL,49,1,3,2,4,4,9,4,0,5,2,15,EMBO REPORTS
40,3.487,CELL SIGNAL,45,1,1,5,6,2,3,2,2,5,3,15,EMBO REPORTS
41,9.130,CANCER RES,44,1,4,3,6,1,8,4,3,1,1,12,EMBO REPORTS
42,9.616,DEV CELL,44,2,4,3,6,5,2,2,1,2,0,17,EMBO REPORTS
43,3.857,BIOCHEM J,41,0,3,8,2,5,2,3,1,5,4,8,EMBO REPORTS
44,1.922,MOL MED REP,41,0,1,1,4,1,4,1,1,2,5,21,EMBO REPORTS
45,2.997,BIOCHEMISTRY-US,39,0,2,4,3,1,1,4,1,2,2,19,EMBO REPORTS
46,4.368,J VIROL,39,0,7,4,1,1,4,2,0,5,1,14,EMBO REPORTS
47,35.612,NAT REV MOL CELL BIO,39,0,4,7,2,3,3,1,1,3,1,14,EMBO REPORTS
48,13.333,NAT STRUCT MOL BIOL,38,0,3,6,4,0,2,7,1,5,1,9,EMBO REPORTS
49,4.419,BIOESSAYS,37,3,8,4,2,1,1,2,2,1,4,9,EMBO REPORTS
50,31.398,CELL,37,0,7,6,2,1,7,2,1,1,1,9,EMBO REPORTS
51,9.251,CURR BIOL,37,4,7,2,7,3,3,3,1,1,0,6,EMBO REPORTS
52,3.813,MOL CELL BIOL,37,1,4,3,1,1,2,2,5,2,4,12,EMBO REPORTS
53,5.666,PHILOS T R SOC B,37,0,3,5,5,2,2,2,3,3,1,11,EMBO REPORTS
54,15.678,TRENDS BIOCHEM SCI,37,5,5,7,2,2,0,1,2,4,2,7,EMBO REPORTS
55,5.108,BBA-MOL BASIS DIS,36,1,1,1,3,2,4,2,2,4,0,16,EMBO REPORTS
56,5.216,RNA BIOL,36,1,2,2,2,2,4,4,4,2,4,9,EMBO REPORTS
57,1.760,ADV EXP MED BIOL,35,0,1,2,7,0,0,4,3,3,3,12,EMBO REPORTS
58,4.461,DNA REPAIR,35,0,3,1,3,2,0,4,1,2,4,15,EMBO REPORTS
59,3.520,FRONT CELL INFECT MI,35,1,3,5,3,3,1,5,1,2,6,5,EMBO REPORTS
60,11.100,AUTOPHAGY,34,2,0,0,6,6,0,1,4,1,7,7,EMBO REPORTS
61,3.394,BIOCHEM SOC T,34,3,2,3,1,2,3,1,2,3,1,13,EMBO REPORTS
62,3.262,DEV BIOL,34,1,1,3,5,1,6,5,1,2,1,8,EMBO REPORTS
63,,TRANSL EPIGENET SER,34,0,1,4,2,1,5,4,4,1,1,11,EMBO REPORTS
64,5.595,FASEB J,33,0,4,2,2,2,1,3,1,0,1,17,EMBO REPORTS
65,9.462,GENE DEV,32,0,6,1,2,4,0,3,2,6,1,7,EMBO REPORTS
66,20.154,ANNU REV BIOCHEM,31,1,2,2,5,1,4,6,1,2,3,4,EMBO REPORTS
67,4.416,FRONT ONCOL,31,1,4,5,4,1,4,5,0,2,2,3,EMBO REPORTS
68,4.902,HUM MOL GENET,31,2,6,6,1,1,1,3,2,2,1,6,EMBO REPORTS
69,1.984,METHOD ENZYMOL,31,0,0,2,3,6,0,3,3,3,3,8,EMBO REPORTS
70,41.058,SCIENCE,31,4,3,4,0,4,4,0,4,0,0,8,EMBO REPORTS
71,5.279,CRIT REV BIOCHEM MOL,30,1,4,2,2,1,1,1,3,4,1,10,EMBO REPORTS
72,13.251,J CLIN INVEST,30,0,5,4,0,4,0,5,1,2,2,7,EMBO REPORTS
73,6.689,MBIO,30,1,3,1,3,2,2,1,4,3,0,10,EMBO REPORTS
74,4.936,OXID MED CELL LONGEV,30,1,2,2,2,3,2,3,3,0,1,11,EMBO REPORTS
75,2.583,BIOMED RES INT,29,1,3,2,2,1,5,3,1,1,1,9,EMBO REPORTS
76,3.043,CELL TISSUE RES,29,0,6,0,6,0,4,3,2,0,2,6,EMBO REPORTS
77,3.394,FRONT PHYSIOL,29,2,1,3,3,1,0,3,2,3,2,9,EMBO REPORTS
78,3.622,INT REV CEL MOL BIO,29,0,0,2,5,3,1,7,3,0,1,7,EMBO REPORTS
79,10.376,PHARMACOL THERAPEUT,29,0,1,3,4,2,3,3,1,0,2,10,EMBO REPORTS
80,4.490,RNA,29,2,0,3,1,5,0,4,4,0,1,9,EMBO REPORTS
81,3.730,BMC GENOMICS,28,0,1,1,1,2,3,2,4,3,1,10,EMBO REPORTS
82,6.491,CANCER LETT,28,0,2,0,4,3,3,2,1,3,4,6,EMBO REPORTS
83,4.539,J IMMUNOL,27,0,0,1,4,3,1,0,2,1,8,7,EMBO REPORTS
84,1.664,ONCOL LETT,27,0,0,1,8,0,2,0,0,5,0,11,EMBO REPORTS
85,3.286,OPEN BIOL,27,0,4,1,2,0,6,2,1,1,1,9,EMBO REPORTS
86,8.228,PLANT CELL,27,1,1,3,1,2,0,2,1,3,4,9,EMBO REPORTS
87,5.949,PLANT PHYSIOL,27,1,2,1,0,2,0,1,1,5,1,13,EMBO REPORTS
88,7.126,REDOX BIOL,27,1,2,1,2,1,4,3,2,1,1,9,EMBO REPORTS
89,3.679,BBA-GEN SUBJECTS,26,3,0,7,0,0,0,0,1,0,5,10,EMBO REPORTS
90,10.015,CURR OPIN CELL BIOL,26,0,5,7,0,5,1,2,0,3,0,3,EMBO REPORTS
91,3.309,EXP CELL RES,26,0,1,5,7,0,0,1,0,0,3,9,EMBO REPORTS
92,2.742,G3-GENES GENOM GENET,26,0,0,2,0,2,1,1,0,2,3,15,EMBO REPORTS
93,3.923,J CELL PHYSIOL,26,0,3,5,1,1,1,2,2,1,0,10,EMBO REPORTS
94,6.378,SCI SIGNAL,26,0,3,2,0,4,3,2,2,2,2,6,EMBO REPORTS
95,3.761,VIRUSES-BASEL,26,2,1,3,0,4,0,1,2,3,0,10,EMBO REPORTS
96,9.247,CSH PERSPECT BIOL,25,0,2,2,2,1,4,3,2,0,3,6,EMBO REPORTS
97,2.959,J CELL BIOCHEM,25,0,3,0,0,1,0,4,1,2,2,12,EMBO REPORTS
98,2.976,ONCOL REP,25,0,3,0,3,1,3,2,1,0,5,7,EMBO REPORTS
99,6.530,ANTIOXID REDOX SIGN,24,0,1,4,0,0,3,0,0,4,1,11,EMBO REPORTS
100,6.020,FREE RADICAL BIO MED,24,1,0,4,2,1,1,5,0,2,2,6,EMBO REPORTS
