,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,9172,285,704,807,782,763,674,581,558,513,411,3094,EMBO REPORTS
2, ,ALL OTHERS (622),622,28,78,61,51,45,36,30,36,24,16,217,EMBO REPORTS
3,41.577,NATURE,469,13,35,30,31,36,31,36,29,28,17,183,EMBO REPORTS
4,9.504,P NATL ACAD SCI USA,427,11,20,20,40,35,26,25,37,25,24,164,EMBO REPORTS
5,31.398,CELL,416,9,20,36,25,28,34,23,22,35,27,157,EMBO REPORTS
6,4.011,J BIOL CHEM,388,2,8,26,13,21,28,25,25,12,15,213,EMBO REPORTS
7,41.058,SCIENCE,304,7,30,15,16,19,16,15,10,18,18,140,EMBO REPORTS
8,14.248,MOL CELL,243,6,25,26,23,16,15,9,31,17,11,64,EMBO REPORTS
9,10.557,EMBO J,191,5,11,10,12,8,17,10,15,10,4,89,EMBO REPORTS
10,8.784,J CELL BIOL,168,1,9,6,8,10,9,10,11,8,16,80,EMBO REPORTS
11,11.561,NUCLEIC ACIDS RES,156,6,18,18,14,15,9,13,12,5,7,39,EMBO REPORTS
12,9.462,GENE DEV,139,2,8,13,6,2,15,7,11,3,6,66,EMBO REPORTS
13,8.749,EMBO REP,134,55,13,4,12,6,2,7,4,8,5,18,EMBO REPORTS
14,19.064,NAT CELL BIOL,116,2,6,8,13,10,10,11,2,9,5,40,EMBO REPORTS
15,2.766,PLOS ONE,108,0,6,11,25,20,14,13,4,7,5,3,EMBO REPORTS
16,3.813,MOL CELL BIOL,107,0,0,0,1,3,5,2,5,5,3,83,EMBO REPORTS
17,12.353,NAT COMMUN,104,5,31,27,22,12,4,2,1,0,0,0,EMBO REPORTS
18,8.032,CELL REP,95,2,28,24,14,21,6,0,0,0,0,0,EMBO REPORTS
19,9.251,CURR BIOL,95,2,6,8,4,8,6,10,4,3,7,37,EMBO REPORTS
20,5.971,J NEUROSCI,86,0,0,7,2,5,6,8,2,5,6,45,EMBO REPORTS
21,35.612,NAT REV MOL CELL BIO,86,2,6,5,9,8,10,6,7,9,6,18,EMBO REPORTS
22,13.333,NAT STRUCT MOL BIOL,85,2,8,6,7,8,10,6,8,6,3,21,EMBO REPORTS
23,4.401,J CELL SCI,83,2,3,3,8,12,5,2,6,6,3,33,EMBO REPORTS
24,3.512,MOL BIOL CELL,81,0,3,5,2,5,8,9,2,4,8,35,EMBO REPORTS
25,9.616,DEV CELL,80,1,3,9,5,8,9,7,5,14,3,16,EMBO REPORTS
26,14.319,NEURON,75,0,6,2,2,6,10,6,3,2,4,34,EMBO REPORTS
27,4.894,J MOL BIOL,66,1,7,1,1,3,4,2,2,3,2,40,EMBO REPORTS
28,5.413,DEVELOPMENT,64,2,3,4,5,3,3,7,5,2,3,27,EMBO REPORTS
29,5.540,PLOS GENET,60,2,6,9,4,12,12,4,1,6,2,2,EMBO REPORTS
30,19.734,IMMUNITY,54,1,2,2,6,4,4,6,6,7,4,12,EMBO REPORTS
31,27.125,NAT GENET,54,1,1,1,4,3,1,5,0,5,1,32,EMBO REPORTS
32,21.809,NAT IMMUNOL,54,1,2,4,2,6,3,4,10,4,6,12,EMBO REPORTS
33,26.919,NAT METHODS,54,1,4,7,4,2,17,1,1,4,3,10,EMBO REPORTS
34,7.616,ELIFE,52,7,12,13,14,6,0,0,0,0,0,0,EMBO REPORTS
35,8.228,PLANT CELL,51,0,1,6,1,3,5,5,3,1,3,23,EMBO REPORTS
36,3.099,ACTA CRYSTALLOGR D,49,0,0,0,2,5,1,3,19,1,1,17,EMBO REPORTS
37,23.290,CELL STEM CELL,49,0,4,8,7,6,8,10,2,0,3,1,EMBO REPORTS
38,6.854,ONCOGENE,49,0,4,5,2,3,5,0,0,6,1,23,EMBO REPORTS
39,20.565,CELL METAB,48,2,3,8,4,6,6,6,0,2,7,4,EMBO REPORTS
40,4.122,SCI REP-UK,48,7,18,20,0,1,2,0,0,0,0,0,EMBO REPORTS
41,5.481,BIOINFORMATICS,47,0,1,4,5,4,4,3,10,7,1,8,EMBO REPORTS
42,17.872,CELL HOST MICROBE,45,1,4,7,9,6,9,3,3,1,1,1,EMBO REPORTS
43,4.539,J IMMUNOL,44,1,2,3,3,2,2,0,5,4,2,20,EMBO REPORTS
44,4.902,HUM MOL GENET,43,0,5,1,4,3,2,7,0,2,1,18,EMBO REPORTS
45,19.912,NAT NEUROSCI,42,0,4,8,4,4,2,2,5,0,0,13,EMBO REPORTS
46,2.559,BIOCHEM BIOPH RES CO,41,0,0,4,4,1,3,2,2,3,0,22,EMBO REPORTS
47,9.130,CANCER RES,41,0,1,1,3,4,0,4,1,4,3,20,EMBO REPORTS
48,4.368,J VIROL,41,0,2,4,1,4,1,5,1,3,4,16,EMBO REPORTS
49,2.997,BIOCHEMISTRY-US,40,0,0,0,0,1,1,2,0,2,2,32,EMBO REPORTS
50,35.724,NAT BIOTECHNOL,40,0,4,7,4,5,0,1,0,2,5,12,EMBO REPORTS
51,3.857,BIOCHEM J,39,0,3,4,3,1,2,2,1,1,2,20,EMBO REPORTS
52,20.154,ANNU REV BIOCHEM,38,1,1,3,1,1,6,2,2,2,0,19,EMBO REPORTS
53,2.999,FEBS LETT,38,0,0,0,1,0,1,1,5,1,2,27,EMBO REPORTS
54,4.075,GENETICS,38,1,1,3,1,1,2,2,5,3,1,18,EMBO REPORTS
