Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,293",8.749,8.675,9.127,2.116,138,7.8,7.0,0.031,4.247,94.20,3.66300,90.22500,EMBO REPORTS
2016,"11,985",8.568,8.459,7.977,1.670,115,7.7,6.6,0.03275,3.954,93.04,3.75785,90.37200,EMBO REPORTS
2015,"11,203",7.739,7.642,7.413,1.810,116,7.4,5.9,0.03029,3.609,81.90,3.45267,88.50300,EMBO REPORTS
2014,"11,419",9.055,8.915,8.043,2.274,106,6.8,5.4,0.03572,3.825,79.25,4.00038,90.17900,EMBO REPORTS
2013,"10,867",7.858,7.747,7.653,2.069,101,6.5,5.0,0.03963,3.782,84.16,4.36812,87.64600,EMBO REPORTS
2012,"10,574",7.189,7.068,7.396,1.687,99,6.1,4.7,0.04598,3.877,75.76,Not Available,86.05500,EMBO REPORTS
2011,"9,618",7.355,7.252,7.366,1.494,154,5.7,4.7,0.0466,3.748,90.26,Not Available,85.97100,EMBO REPORTS
2010,"9,402",7.822,7.729,7.488,1.653,95,5.1,4.8,0.05513,3.953,87.37,Not Available,86.66200,EMBO REPORTS
2009,"8,743",6.907,6.773,7.519,1.799,139,4.8,4.2,0.05974,3.993,83.45,Not Available,87.22600,EMBO REPORTS
2008,"7,823",7.099,6.963,7.265,1.683,142,4.4,4.2,0.06432,3.916,81.69,Not Available,87.15200,EMBO REPORTS
2007,"7,129",7.450,7.342,7.488,1.530,149,3.9,4.4,0.0714,4.178,83.89,Not Available,88.77200,EMBO REPORTS
2006,"6,204",8.175,8.065,Not Available,1.752,153,3.5,4.2,Not Available,Not Available,87.58,Not Available,89.45600,EMBO REPORTS
2005,"5,313",7.663,7.537,Not Available,1.463,136,3.1,4.0,Not Available,Not Available,86.76,Not Available,89.97100,EMBO REPORTS
2004,"4,411",7.567,7.394,Not Available,1.871,139,2.7,3.6,Not Available,Not Available,89.93,Not Available,89.33900,EMBO REPORTS
2003,"3,039",7.390,7.289,Not Available,1.360,164,2.3,3.8,Not Available,Not Available,85.37,Not Available,89.44000,EMBO REPORTS
2002,"1,870",7.698,7.537,Not Available,1.664,143,1.7,3.8,Not Available,Not Available,85.31,Not Available,90.10100,EMBO REPORTS
2001,569,6.046,5.769,Not Available,1.190,147,1.3,3.5,Not Available,Not Available,85.03,Not Available,85.25400,EMBO REPORTS
2000,21,Not Available,Not Available,Not Available,0.323,65,Not Available,3.5,Not Available,Not Available,83.08,Not Available,1.59400,EMBO REPORTS
