,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,790,9,77,63,106,72,77,51,35,34,26,240,Epilepsy Currents
2,,ALL OTHERS (250),250,3,29,17,33,21,27,8,10,9,7,86,Epilepsy Currents
3,2.600,EPILEPSY BEHAV,56,0,5,4,10,6,6,6,1,2,1,15,Epilepsy Currents
4,2.839,SEIZURE-EUR J EPILEP,46,0,7,6,6,7,6,3,3,0,1,7,Epilepsy Currents
5,5.067,EPILEPSIA,35,0,5,3,5,3,3,5,0,2,2,7,Epilepsy Currents
6,2.757,CURR PHARM DESIGN,23,0,2,2,3,3,4,1,1,1,0,6,Epilepsy Currents
7,3.508,FRONT NEUROL,18,0,0,1,2,1,2,0,1,2,2,7,Epilepsy Currents
8,2.491,EPILEPSY RES,17,0,2,0,4,4,1,1,1,0,1,3,Epilepsy Currents
9,6.754,COCHRANE DB SYST REV,13,0,0,0,3,3,0,4,0,0,0,3,Epilepsy Currents
10,4.122,SCI REP-UK,11,0,1,3,1,1,0,1,1,0,1,2,Epilepsy Currents
11,9.333,EPILEPSY CURR,9,3,2,1,1,0,1,0,0,0,0,1,Epilepsy Currents
12,5.971,J NEUROSCI,9,0,0,0,0,0,0,1,2,0,0,6,Epilepsy Currents
13,2.766,PLOS ONE,9,0,0,0,0,0,1,3,0,0,0,5,Epilepsy Currents
14,5.227,NEUROBIOL DIS,8,0,3,0,0,0,1,0,0,0,0,4,Epilepsy Currents
15,2.084,CNS NEUROL DISORD-DR,7,0,1,0,1,0,1,1,0,0,0,3,Epilepsy Currents
16,,J PEDIATR EPILEPSY,7,0,0,2,1,0,2,0,0,0,0,2,Epilepsy Currents
17,1.640,J CLIN NEUROSCI,6,0,1,0,0,1,0,0,0,1,0,3,Epilepsy Currents
18,8.055,NEUROLOGY,6,1,3,1,1,0,0,0,0,0,0,0,Epilepsy Currents
19,10.848,BRAIN,5,0,0,1,1,1,0,0,0,1,0,1,Epilepsy Currents
20,3.478,CURR NEUROL NEUROSCI,5,1,2,0,1,0,0,0,0,0,0,1,Epilepsy Currents
21,4.483,EXP NEUROL,5,0,1,1,1,0,0,0,0,1,1,0,Epilepsy Currents
22,3.475,EXPERT OPIN PHARMACO,5,0,1,0,2,0,0,1,0,0,0,1,Epilepsy Currents
23,4.300,FRONT CELL NEUROSCI,5,0,0,0,1,0,0,1,1,0,0,2,Epilepsy Currents
24,3.902,FRONT MOL NEUROSCI,5,0,0,0,1,0,0,0,1,1,1,1,Epilepsy Currents
25,3.783,J NEUROL,5,0,0,0,3,1,0,0,0,0,0,1,Epilepsy Currents
26,1.922,MOL MED REP,5,0,0,0,1,1,0,0,0,0,0,3,Epilepsy Currents
27,2.772,NEUROCHEM RES,5,0,1,0,0,1,1,0,0,0,0,2,Epilepsy Currents
28,9.504,P NATL ACAD SCI USA,5,0,0,0,0,1,1,0,0,0,0,3,Epilepsy Currents
29,3.126,ACTA NEUROL SCAND,4,0,0,2,0,0,1,0,0,0,0,1,Epilepsy Currents
30,2.906,AMINO ACIDS,4,0,0,0,0,1,0,0,1,0,0,2,Epilepsy Currents
31,5.108,BBA-MOL BASIS DIS,4,0,0,0,0,0,0,3,0,0,0,1,Epilepsy Currents
32,3.614,CLIN NEUROPHYSIOL,4,0,0,1,0,2,0,0,0,0,1,0,Epilepsy Currents
33,,EPILEPSY BEHAV CASE,4,0,0,2,0,1,0,0,0,0,0,1,Epilepsy Currents
34,5.595,FASEB J,4,0,0,0,1,0,2,0,0,0,0,1,Epilepsy Currents
35,,FUTUR NEUROL,4,0,0,0,3,0,0,0,0,0,1,0,Epilepsy Currents
36,,INT J BIOMED,4,0,0,0,2,0,0,1,0,0,0,1,Epilepsy Currents
37,2.662,J NEUROSCI RES,4,0,0,0,1,0,0,0,1,0,0,2,Epilepsy Currents
38,2.645,MINI-REV MED CHEM,4,0,0,0,0,0,0,0,0,1,2,1,Epilepsy Currents
39,3.382,NEUROSCIENCE,4,0,0,0,0,1,0,1,0,0,0,2,Epilepsy Currents
40,2.398,PEDIATR NEUROL,4,0,0,2,0,0,0,0,1,0,0,1,Epilepsy Currents
41,1.878,SEMIN PEDIATR NEUROL,4,1,0,1,2,0,0,0,0,0,0,0,Epilepsy Currents
42,,Z EPILEPTOL,4,0,1,0,0,1,0,1,0,1,0,0,Epilepsy Currents
43,3.125,BRAIN RES,3,0,0,0,0,0,1,0,0,0,0,2,Epilepsy Currents
44,4.010,CURR OPIN NEUROL,3,0,0,0,0,0,0,0,1,0,0,2,Epilepsy Currents
45,4.398,DIS MODEL MECH,3,0,0,0,0,0,0,0,0,0,0,3,Epilepsy Currents
46,2.935,DRUG DES DEV THER,3,0,1,0,0,0,1,1,0,0,0,0,Epilepsy Currents
47,3.040,EUR J PHARMACOL,3,0,0,0,0,0,2,1,0,0,0,0,Epilepsy Currents
48,3.696,EXPERT REV NEUROTHER,3,0,0,0,1,0,1,0,0,1,0,0,Epilepsy Currents
49,5.846,GLIA,3,0,0,0,1,0,0,0,0,1,0,1,Epilepsy Currents
50,,J ACUTE DIS,3,0,0,0,2,0,0,0,1,0,0,0,Epilepsy Currents
51,3.500,J NEURODEV DISORD,3,0,0,0,0,0,0,0,0,0,0,3,Epilepsy Currents
52,2.655,J NEUROIMMUNOL,3,0,0,0,0,0,0,0,1,0,0,2,Epilepsy Currents
53,1.291,J VET EMERG CRIT CAR,3,0,0,0,1,1,0,0,0,0,0,1,Epilepsy Currents
54,11.460,JAMA NEUROL,3,0,1,0,0,0,0,0,0,0,0,2,Epilepsy Currents
55,3.869,NEUROIMAGE-CLIN,3,0,0,1,1,0,0,0,0,0,1,0,Epilepsy Currents
56,2.285,NEUROL SCI,3,0,0,2,0,0,0,0,0,1,0,0,Epilepsy Currents
57,14.319,NEURON,3,0,0,0,0,0,0,1,0,0,0,2,Epilepsy Currents
58,4.249,NEUROPHARMACOLOGY,3,0,0,0,0,0,1,0,0,0,0,2,Epilepsy Currents
59,5.515,PEDIATRICS,3,0,0,0,3,0,0,0,0,0,0,0,Epilepsy Currents
60,,PHARMACEUTICALS,3,0,0,0,0,0,0,0,1,0,0,2,Epilepsy Currents
61,,2017 IEEE 3 INT FOXB,2,0,0,0,0,0,0,0,0,1,0,1,Epilepsy Currents
62,3.804,AAPS J,2,0,0,0,1,0,0,0,0,0,1,0,Epilepsy Currents
63,3.085,ADV THER,2,0,0,1,0,0,0,0,0,0,0,1,Epilepsy Currents
64,1.131,ANN INDIAN ACAD NEUR,2,0,0,1,0,0,0,0,0,0,0,1,Epilepsy Currents
65,10.250,ANN NEUROL,2,0,1,0,0,0,0,0,0,0,0,1,Epilepsy Currents
66,,ARCH NEUROSCI,2,0,0,0,0,0,1,1,0,0,0,0,Epilepsy Currents
67,11.984,BIOL PSYCHIAT,2,0,0,0,0,0,0,0,0,0,0,2,Epilepsy Currents
68,3.457,BIOMED PHARMACOTHER,2,0,0,0,0,0,0,1,0,0,0,1,Epilepsy Currents
69,1.969,BMC MED ETHICS,2,0,0,0,0,0,1,0,1,0,0,0,Epilepsy Currents
70,2.170,BMC NEUROL,2,0,0,0,0,1,0,0,0,0,0,1,Epilepsy Currents
71,0.422,BRIT J HOSP MED,2,0,0,0,0,0,0,1,0,0,0,1,Epilepsy Currents
72,2.006,CAN J NEUROL SCI,2,0,1,0,0,1,0,0,0,0,0,0,Epilepsy Currents
73,8.032,CELL REP,2,0,0,1,0,1,0,0,0,0,0,0,Epilepsy Currents
74,6.308,CEREB CORTEX,2,0,0,0,0,0,0,0,0,2,0,0,Epilepsy Currents
