,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,1321,67,148,148,111,122,105,69,72,55,36,388,Epilepsy Currents
2, ,ALL OTHERS (177),177,11,24,26,9,18,7,9,12,4,7,50,Epilepsy Currents
3,5.067,EPILEPSIA,184,9,13,15,12,18,19,14,15,10,4,55,Epilepsy Currents
4,8.055,NEUROLOGY,85,5,15,8,7,6,7,1,2,3,3,28,Epilepsy Currents
5,10.250,ANN NEUROL,63,0,3,8,7,4,3,7,5,2,1,23,Epilepsy Currents
6,5.971,J NEUROSCI,53,1,3,4,3,3,1,4,3,6,4,21,Epilepsy Currents
7,2.600,EPILEPSY BEHAV,46,0,6,9,9,6,3,2,3,1,1,6,Epilepsy Currents
8,27.144,LANCET NEUROL,38,1,9,7,5,4,0,4,1,0,2,5,Epilepsy Currents
9,10.848,BRAIN,37,2,0,3,5,2,4,3,3,1,4,10,Epilepsy Currents
10,2.491,EPILEPSY RES,30,3,1,4,3,2,1,6,4,1,0,5,Epilepsy Currents
11,79.260,NEW ENGL J MED,22,2,1,1,1,2,3,0,2,1,0,9,Epilepsy Currents
12,41.058,SCIENCE,22,1,1,3,0,4,1,0,1,0,2,9,Epilepsy Currents
13,41.577,NATURE,20,2,1,0,2,6,0,0,2,3,0,4,Epilepsy Currents
14,14.319,NEURON,19,0,1,1,3,1,3,1,0,2,1,6,Epilepsy Currents
15,2.839,SEIZURE-EUR J EPILEP,19,2,3,4,0,1,2,1,0,1,0,5,Epilepsy Currents
16,19.912,NAT NEUROSCI,16,0,0,4,1,2,0,0,0,1,1,7,Epilepsy Currents
17,5.227,NEUROBIOL DIS,16,2,2,1,2,0,2,1,0,2,1,3,Epilepsy Currents
18,9.504,P NATL ACAD SCI USA,16,1,0,1,1,0,3,0,3,0,0,7,Epilepsy Currents
19,7.144,J NEUROL NEUROSUR PS,15,0,0,0,2,1,1,1,0,0,0,10,Epilepsy Currents
20,8.855,AM J HUM GENET,13,0,0,0,2,0,4,1,1,0,0,5,Epilepsy Currents
21,12.353,NAT COMMUN,12,1,1,6,1,2,1,0,0,0,0,0,Epilepsy Currents
22,3.966,HIPPOCAMPUS,10,0,1,0,0,0,2,0,0,0,0,7,Epilepsy Currents
23,27.125,NAT GENET,10,0,0,0,1,1,2,0,0,0,0,6,Epilepsy Currents
24,3.382,NEUROSCIENCE,10,0,0,1,1,0,0,0,1,0,0,7,Epilepsy Currents
25,9.333,EPILEPSY CURR,9,3,2,1,1,0,1,0,0,0,0,1,Epilepsy Currents
26,4.902,HUM MOL GENET,9,0,0,2,1,1,0,0,0,1,0,4,Epilepsy Currents
27,11.460,JAMA NEUROL,9,1,4,0,2,2,0,0,0,0,0,0,Epilepsy Currents
28,19.819,NAT REV NEUROL,9,0,3,0,4,0,0,2,0,0,0,0,Epilepsy Currents
29,2.502,J NEUROPHYSIOL,8,0,1,1,0,0,0,0,0,0,0,6,Epilepsy Currents
30,4.540,J PHYSIOL-LONDON,8,0,0,2,0,0,0,0,2,0,0,4,Epilepsy Currents
31,32.621,NAT MED,8,0,0,1,0,0,3,1,1,0,0,2,Epilepsy Currents
32,2.832,EUR J NEUROSCI,7,0,0,0,0,0,0,0,0,0,0,7,Epilepsy Currents
33,4.483,EXP NEUROL,7,1,0,0,0,1,0,0,0,1,0,4,Epilepsy Currents
34,32.635,NAT REV NEUROSCI,7,1,0,0,1,2,0,0,0,0,1,2,Epilepsy Currents
35,3.163,NEUROCRIT CARE,7,0,1,0,1,0,4,1,0,0,0,0,Epilepsy Currents
36,31.398,CELL,6,0,1,1,0,0,3,1,0,0,0,0,Epilepsy Currents
37,3.614,CLIN NEUROPHYSIOL,6,0,4,0,0,2,0,0,0,0,0,0,Epilepsy Currents
38,1.665,J CHILD NEUROL,6,0,0,1,0,2,1,0,0,0,0,2,Epilepsy Currents
39,53.254,LANCET,6,0,2,0,0,0,1,0,0,0,0,3,Epilepsy Currents
40,2.766,PLOS ONE,6,0,0,1,0,3,1,0,0,1,0,0,Epilepsy Currents
41,1.760,ADV EXP MED BIOL,5,0,0,1,4,0,0,0,0,0,0,0,Epilepsy Currents
42, ,ARCH GEN PSYCHIAT,5,0,0,0,0,0,0,0,0,0,1,4,Epilepsy Currents
43,3.125,BRAIN RES,5,0,1,0,0,0,2,0,0,0,0,2,Epilepsy Currents
44,4.010,CURR OPIN NEUROL,5,3,0,0,0,1,0,1,0,0,0,0,Epilepsy Currents
