,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,41572,564,1770,2611,2455,2410,2299,2226,2426,1987,2405,20419,FASEB JOURNAL
2,,ALL OTHERS (1363),1363,10,48,77,67,51,62,47,64,50,113,774,FASEB JOURNAL
3,4.122,SCI REP-UK,1791,23,84,145,138,119,107,110,107,82,101,775,FASEB JOURNAL
4,2.766,PLOS ONE,1041,10,39,66,70,65,74,68,76,52,65,456,FASEB JOURNAL
5,,ONCOTARGET,766,16,24,55,57,56,49,39,38,42,41,349,FASEB JOURNAL
6,3.687,INT J MOL SCI,543,16,25,31,25,23,36,30,17,31,27,282,FASEB JOURNAL
7,5.595,FASEB J,451,19,46,53,33,31,37,39,28,31,18,116,FASEB JOURNAL
8,5.511,FRONT IMMUNOL,333,16,17,24,27,26,33,23,23,14,19,111,FASEB JOURNAL
9,4.011,J BIOL CHEM,284,3,15,20,26,15,26,15,32,15,14,103,FASEB JOURNAL
10,4.196,NUTRIENTS,243,15,18,19,14,15,10,15,13,11,18,95,FASEB JOURNAL
11,12.353,NAT COMMUN,229,3,13,17,18,24,13,18,14,9,14,86,FASEB JOURNAL
12,1.922,MOL MED REP,205,1,8,13,10,10,9,12,13,10,10,109,FASEB JOURNAL
13,3.831,FRONT PHARMACOL,200,3,13,19,9,10,9,14,6,7,9,101,FASEB JOURNAL
14,9.504,P NATL ACAD SCI USA,198,6,11,11,11,9,10,15,12,12,10,91,FASEB JOURNAL
15,2.559,BIOCHEM BIOPH RES CO,197,5,10,9,16,11,7,10,12,10,8,99,FASEB JOURNAL
16,6.020,FREE RADICAL BIO MED,197,2,7,11,6,11,6,7,4,4,8,131,FASEB JOURNAL
17,3.394,FRONT PHYSIOL,197,4,15,9,21,18,4,13,10,8,12,83,FASEB JOURNAL
18,4.936,OXID MED CELL LONGEV,174,3,11,8,11,9,10,4,7,7,7,97,FASEB JOURNAL
19,3.457,BIOMED PHARMACOTHER,173,3,10,6,5,7,5,9,6,12,13,97,FASEB JOURNAL
20,6.721,CELL MOL LIFE SCI,162,0,6,16,10,8,8,7,8,6,12,81,FASEB JOURNAL
21,6.810,BRIT J PHARMACOL,156,0,9,11,12,7,8,10,8,5,8,78,FASEB JOURNAL
22,4.540,J PHYSIOL-LONDON,153,1,13,11,18,13,13,8,15,8,6,47,FASEB JOURNAL
23,7.344,MOL ASPECTS MED,145,5,12,15,6,19,15,19,4,6,7,37,FASEB JOURNAL
24,5.076,MOL NEUROBIOL,144,0,2,7,4,6,9,13,20,7,16,60,FASEB JOURNAL
25,6.530,ANTIOXID REDOX SIGN,139,3,5,4,3,15,4,5,9,6,9,76,FASEB JOURNAL
26,5.500,CELL PHYSIOL BIOCHEM,139,3,11,14,5,11,14,6,7,4,4,60,FASEB JOURNAL
27,3.098,MOLECULES,134,3,1,5,7,7,5,9,6,4,8,79,FASEB JOURNAL
28,2.757,CURR PHARM DESIGN,128,0,6,3,5,5,5,7,4,5,9,79,FASEB JOURNAL
29,7.616,ELIFE,124,3,7,6,16,2,6,11,12,9,7,45,FASEB JOURNAL
30,3.902,FRONT MOL NEUROSCI,122,6,7,7,5,5,8,8,5,10,5,56,FASEB JOURNAL
31,3.476,J ALZHEIMERS DIS,121,1,2,8,3,10,8,8,8,8,12,53,FASEB JOURNAL
32,4.539,J IMMUNOL,120,2,6,4,6,9,16,5,3,4,2,63,FASEB JOURNAL
33,5.108,BBA-MOL BASIS DIS,114,3,6,8,9,6,5,5,15,2,7,48,FASEB JOURNAL
34,3.563,MOL CELL ENDOCRINOL,112,1,4,9,16,6,9,8,6,4,6,43,FASEB JOURNAL
