,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,25451,239,1418,1956,1939,1920,1846,1687,1599,1385,1275,10187,FASEB JOURNAL
2, ,ALL OTHERS (1303),1303,24,99,137,100,100,81,93,76,51,45,497,FASEB JOURNAL
3,4.011,J BIOL CHEM,1088,3,17,36,49,48,61,46,49,45,55,679,FASEB JOURNAL
4,9.504,P NATL ACAD SCI USA,803,2,22,32,52,54,46,45,57,44,43,406,FASEB JOURNAL
5,2.766,PLOS ONE,564,4,28,70,97,108,88,81,52,16,14,6,FASEB JOURNAL
6,41.577,NATURE,537,3,14,15,37,25,31,39,19,27,28,299,FASEB JOURNAL
7,31.398,CELL,461,1,13,22,26,19,40,32,34,28,17,229,FASEB JOURNAL
8,5.595,FASEB J,451,19,46,53,33,31,37,39,28,31,18,116,FASEB JOURNAL
9,41.058,SCIENCE,397,1,14,16,10,27,13,18,23,21,12,242,FASEB JOURNAL
10,13.251,J CLIN INVEST,369,3,12,19,15,24,20,26,15,28,18,189,FASEB JOURNAL
11,4.539,J IMMUNOL,334,3,9,15,19,31,21,22,22,27,22,143,FASEB JOURNAL
12,5.971,J NEUROSCI,237,1,4,10,14,12,16,18,19,12,13,118,FASEB JOURNAL
13,8.784,J CELL BIOL,225,0,4,10,10,7,6,8,10,9,16,145,FASEB JOURNAL
14,7.273,DIABETES,209,0,7,10,11,20,13,12,11,12,13,100,FASEB JOURNAL
15,32.621,NAT MED,202,3,4,11,11,24,18,17,12,17,13,72,FASEB JOURNAL
16,15.211,CIRC RES,198,0,22,8,18,9,15,5,17,13,12,79,FASEB JOURNAL
17,15.132,BLOOD,195,1,3,3,9,4,15,12,17,13,12,106,FASEB JOURNAL
18,3.813,MOL CELL BIOL,179,1,3,3,9,5,12,2,6,11,13,114,FASEB JOURNAL
19,2.559,BIOCHEM BIOPH RES CO,166,0,3,11,7,8,9,14,5,5,9,95,FASEB JOURNAL
20,4.401,J CELL SCI,165,0,8,15,9,10,15,6,6,11,7,78,FASEB JOURNAL
21,79.260,NEW ENGL J MED,151,0,3,4,14,6,10,8,6,16,5,79,FASEB JOURNAL
22,20.565,CELL METAB,150,1,5,13,21,28,18,15,9,9,8,23,FASEB JOURNAL
23,18.881,CIRCULATION,150,1,2,3,3,8,6,8,11,8,12,88,FASEB JOURNAL
24,6.086,ARTERIOSCL THROM VAS,148,0,7,16,16,7,16,13,10,4,8,51,FASEB JOURNAL
25,4.069,AM J PATHOL,145,1,6,2,4,4,9,8,20,7,10,74,FASEB JOURNAL
26,9.130,CANCER RES,137,0,3,5,6,7,6,11,10,7,5,77,FASEB JOURNAL
27,10.557,EMBO J,131,0,4,3,3,4,10,7,2,2,4,92,FASEB JOURNAL
28,6.854,ONCOGENE,130,1,5,4,5,10,8,7,2,6,10,72,FASEB JOURNAL
29,4.540,J PHYSIOL-LONDON,128,3,8,8,4,3,5,3,5,6,3,80,FASEB JOURNAL
30,14.319,NEURON,128,2,5,1,8,4,13,8,5,8,5,69,FASEB JOURNAL
31,10.790,J EXP MED,127,1,2,6,4,1,4,6,10,7,8,78,FASEB JOURNAL
32,9.462,GENE DEV,125,0,0,4,5,5,6,8,7,6,10,74,FASEB JOURNAL
33,4.122,SCI REP-UK,125,6,63,34,12,5,2,3,0,0,0,0,FASEB JOURNAL
34,3.388,INVEST OPHTH VIS SCI,124,0,7,6,16,8,5,8,9,5,5,55,FASEB JOURNAL
35,3.857,BIOCHEM J,120,0,1,3,3,8,2,8,5,4,5,81,FASEB JOURNAL
36,3.961,ENDOCRINOLOGY,119,0,8,19,5,4,8,12,7,5,4,47,FASEB JOURNAL
37,12.353,NAT COMMUN,115,3,22,34,25,14,12,3,2,0,0,0,FASEB JOURNAL
38,35.612,NAT REV MOL CELL BIO,115,0,1,2,6,9,15,7,6,10,12,47,FASEB JOURNAL
39,3.256,J APPL PHYSIOL,114,0,1,5,1,6,7,7,2,5,7,73,FASEB JOURNAL
40,4.018,AM J PHYSIOL-ENDOC M,111,0,6,8,11,13,3,5,6,1,5,53,FASEB JOURNAL
41,5.413,DEVELOPMENT,108,0,4,6,8,8,6,7,6,9,3,51,FASEB JOURNAL
42,14.248,MOL CELL,103,0,1,4,5,6,9,6,8,6,7,51,FASEB JOURNAL
43,19.064,NAT CELL BIOL,103,1,2,9,1,12,5,11,13,1,8,40,FASEB JOURNAL
44,11.561,NUCLEIC ACIDS RES,97,0,9,11,11,11,9,5,4,3,5,29,FASEB JOURNAL
45,4.902,HUM MOL GENET,93,1,7,7,6,5,10,8,5,8,4,32,FASEB JOURNAL
46,15.239,AM J RESP CRIT CARE,91,0,1,3,5,9,3,7,7,9,8,39,FASEB JOURNAL
47,2.999,FEBS LETT,90,1,1,0,4,5,3,6,5,5,5,55,FASEB JOURNAL
48,4.368,J VIROL,90,0,2,8,8,8,3,7,5,6,5,38,FASEB JOURNAL
49,3.164,AM J PHYSIOL-RENAL,89,0,6,4,7,3,11,6,8,9,3,32,FASEB JOURNAL
50,3.512,MOL BIOL CELL,88,0,3,6,4,9,9,8,7,5,2,35,FASEB JOURNAL
51,6.810,BRIT J PHARMACOL,87,1,4,8,8,3,10,5,10,2,3,33,FASEB JOURNAL
52,8.655,J AM SOC NEPHROL,87,0,5,7,5,4,7,8,9,4,7,31,FASEB JOURNAL
53,53.254,LANCET,86,0,4,3,4,3,4,7,3,3,4,51,FASEB JOURNAL
54,4.609,J NEUROCHEM,85,1,5,2,3,1,9,5,6,6,5,42,FASEB JOURNAL
55,27.125,NAT GENET,84,0,1,3,2,4,3,6,6,2,4,53,FASEB JOURNAL
56,41.982,NAT REV IMMUNOL,84,1,4,3,8,10,3,12,8,6,6,23,FASEB JOURNAL
57,9.616,DEV CELL,82,0,1,5,5,7,9,5,5,8,7,30,FASEB JOURNAL
58,19.734,IMMUNITY,81,0,5,10,13,6,7,1,2,7,6,24,FASEB JOURNAL
59,3.454,AM J PHYSIOL-CELL PH,78,2,5,4,9,3,6,4,3,5,4,33,FASEB JOURNAL
60,3.569,AM J PHYSIOL-HEART C,77,0,5,4,5,1,1,5,5,3,6,42,FASEB JOURNAL
61,6.020,FREE RADICAL BIO MED,77,3,4,11,6,8,5,7,6,3,4,20,FASEB JOURNAL
62,4.505,J LIPID RES,75,0,4,7,9,11,4,6,6,9,2,17,FASEB JOURNAL
63,4.092,AM J PHYSIOL-LUNG C,72,3,4,8,8,2,7,12,6,3,3,16,FASEB JOURNAL
64,14.079,HEPATOLOGY,72,1,4,4,8,7,6,4,5,4,3,26,FASEB JOURNAL
65,21.809,NAT IMMUNOL,72,0,3,2,3,6,7,3,14,4,7,23,FASEB JOURNAL
66,3.978,MOL PHARMACOL,71,0,4,5,3,4,6,3,6,3,3,34,FASEB JOURNAL
67,3.785,AM J RESP CELL MOL,69,0,4,6,5,12,8,2,5,5,2,20,FASEB JOURNAL
68,9.251,CURR BIOL,69,0,2,2,2,4,4,4,4,1,5,41,FASEB JOURNAL
69,8.429,KIDNEY INT,69,0,3,1,2,4,7,3,6,2,4,37,FASEB JOURNAL
70,24.014,PHYSIOL REV,66,0,0,0,3,4,2,4,1,1,5,46,FASEB JOURNAL
71,3.309,EXP CELL RES,65,1,4,4,3,1,3,4,7,7,1,30,FASEB JOURNAL
72,12.423,NAT PROTOC,64,0,0,2,3,7,5,2,3,15,11,16,FASEB JOURNAL
73,5.789,J CLIN ENDOCR METAB,63,0,2,6,0,5,7,2,4,6,0,31,FASEB JOURNAL
74,3.706,J PHARMACOL EXP THER,63,0,0,3,1,3,0,1,6,1,6,42,FASEB JOURNAL
75,8.032,CELL REP,62,2,16,13,16,11,4,0,0,0,0,0,FASEB JOURNAL
76,20.773,GASTROENTEROLOGY,61,0,4,2,5,4,6,1,4,4,3,28,FASEB JOURNAL
77,6.290,CARDIOVASC RES,60,0,2,3,7,4,4,3,4,2,3,28,FASEB JOURNAL
78,2.997,BIOCHEMISTRY-US,58,0,0,4,0,1,0,0,3,1,4,45,FASEB JOURNAL
79,3.262,DEV BIOL,58,0,0,2,0,5,4,5,5,1,4,32,FASEB JOURNAL
80,6.314,J BONE MINER RES,58,0,4,3,2,6,4,6,5,3,0,25,FASEB JOURNAL
81, ,ONCOTARGET,57,3,22,20,10,1,1,0,0,0,0,0,FASEB JOURNAL
82,6.023,DIABETOLOGIA,56,1,1,6,1,4,8,1,7,6,3,18,FASEB JOURNAL
83,3.476,J ALZHEIMERS DIS,55,2,7,8,6,10,5,3,4,3,3,4,FASEB JOURNAL
84,8.000,CELL DEATH DIFFER,54,1,2,6,3,5,0,4,2,5,4,22,FASEB JOURNAL
85,6.721,CELL MOL LIFE SCI,54,2,3,4,3,2,5,3,4,5,4,19,FASEB JOURNAL
86,19.912,NAT NEUROSCI,53,0,8,2,3,5,1,5,3,3,2,21,FASEB JOURNAL
87,3.382,NEUROSCIENCE,52,0,1,5,3,4,4,1,3,5,2,24,FASEB JOURNAL
88,4.966,BBA-MOL CELL BIOL L,50,1,2,17,8,5,4,1,4,1,1,6,FASEB JOURNAL
89,3.125,BRAIN RES,50,2,1,3,2,4,1,2,2,0,3,30,FASEB JOURNAL
90,4.224,J LEUKOCYTE BIOL,50,1,4,2,2,4,3,4,3,4,3,20,FASEB JOURNAL
91,6.823,HYPERTENSION,49,0,2,3,1,3,4,7,4,2,4,19,FASEB JOURNAL
92,4.398,J NUTR,48,0,4,1,1,0,3,2,5,4,2,26,FASEB JOURNAL
93,32.635,NAT REV NEUROSCI,48,0,2,4,4,3,3,2,4,1,1,24,FASEB JOURNAL
94,6.549,AM J CLIN NUTR,46,0,3,6,1,2,2,2,3,3,0,24,FASEB JOURNAL
95,16.834,J AM COLL CARDIOL,46,0,0,3,5,1,3,3,1,1,5,24,FASEB JOURNAL
