Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"41,572",5.595,5.468,5.337,1.248,452,9.8,8.1,0.052,1.732,95.58,6.02900,85.05700,FASEB JOURNAL
2016,"42,242",5.498,5.397,5.435,1.226,359,9.7,7.7,0.05759,1.809,95.54,6.60752,84.64400,FASEB JOURNAL
2015,"41,645",5.299,5.199,5.464,1.311,424,9.4,7.7,0.06427,1.887,97.41,7.32574,85.48500,FASEB JOURNAL
2014,"41,076",5.043,4.938,5.639,1.298,453,9.0,7.7,0.0692,1.973,97.13,7.75000,82.37200,FASEB JOURNAL
2013,"41,104",5.480,5.349,6.045,1.371,466,8.5,7.5,0.0753,2.097,97.42,8.29906,84.10700,FASEB JOURNAL
2012,"39,540",5.704,5.567,6.222,1.130,462,8.1,7.2,0.07943,2.185,96.97,Not Available,85.09200,FASEB JOURNAL
2011,"38,304",5.712,5.600,6.340,1.281,409,7.6,6.8,0.08876,2.243,94.62,Not Available,85.70600,FASEB JOURNAL
2010,"38,538",6.515,6.377,7.201,1.195,462,7.1,6.8,0.10353,2.521,96.32,Not Available,88.31600,FASEB JOURNAL
2009,"35,849",6.401,6.276,7.096,1.327,410,6.7,6.6,0.11294,2.520,96.83,Not Available,89.18100,FASEB JOURNAL
2008,"34,300",7.049,6.942,7.128,1.388,412,6.2,6.4,0.12998,2.614,96.12,Not Available,89.94400,FASEB JOURNAL
2007,"32,421",6.791,6.662,6.963,1.361,388,6.0,6.1,0.13042,2.491,95.36,Not Available,90.15300,FASEB JOURNAL
2006,"30,621",6.721,6.547,Not Available,1.241,449,5.8,5.8,Not Available,Not Available,97.55,Not Available,89.77400,FASEB JOURNAL
2005,"28,657",7.064,6.861,Not Available,1.181,458,5.4,5.4,Not Available,Not Available,96.94,Not Available,90.95700,FASEB JOURNAL
2004,"27,094",6.820,6.621,Not Available,1.368,446,5.4,5.2,Not Available,Not Available,95.96,Not Available,90.52500,FASEB JOURNAL
2003,"25,461",7.172,6.900,Not Available,1.247,503,5.5,5.2,Not Available,Not Available,96.62,Not Available,92.14800,FASEB JOURNAL
2002,"24,319",7.252,6.998,Not Available,1.187,385,6.0,5.3,Not Available,Not Available,96.10,Not Available,91.90800,FASEB JOURNAL
2001,"22,875",8.817,8.595,Not Available,1.422,415,6.0,5.0,Not Available,Not Available,94.94,Not Available,93.97800,FASEB JOURNAL
2000,"22,151",9.249,9.081,Not Available,1.519,289,5.9,5.0,Not Available,Not Available,92.39,Not Available,94.50400,FASEB JOURNAL
1999,"22,209",11.880,11.626,Not Available,1.637,267,5.8,4.8,Not Available,Not Available,91.01,Not Available,95.79100,FASEB JOURNAL
1998,"22,410",13.861,13.685,Not Available,2.034,174,5.7,4.7,Not Available,Not Available,87.93,Not Available,97.93400,FASEB JOURNAL
1997,"21,243",14.629,14.472,Not Available,1.817,142,5.3,4.4,Not Available,Not Available,61.27,Not Available,97.72500,FASEB JOURNAL
