,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,3924,42,159,281,476,218,272,268,328,529,333,1018,FRONTIERS IN NEUROENDOCRINOLOGY
2,,ALL OTHERS (568),568,7,17,33,82,42,28,36,50,46,53,174,FRONTIERS IN NEUROENDOCRINOLOGY
3,4.418,HORM BEHAV,110,1,4,4,12,5,17,6,4,25,10,22,FRONTIERS IN NEUROENDOCRINOLOGY
4,4.122,SCI REP-UK,81,3,1,9,13,4,4,8,8,11,3,17,FRONTIERS IN NEUROENDOCRINOLOGY
5,4.731,PSYCHONEUROENDOCRINO,77,0,4,1,16,0,5,5,3,15,6,22,FRONTIERS IN NEUROENDOCRINOLOGY
6,3.519,FRONT ENDOCRINOL,72,0,3,11,8,4,1,3,9,10,4,19,FRONTIERS IN NEUROENDOCRINOLOGY
7,2.766,PLOS ONE,72,0,3,4,14,8,4,4,6,9,3,17,FRONTIERS IN NEUROENDOCRINOLOGY
8,2.517,PHYSIOL BEHAV,67,0,0,7,7,1,4,9,8,2,4,25,FRONTIERS IN NEUROENDOCRINOLOGY
9,2.662,J NEUROSCI RES,63,0,10,1,10,2,4,2,2,7,15,10,FRONTIERS IN NEUROENDOCRINOLOGY
10,8.037,NEUROSCI BIOBEHAV R,59,0,5,4,11,1,4,5,1,12,2,14,FRONTIERS IN NEUROENDOCRINOLOGY
11,,HORM BRAIN BEHAVXB,57,0,3,4,4,3,2,6,3,6,9,17,FRONTIERS IN NEUROENDOCRINOLOGY
12,3.173,BEHAV BRAIN RES,50,0,3,2,10,0,2,3,2,10,3,15,FRONTIERS IN NEUROENDOCRINOLOGY
13,2.564,GEN COMP ENDOCR,50,0,0,7,1,0,3,2,12,7,5,13,FRONTIERS IN NEUROENDOCRINOLOGY
14,6.875,FRONT NEUROENDOCRIN,49,2,8,5,10,2,2,1,0,4,9,6,FRONTIERS IN NEUROENDOCRINOLOGY
15,3.961,ENDOCRINOLOGY,43,0,2,5,5,3,1,3,6,6,2,10,FRONTIERS IN NEUROENDOCRINOLOGY
16,2.751,INTEGR COMP BIOL,41,0,1,9,2,6,7,4,1,5,1,5,FRONTIERS IN NEUROENDOCRINOLOGY
17,,ARCH SEX BEHAV,37,0,0,0,0,3,0,30,0,0,1,3,FRONTIERS IN NEUROENDOCRINOLOGY
18,3.877,FRONT NEUROSCI-SWITZ,33,0,5,4,2,4,2,3,3,3,0,7,FRONTIERS IN NEUROENDOCRINOLOGY
19,3.382,NEUROSCIENCE,33,0,3,2,4,1,1,3,2,1,1,15,FRONTIERS IN NEUROENDOCRINOLOGY
