,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5923,69,389,441,414,410,372,300,314,309,276,2629,FRONTIERS IN NEUROENDOCRINOLOGY
2, ,ALL OTHERS (618),618,13,52,66,55,46,49,35,35,28,20,219,FRONTIERS IN NEUROENDOCRINOLOGY
3,5.971,J NEUROSCI,206,0,6,9,10,13,10,16,7,15,14,106,FRONTIERS IN NEUROENDOCRINOLOGY
4,3.961,ENDOCRINOLOGY,145,1,5,8,12,4,8,9,13,11,6,68,FRONTIERS IN NEUROENDOCRINOLOGY
5,4.731,PSYCHONEUROENDOCRINO,140,0,19,12,11,16,8,6,10,10,6,42,FRONTIERS IN NEUROENDOCRINOLOGY
6,4.418,HORM BEHAV,135,9,9,11,7,8,6,8,7,12,13,45,FRONTIERS IN NEUROENDOCRINOLOGY
7,9.504,P NATL ACAD SCI USA,130,0,6,9,10,5,5,11,10,8,1,65,FRONTIERS IN NEUROENDOCRINOLOGY
8,3.125,BRAIN RES,124,0,1,0,4,5,5,2,5,1,0,101,FRONTIERS IN NEUROENDOCRINOLOGY
9,3.382,NEUROSCIENCE,120,1,4,4,2,10,10,11,8,6,6,58,FRONTIERS IN NEUROENDOCRINOLOGY
10,2.766,PLOS ONE,94,1,5,13,8,23,17,11,7,5,3,1,FRONTIERS IN NEUROENDOCRINOLOGY
11,5.135,SLEEP,89,0,3,4,3,6,1,4,4,3,4,57,FRONTIERS IN NEUROENDOCRINOLOGY
12,5.789,J CLIN ENDOCR METAB,80,0,5,5,3,0,1,3,1,4,1,57,FRONTIERS IN NEUROENDOCRINOLOGY
13,2.832,EUR J NEUROSCI,65,0,1,3,1,2,3,3,3,4,4,41,FRONTIERS IN NEUROENDOCRINOLOGY
14,41.058,SCIENCE,64,0,1,1,1,5,2,2,1,8,0,43,FRONTIERS IN NEUROENDOCRINOLOGY
15,11.984,BIOL PSYCHIAT,61,1,9,1,3,6,2,2,5,2,2,28,FRONTIERS IN NEUROENDOCRINOLOGY
