Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"3,924",6.875,6.671,9.130,1.556,27,7.7,8.8,0.006,2.846,0.00,0.70500,92.56700,FRONTIERS IN NEUROENDOCRINOLOGY
2016,"3,516",9.425,9.246,8.344,1.630,27,7.2,8.4,0.00659,2.862,0.00,0.75613,94.48300,FRONTIERS IN NEUROENDOCRINOLOGY
2015,"3,407",8.852,8.688,9.045,1.297,37,6.5,>10.0,0.00725,3.054,0.00,0.82641,94.34800,FRONTIERS IN NEUROENDOCRINOLOGY
2014,"3,146",7.037,6.777,9.656,2.556,36,5.9,>10.0,0.00801,3.212,0.00,0.89689,92.02900,FRONTIERS IN NEUROENDOCRINOLOGY
2013,"3,070",7.581,7.370,10.579,1.160,25,5.4,9.9,0.00934,3.419,0.00,1.02959,92.30000,FRONTIERS IN NEUROENDOCRINOLOGY
2012,"2,842",7.985,7.805,10.876,1.793,29,4.7,8.9,0.00893,3.527,0.00,Not Available,94.88200,FRONTIERS IN NEUROENDOCRINOLOGY
2011,"2,660",11.429,10.942,11.648,1.515,33,4.0,9.5,0.00898,3.825,0.00,Not Available,97.23400,FRONTIERS IN NEUROENDOCRINOLOGY
2010,"2,595",12.750,12.338,12.067,1.912,34,5.7,8.7,0.00795,3.900,0.00,Not Available,97.35300,FRONTIERS IN NEUROENDOCRINOLOGY
2009,"2,003",12.048,11.666,12.039,2.259,27,6.1,8.4,0.00649,4.050,0.00,Not Available,97.18600,FRONTIERS IN NEUROENDOCRINOLOGY
2008,"1,817",8.692,8.384,11.288,3.188,32,7.0,7.5,0.00433,3.314,0.00,Not Available,96.05400,FRONTIERS IN NEUROENDOCRINOLOGY
2007,"1,429",6.481,6.296,9.459,0.500,10,7.2,7.0,0.00436,3.077,0.00,Not Available,92.55700,FRONTIERS IN NEUROENDOCRINOLOGY
2006,"1,423",11.526,11.473,Not Available,0.312,16,6.6,7.3,Not Available,Not Available,31.25,Not Available,96.78100,FRONTIERS IN NEUROENDOCRINOLOGY
2005,"1,336",10.409,10.272,Not Available,0.273,11,6.1,7.8,Not Available,Not Available,0.00,Not Available,97.53200,FRONTIERS IN NEUROENDOCRINOLOGY
2004,"1,354",9.500,9.153,Not Available,0.625,8,5.7,6.1,Not Available,Not Available,0.00,Not Available,97.49700,FRONTIERS IN NEUROENDOCRINOLOGY
2003,"1,272",8.870,8.521,Not Available,1.000,14,5.4,6.3,Not Available,Not Available,0.00,Not Available,96.43300,FRONTIERS IN NEUROENDOCRINOLOGY
2002,"1,162",11.136,11.090,Not Available,0.667,12,5.1,7.7,Not Available,Not Available,0.00,Not Available,97.75200,FRONTIERS IN NEUROENDOCRINOLOGY
2001,"1,260",15.000,14.869,Not Available,1.727,11,5.0,6.6,Not Available,Not Available,0.00,Not Available,98.03000,FRONTIERS IN NEUROENDOCRINOLOGY
2000,"1,006",8.375,8.250,Not Available,0.636,11,5.8,6.5,Not Available,Not Available,0.00,Not Available,96.32500,FRONTIERS IN NEUROENDOCRINOLOGY
1999,990,7.826,7.739,Not Available,0.750,12,5.4,5.6,Not Available,Not Available,0.00,Not Available,95.91700,FRONTIERS IN NEUROENDOCRINOLOGY
1998,990,7.250,7.125,Not Available,0.417,12,5.1,4.9,Not Available,Not Available,0.00,Not Available,95.18500,FRONTIERS IN NEUROENDOCRINOLOGY
1997,811,7.111,7.037,Not Available,0.818,11,4.9,7.8,Not Available,Not Available,0.00,Not Available,95.29000,FRONTIERS IN NEUROENDOCRINOLOGY
