,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,57469,283,1699,2209,2441,2517,2906,3196,2817,2628,3244,33529,GENES & DEVELOPMENT
2,,ALL OTHERS (872),872,1,20,21,20,28,43,35,39,41,50,574,GENES & DEVELOPMENT
3,4.122,SCI REP-UK,2268,9,43,61,97,105,98,129,126,97,149,1354,GENES & DEVELOPMENT
4,,ONCOTARGET,1604,3,43,43,58,83,106,106,88,83,102,889,GENES & DEVELOPMENT
5,2.766,PLOS ONE,1332,3,26,34,34,49,57,66,53,58,53,899,GENES & DEVELOPMENT
6,11.561,NUCLEIC ACIDS RES,1298,12,56,70,88,64,70,97,65,64,66,646,GENES & DEVELOPMENT
7,12.353,NAT COMMUN,1105,4,37,67,77,55,74,79,58,39,68,547,GENES & DEVELOPMENT
8,9.504,P NATL ACAD SCI USA,849,8,30,54,39,34,51,44,41,35,27,486,GENES & DEVELOPMENT
9,7.616,ELIFE,827,8,33,33,50,39,26,38,42,31,33,494,GENES & DEVELOPMENT
10,8.032,CELL REP,707,6,27,45,45,53,47,47,39,30,37,331,GENES & DEVELOPMENT
11,4.011,J BIOL CHEM,636,3,14,28,24,26,33,40,38,22,42,366,GENES & DEVELOPMENT
12,5.540,PLOS GENET,634,1,18,31,25,19,26,34,25,26,34,395,GENES & DEVELOPMENT
13,3.687,INT J MOL SCI,632,7,22,16,22,33,41,30,37,34,34,356,GENES & DEVELOPMENT
14,5.413,DEVELOPMENT,628,3,24,20,33,21,24,25,18,24,28,408,GENES & DEVELOPMENT
15,14.248,MOL CELL,567,1,29,32,48,39,48,42,28,36,26,238,GENES & DEVELOPMENT
16,9.462,GENE DEV,555,31,40,48,47,25,41,33,28,25,31,206,GENES & DEVELOPMENT
17,6.854,ONCOGENE,529,3,14,16,29,35,37,34,41,28,27,265,GENES & DEVELOPMENT
18,4.075,GENETICS,457,2,16,17,20,15,20,19,22,24,26,276,GENES & DEVELOPMENT
19,3.191,GENES-BASEL,450,2,17,15,21,19,21,21,33,25,33,243,GENES & DEVELOPMENT
20,3.262,DEV BIOL,447,1,14,2,20,9,10,13,15,17,20,326,GENES & DEVELOPMENT
21,3.677,FRONT PLANT SCI,376,3,9,4,7,1,6,10,22,23,11,280,GENES & DEVELOPMENT
22,,METHOD MOL BIOL,323,0,0,7,20,4,11,21,15,32,20,193,GENES & DEVELOPMENT
23,6.138,SEMIN CELL DEV BIOL,313,0,3,9,4,14,19,20,7,7,12,218,GENES & DEVELOPMENT
24,4.894,J MOL BIOL,308,2,21,27,19,24,25,21,15,8,13,133,GENES & DEVELOPMENT
25,6.721,CELL MOL LIFE SCI,294,0,4,13,9,18,18,15,12,10,24,171,GENES & DEVELOPMENT
26,9.130,CANCER RES,293,2,18,20,21,17,18,19,21,16,24,117,GENES & DEVELOPMENT
27,10.557,EMBO J,291,0,17,14,24,15,22,26,14,15,22,122,GENES & DEVELOPMENT
28,31.398,CELL,288,4,23,27,19,22,19,16,16,14,21,107,GENES & DEVELOPMENT
29,9.616,DEV CELL,280,2,14,15,11,11,15,19,16,12,8,157,GENES & DEVELOPMENT
30,2.559,BIOCHEM BIOPH RES CO,269,0,8,3,8,10,11,9,22,13,21,164,GENES & DEVELOPMENT
31,3.813,MOL CELL BIOL,247,2,5,10,7,13,14,12,15,12,17,140,GENES & DEVELOPMENT
32,5.216,RNA BIOL,233,0,8,18,27,6,10,19,13,15,11,106,GENES & DEVELOPMENT
33,3.304,CELL CYCLE,231,4,21,10,6,15,13,13,10,10,12,117,GENES & DEVELOPMENT
