,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,12342,419,1053,1095,1062,1027,894,783,820,658,577,3954,GENES & DEVELOPMENT
2, ,ALL OTHERS (442),442,25,43,47,33,44,27,18,24,19,12,150,GENES & DEVELOPMENT
3,31.398,CELL,844,14,54,59,59,79,67,57,38,51,45,321,GENES & DEVELOPMENT
4,41.577,NATURE,797,25,49,64,66,46,64,62,59,47,61,254,GENES & DEVELOPMENT
5,9.462,GENE DEV,555,31,40,48,47,25,41,33,28,25,31,206,GENES & DEVELOPMENT
6,9.504,P NATL ACAD SCI USA,523,14,30,36,27,35,31,38,52,26,15,219,GENES & DEVELOPMENT
7,41.058,SCIENCE,482,19,39,31,37,41,24,23,21,29,25,193,GENES & DEVELOPMENT
8,14.248,MOL CELL,463,23,54,58,45,42,35,19,42,16,16,113,GENES & DEVELOPMENT
9,4.011,J BIOL CHEM,355,2,13,16,14,21,17,20,29,14,27,182,GENES & DEVELOPMENT
10,3.813,MOL CELL BIOL,276,1,4,3,8,12,13,8,12,14,19,182,GENES & DEVELOPMENT
11,11.561,NUCLEIC ACIDS RES,261,14,36,27,31,20,21,14,7,13,9,69,GENES & DEVELOPMENT
12,10.557,EMBO J,253,7,18,7,9,13,16,15,17,6,2,143,GENES & DEVELOPMENT
13,5.413,DEVELOPMENT,232,7,10,12,20,15,11,10,15,9,6,117,GENES & DEVELOPMENT
14,27.125,NAT GENET,185,5,9,11,9,12,11,9,5,12,7,95,GENES & DEVELOPMENT
15,8.032,CELL REP,160,13,40,37,38,18,14,0,0,0,0,0,GENES & DEVELOPMENT
16,9.130,CANCER RES,154,4,4,9,5,7,11,8,11,10,15,70,GENES & DEVELOPMENT
17,19.064,NAT CELL BIOL,150,3,10,13,15,17,11,15,10,10,7,39,GENES & DEVELOPMENT
18,12.353,NAT COMMUN,146,6,53,35,29,13,7,2,1,0,0,0,GENES & DEVELOPMENT
19,5.540,PLOS GENET,144,2,12,21,22,25,23,7,9,4,10,9,GENES & DEVELOPMENT
20,2.766,PLOS ONE,143,1,4,15,20,26,17,26,12,11,8,3,GENES & DEVELOPMENT
