Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"57,469",9.462,9.249,10.567,1.564,181,11.6,6.8,0.093,6.040,88.40,10.82600,93.88700,GENES & DEVELOPMENT
2016,"57,493",9.413,9.135,11.414,2.089,203,>10.0,6.6,0.10512,6.372,88.18,12.05933,94.58800,GENES & DEVELOPMENT
2015,"57,109",10.042,9.778,11.579,1.748,210,>10.0,6.5,0.11712,6.475,91.90,13.34912,94.66700,GENES & DEVELOPMENT
2014,"59,511",10.798,10.564,12.305,1.925,226,10.0,6.0,0.128,6.506,91.59,14.33599,94.47600,GENES & DEVELOPMENT
2013,"59,234",12.639,12.344,12.765,2.181,226,9.4,5.9,0.16589,7.475,89.38,18.28429,95.57500,GENES & DEVELOPMENT
2012,"57,627",12.444,12.139,12.741,2.149,249,8.9,6.0,0.1718,7.123,91.57,Not Available,94.93700,GENES & DEVELOPMENT
2011,"55,857",11.659,11.437,12.785,2.703,236,8.5,5.6,0.20955,8.018,91.53,Not Available,94.05900,GENES & DEVELOPMENT
2010,"56,715",12.889,12.581,13.892,2.386,259,8.0,5.3,0.23657,8.480,88.42,Not Available,93.89000,GENES & DEVELOPMENT
2009,"54,044",12.075,11.748,14.198,2.338,269,7.6,5.2,0.26719,8.965,91.82,Not Available,94.08600,GENES & DEVELOPMENT
2008,"51,077",13.623,13.195,14.428,2.320,319,7.3,5.2,0.27806,9.105,92.48,Not Available,96.48800,GENES & DEVELOPMENT
2007,"50,192",14.795,14.239,15.487,2.389,298,6.9,4.8,0.31684,10.109,91.61,Not Available,96.12300,GENES & DEVELOPMENT
2006,"48,407",15.050,14.490,Not Available,2.926,297,6.6,4.8,Not Available,Not Available,90.24,Not Available,96.25000,GENES & DEVELOPMENT
2005,"47,853",15.610,15.132,Not Available,2.835,273,6.2,4.6,Not Available,Not Available,92.31,Not Available,96.71900,GENES & DEVELOPMENT
2004,"47,892",16.385,15.868,Not Available,2.981,263,5.7,4.3,Not Available,Not Available,91.63,Not Available,96.68600,GENES & DEVELOPMENT
2003,"45,989",17.013,16.462,Not Available,3.358,265,5.2,4.3,Not Available,Not Available,92.83,Not Available,96.68600,GENES & DEVELOPMENT
2002,"45,227",18.772,18.156,Not Available,3.780,268,4.8,4.2,Not Available,Not Available,92.16,Not Available,96.64000,GENES & DEVELOPMENT
2001,"43,875",20.880,20.188,Not Available,3.295,281,4.5,4.0,Not Available,Not Available,91.46,Not Available,97.06400,GENES & DEVELOPMENT
2000,"41,132",19.676,18.940,Not Available,4.127,275,4.3,3.9,Not Available,Not Available,90.18,Not Available,97.06900,GENES & DEVELOPMENT
1999,"39,351",19.220,18.462,Not Available,4.068,292,4.2,3.8,Not Available,Not Available,94.18,Not Available,96.86600,GENES & DEVELOPMENT
1998,"34,625",19.067,18.059,Not Available,3.633,346,4.1,3.9,Not Available,Not Available,93.93,Not Available,96.85200,GENES & DEVELOPMENT
1997,"30,074",18.868,17.915,Not Available,2.783,277,3.9,3.8,Not Available,Not Available,92.06,Not Available,96.66700,GENES & DEVELOPMENT
