,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13417,237,845,938,988,1088,908,773,854,622,690,5474,GLIA
2,,ALL OTHERS (536),536,2,24,19,32,45,23,40,38,26,30,257,GLIA
3,5.846,GLIA,750,20,76,81,56,61,54,41,29,25,40,267,GLIA
4,4.122,SCI REP-UK,442,13,26,32,28,33,33,25,33,29,16,174,GLIA
5,2.772,NEUROCHEM RES,341,7,19,27,33,13,24,18,19,12,18,151,GLIA
6,5.076,MOL NEUROBIOL,253,0,5,16,21,24,22,14,15,6,17,113,GLIA
7,2.766,PLOS ONE,245,1,19,15,19,22,12,19,20,10,12,96,GLIA
8,5.193,J NEUROINFLAMM,236,5,27,17,22,28,13,10,10,7,7,90,GLIA
9,4.300,FRONT CELL NEUROSCI,225,7,13,15,17,23,15,8,9,14,10,94,GLIA
10,5.971,J NEUROSCI,212,7,18,17,23,15,14,11,19,7,17,64,GLIA
11,3.687,INT J MOL SCI,208,6,19,9,12,18,16,11,13,7,10,87,GLIA
12,2.662,J NEUROSCI RES,181,4,12,13,6,14,13,9,12,5,17,76,GLIA
13,,ONCOTARGET,169,4,16,6,14,16,14,16,8,8,2,65,GLIA
14,2.757,CURR PHARM DESIGN,145,2,15,5,8,10,21,7,9,4,9,55,GLIA
15,14.163,PROG NEUROBIOL,139,0,4,9,12,18,9,7,9,8,5,58,GLIA
16,6.306,BRAIN BEHAV IMMUN,138,0,9,15,14,14,13,2,7,4,6,54,GLIA
17,3.582,FRONT AGING NEUROSCI,135,5,9,9,12,13,9,2,2,4,8,62,GLIA
18,3.902,FRONT MOL NEUROSCI,126,8,6,13,9,9,13,5,6,4,11,42,GLIA
19,4.609,J NEUROCHEM,122,3,9,10,13,7,10,5,8,3,9,45,GLIA
20,3.382,NEUROSCIENCE,119,2,4,8,13,5,9,7,10,3,9,49,GLIA
21,5.511,FRONT IMMUNOL,113,5,12,7,7,11,5,7,8,4,2,45,GLIA
22,3.877,FRONT NEUROSCI-SWITZ,113,3,3,3,3,11,11,9,8,2,8,52,GLIA
23,2.234,NEURAL REGEN RES,112,8,7,7,9,8,9,8,2,4,8,42,GLIA
24,6.541,CURR OPIN NEUROBIOL,91,16,13,12,6,8,4,6,5,5,4,12,GLIA
25,6.187,BRAIN PATHOL,89,3,7,4,6,9,6,6,7,3,5,33,GLIA
26,4.249,NEUROPHARMACOLOGY,89,1,4,1,3,7,5,4,7,4,4,49,GLIA
27,3.831,FRONT PHARMACOL,87,2,6,8,6,6,2,9,6,4,5,33,GLIA
28,9.504,P NATL ACAD SCI USA,80,4,2,10,8,7,2,5,5,4,7,26,GLIA
29,4.231,BRAIN STRUCT FUNCT,76,5,3,6,8,3,7,3,2,1,4,34,GLIA
30,2.159,NEUROSCI LETT,76,3,5,5,6,4,8,6,5,5,3,26,GLIA
31,4.483,EXP NEUROL,72,1,5,3,4,2,1,8,3,9,7,29,GLIA
32,4.540,J PHYSIOL-LONDON,72,3,3,16,5,7,5,3,2,1,3,24,GLIA
33,5.227,NEUROBIOL DIS,71,0,4,4,6,9,10,5,2,4,3,24,GLIA
34,,NOR SIGN ASTRXB,71,0,6,3,14,1,4,4,4,3,3,29,GLIA
35,6.045,J CEREBR BLOOD F MET,70,0,7,3,6,6,5,2,7,6,2,26,GLIA
36,3.603,NEUROCHEM INT,68,0,3,5,6,5,5,5,4,4,2,29,GLIA
37,13.251,J CLIN INVEST,66,2,8,3,7,6,4,8,7,2,0,19,GLIA
38,2.655,J NEUROIMMUNOL,64,1,3,2,5,5,6,3,3,2,3,31,GLIA
39,14.319,NEURON,62,4,10,7,4,4,2,3,3,1,6,18,GLIA
40,3.125,BRAIN RES,61,0,5,3,4,4,3,5,4,3,3,27,GLIA
41,6.308,CEREB CORTEX,58,0,4,5,6,3,4,6,1,3,4,22,GLIA
42,12.353,NAT COMMUN,57,3,2,9,6,4,5,0,2,1,7,18,GLIA
43,3.549,MEDIAT INFLAMM,56,1,1,4,8,3,4,1,4,1,4,25,GLIA
44,4.011,J BIOL CHEM,55,1,2,4,4,4,3,3,8,4,2,20,GLIA
45,3.173,BEHAV BRAIN RES,54,0,2,2,6,3,3,3,3,3,5,24,GLIA
46,2.832,EUR J NEUROSCI,54,1,0,1,3,4,3,3,5,5,1,28,GLIA
47,15.876,ACTA NEUROPATHOL,53,0,4,3,6,3,4,2,3,3,6,19,GLIA
48,3.490,J NEUROPATH EXP NEUR,53,1,1,1,2,2,7,2,5,2,2,28,GLIA
49,8.032,CELL REP,52,1,1,7,6,6,4,1,3,2,5,16,GLIA
50,3.388,INVEST OPHTH VIS SCI,50,3,4,2,4,8,2,0,0,0,2,25,GLIA
51,8.037,NEUROSCI BIOBEHAV R,49,3,8,2,2,3,3,3,4,1,1,19,GLIA
52,2.559,BIOCHEM BIOPH RES CO,47,0,3,3,2,4,1,1,4,4,3,22,GLIA
53,3.400,J COMP NEUROL,45,0,0,4,3,4,4,2,5,1,1,21,GLIA
54,3.312,MOL CELL NEUROSCI,45,1,3,6,0,4,1,2,2,2,1,23,GLIA
55,3.440,BRAIN RES BULL,44,0,3,4,3,4,2,0,5,2,5,16,GLIA
56,7.616,ELIFE,44,3,3,4,3,3,3,4,2,3,3,13,GLIA
57,3.476,J ALZHEIMERS DIS,44,0,3,5,0,3,3,5,4,4,6,11,GLIA
58,1.922,MOL MED REP,44,0,2,1,2,3,6,1,0,5,1,23,GLIA
59,5.414,ACTA NEUROPATHOL COM,43,0,4,1,4,7,5,1,4,0,3,14,GLIA
60,10.848,BRAIN,43,1,2,3,4,4,2,1,1,4,2,19,GLIA
61,4.235,BIOCHEM PHARMACOL,42,0,3,5,8,5,3,4,1,0,0,13,GLIA
