,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,11206,128,767,913,871,834,757,678,609,517,511,4621,GLIA
2, ,ALL OTHERS (598),598,14,52,66,51,50,42,37,27,26,22,211,GLIA
3,5.971,J NEUROSCI,794,2,31,42,64,66,45,65,39,33,54,353,GLIA
4,5.846,GLIA,750,20,76,81,56,61,54,41,29,25,40,267,GLIA
5,9.504,P NATL ACAD SCI USA,354,1,14,13,11,27,16,23,18,24,18,189,GLIA
6,19.912,NAT NEUROSCI,307,3,20,43,31,27,20,18,12,16,6,111,GLIA
7,14.319,NEURON,290,1,13,20,40,17,22,16,16,10,19,116,GLIA
8,41.577,NATURE,266,7,14,10,6,16,31,12,19,7,6,138,GLIA
9,4.011,J BIOL CHEM,249,1,8,7,12,13,18,17,13,8,3,149,GLIA
10,41.058,SCIENCE,230,0,18,6,17,12,10,15,19,14,11,108,GLIA
11,4.609,J NEUROCHEM,192,0,6,10,9,10,11,12,6,12,11,105,GLIA
12,2.766,PLOS ONE,189,1,14,21,22,37,35,30,13,9,5,2,GLIA
13,31.398,CELL,162,0,10,10,12,14,5,8,8,11,11,73,GLIA
14,3.125,BRAIN RES,150,0,13,10,1,3,6,3,4,6,6,98,GLIA
15,3.382,NEUROSCIENCE,150,2,18,10,6,7,4,8,14,9,5,67,GLIA
16,32.635,NAT REV NEUROSCI,131,1,1,10,18,11,5,10,15,3,6,51,GLIA
17,10.848,BRAIN,119,0,5,14,2,11,6,8,2,8,10,53,GLIA
18,2.662,J NEUROSCI RES,119,2,9,3,1,3,3,3,4,9,5,77,GLIA
19,4.483,EXP NEUROL,117,0,11,12,10,10,6,3,4,5,7,49,GLIA
20,8.784,J CELL BIOL,117,1,4,4,3,1,1,5,1,7,11,79,GLIA
21,4.539,J IMMUNOL,103,0,8,5,8,6,4,4,6,4,8,50,GLIA
22,3.400,J COMP NEUROL,100,1,5,2,5,3,5,0,3,5,7,64,GLIA
23,5.413,DEVELOPMENT,98,0,4,5,5,10,2,14,1,4,8,45,GLIA
24,10.250,ANN NEUROL,87,0,2,7,6,2,11,8,3,5,3,40,GLIA
25,4.540,J PHYSIOL-LONDON,86,3,11,4,1,0,7,3,1,6,2,48,GLIA
26,11.439,TRENDS NEUROSCI,86,1,2,10,3,9,4,6,1,11,5,34,GLIA
27,4.300,FRONT CELL NEUROSCI,85,0,6,30,32,14,1,2,0,0,0,0,GLIA
28,2.832,EUR J NEUROSCI,76,0,3,0,2,4,1,8,4,3,1,50,GLIA
29,32.621,NAT MED,73,0,5,2,7,4,5,6,0,2,1,41,GLIA
30,12.353,NAT COMMUN,71,1,22,19,20,5,2,1,1,0,0,0,GLIA
31,15.876,ACTA NEUROPATHOL,67,0,6,7,6,5,4,3,7,4,0,25,GLIA
32,5.193,J NEUROINFLAMM,66,1,12,7,6,10,12,10,3,0,1,4,GLIA
