Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,417",5.846,5.331,6.151,1.769,134,8.1,8.1,0.021,1.922,88.06,2.39700,87.54800,GLIA
2016,"12,781",6.200,5.754,5.971,1.374,147,7.8,7.9,0.02187,1.925,85.71,2.51128,90.92700,GLIA
2015,"11,548",5.997,5.516,5.411,1.285,158,7.7,8.1,0.0205,1.688,83.54,2.33702,90.43000,GLIA
2014,"11,659",6.031,5.547,5.511,1.980,147,7.4,7.7,0.02283,1.782,88.44,2.55731,89.88100,GLIA
2013,"10,995",5.466,5.094,5.374,1.631,157,7.0,7.6,0.02247,1.675,92.36,2.47623,86.31000,GLIA
2012,"10,371",5.066,4.750,5.406,1.380,166,6.8,7.5,0.0241,1.738,90.36,Not Available,83.13500,GLIA
2011,"9,471",4.820,4.577,5.157,1.210,162,6.5,7.4,0.02744,1.868,98.15,Not Available,81.35200,GLIA
2010,"9,188",5.186,4.856,5.540,1.263,171,6.0,7.7,0.02867,1.878,97.08,Not Available,85.98300,GLIA
2009,"8,207",4.932,4.590,5.091,1.093,151,5.9,7.3,0.02873,1.754,92.72,Not Available,82.90000,GLIA
2008,"7,937",5.599,5.197,5.241,1.045,155,5.6,7.0,0.02923,1.711,92.26,Not Available,88.46200,GLIA
2007,"7,165",5.380,5.003,5.128,1.065,155,5.4,6.7,0.02793,1.599,94.19,Not Available,87.44100,GLIA
2006,"6,456",5.013,4.493,Not Available,0.917,169,5.2,6.3,Not Available,Not Available,91.12,Not Available,84.75000,GLIA
2005,"5,755",4.276,4.006,Not Available,1.115,157,5.1,6.7,Not Available,Not Available,92.36,Not Available,82.25000,GLIA
2004,"5,224",4.781,4.463,Not Available,0.702,151,4.8,6.4,Not Available,Not Available,98.01,Not Available,87.12100,GLIA
2003,"4,963",4.677,4.342,Not Available,0.885,139,4.8,6.0,Not Available,Not Available,95.68,Not Available,86.11100,GLIA
2002,"4,396",4.600,4.223,Not Available,0.511,135,4.8,5.6,Not Available,Not Available,94.81,Not Available,85.53300,GLIA
2001,"4,037",4.193,3.867,Not Available,0.456,125,4.8,6.0,Not Available,Not Available,96.00,Not Available,83.58600,GLIA
2000,"3,805",3.932,3.574,Not Available,0.793,135,4.8,5.7,Not Available,Not Available,87.41,Not Available,83.99000,GLIA
1999,"3,709",4.245,3.864,Not Available,0.721,129,4.7,5.8,Not Available,Not Available,97.67,Not Available,86.81600,GLIA
1998,"3,388",3.670,3.283,Not Available,0.800,120,4.6,6.0,Not Available,Not Available,95.83,Not Available,84.90100,GLIA
1997,"2,847",3.769,3.418,Not Available,0.486,109,4.3,5.8,Not Available,Not Available,95.41,Not Available,82.33300,GLIA
