,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,1694,72,196,538,270,227,391,0,0,0,0,0,GigaScience
2,,ALL OTHERS (324),324,10,36,110,57,50,61,0,0,0,0,0,GigaScience
3,4.122,SCI REP-UK,113,1,9,43,14,19,27,0,0,0,0,0,GigaScience
4,7.267,GIGASCIENCE,96,21,17,22,4,7,25,0,0,0,0,0,GigaScience
5,2.766,PLOS ONE,69,2,7,25,7,7,21,0,0,0,0,0,GigaScience
6,3.730,BMC GENOMICS,33,0,2,8,1,6,16,0,0,0,0,0,GigaScience
7,4.019,FRONT MICROBIOL,32,3,8,4,0,9,8,0,0,0,0,0,GigaScience
8,12.353,NAT COMMUN,30,2,2,10,4,0,12,0,0,0,0,0,GigaScience
9,5.481,BIOINFORMATICS,28,0,2,11,7,4,4,0,0,0,0,0,GigaScience
10,3.677,FRONT PLANT SCI,28,1,8,6,8,1,4,0,0,0,0,0,GigaScience
11,10.101,GENOME RES,20,1,1,7,2,2,7,0,0,0,0,0,GigaScience
12,,INT J DIGIT LIBRARIE,20,0,0,8,6,2,4,0,0,0,0,0,GigaScience
13,2.118,PEERJ,20,2,3,6,1,2,6,0,0,0,0,0,GigaScience
14,2.742,G3-GENES GENOM GENET,19,4,1,8,2,2,2,0,0,0,0,0,GigaScience
15,3.940,GENOME BIOL EVOL,19,1,0,3,7,2,6,0,0,0,0,0,GigaScience
16,6.131,MOL ECOL,19,1,4,5,1,5,3,0,0,0,0,0,GigaScience
17,27.125,NAT GENET,18,0,1,9,2,3,3,0,0,0,0,0,GigaScience
18,41.577,NATURE,18,0,2,3,4,3,6,0,0,0,0,0,GigaScience
19,9.133,MICROBIOME,16,1,2,4,0,6,3,0,0,0,0,0,GigaScience
20,11.561,NUCLEIC ACIDS RES,16,1,1,4,5,0,5,0,0,0,0,0,GigaScience
21,13.214,GENOME BIOL,14,0,0,3,3,1,7,0,0,0,0,0,GigaScience
22,10.217,MOL BIOL EVOL,14,1,0,6,1,1,5,0,0,0,0,0,GigaScience
23,4.075,GENETICS,12,0,1,7,1,1,2,0,0,0,0,0,GigaScience
24,5.540,PLOS GENET,12,0,0,9,0,0,3,0,0,0,0,0,GigaScience
25,0.488,MITOCHONDRIAL DNA B,11,0,2,1,0,0,8,0,0,0,0,0,GigaScience
26,5.426,NEUROIMAGE,10,0,2,4,4,0,0,0,0,0,0,0,GigaScience
27,7.433,NEW PHYTOL,10,0,1,1,3,1,4,0,0,0,0,0,GigaScience
28,,ONCOTARGET,10,1,2,5,1,0,1,0,0,0,0,0,GigaScience
29,9.504,P NATL ACAD SCI USA,10,0,2,5,0,0,3,0,0,0,0,0,GigaScience
30,5.311,SCI DATA,10,1,0,2,3,1,3,0,0,0,0,0,GigaScience
31,2.213,BMC BIOINFORMATICS,9,0,0,1,1,1,6,0,0,0,0,0,GigaScience
32,3.687,INT J MOL SCI,9,0,3,2,2,0,2,0,0,0,0,0,GigaScience
33,2.533,J BIOTECHNOL,9,0,2,2,1,1,3,0,0,0,0,0,GigaScience
34,8.855,AM J HUM GENET,8,0,0,8,0,0,0,0,0,0,0,0,GigaScience
35,1.937,MAR GENOM,8,0,0,2,2,0,4,0,0,0,0,0,GigaScience
36,3.511,METABOLOMICS,8,0,3,0,0,5,0,0,0,0,0,0,GigaScience
37,4.412,MOL PHYLOGENET EVOL,8,0,0,2,1,1,4,0,0,0,0,0,GigaScience
