,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5804,324,572,630,540,443,487,392,347,305,191,1573,GigaScience
2, ,ALL OTHERS (1023),1023,78,107,82,70,73,56,48,50,43,31,385,GigaScience
3,5.481,BIOINFORMATICS,502,9,21,74,60,37,35,62,30,65,13,96,GigaScience
4,11.561,NUCLEIC ACIDS RES,392,6,38,31,18,18,27,17,19,24,9,185,GigaScience
5,41.577,NATURE,192,2,4,18,13,13,30,14,21,3,9,65,GigaScience
6,10.101,GENOME RES,187,7,3,5,18,3,10,20,21,14,11,75,GigaScience
7,2.766,PLOS ONE,169,2,18,21,29,27,38,11,12,2,5,4,GigaScience
8,41.058,SCIENCE,139,1,11,16,23,8,11,6,9,9,5,40,GigaScience
9,2.213,BMC BIOINFORMATICS,136,4,5,11,14,10,13,18,13,13,12,23,GigaScience
10,9.504,P NATL ACAD SCI USA,125,0,6,8,10,15,7,13,10,5,2,49,GigaScience
11,13.214,GENOME BIOL,120,0,10,11,19,9,7,8,10,6,8,32,GigaScience
12, ,GIGASCIENCE DATABASE,109,92,17,0,0,0,0,0,0,0,0,0,GigaScience
13,7.267,GIGASCIENCE,96,21,17,22,4,7,25,0,0,0,0,0,GigaScience
14,26.919,NAT METHODS,93,3,5,24,3,18,20,2,9,4,3,2,GigaScience
15,27.125,NAT GENET,92,6,9,10,9,15,9,12,3,2,2,15,GigaScience
16,35.724,NAT BIOTECHNOL,87,1,4,6,12,7,13,22,14,1,2,5,GigaScience
17,10.217,MOL BIOL EVOL,75,3,10,5,3,10,3,4,2,0,1,34,GigaScience
18,3.730,BMC GENOMICS,59,4,7,14,8,8,5,4,3,1,2,3,GigaScience
19,4.122,SCI REP-UK,50,3,24,17,3,1,1,1,0,0,0,0,GigaScience
20,6.042,ANAL CHEM,49,1,12,2,11,4,5,2,2,4,0,6,GigaScience
21,12.353,NAT COMMUN,48,2,15,7,15,6,3,0,0,0,0,0,GigaScience
22,5.949,PLANT PHYSIOL,46,4,6,5,11,2,4,3,3,3,2,3,GigaScience
23,41.465,NAT REV GENET,38,0,9,3,2,2,5,2,5,4,3,3,GigaScience
24,3.633,APPL ENVIRON MICROB,33,0,1,2,0,4,1,3,0,3,1,18,GigaScience
25,5.426,NEUROIMAGE,32,1,4,5,0,4,2,2,4,3,2,5,GigaScience
26, ,CURR PROTOC BIOINFOR,28,0,0,0,3,2,0,2,0,13,1,7,GigaScience
27,6.131,MOL ECOL,27,2,1,3,3,2,9,2,1,0,0,4,GigaScience
28,12.423,NAT PROTOC,24,0,2,0,3,5,8,1,2,2,0,1,GigaScience
29, ,BIORXIV,23,6,16,0,1,0,0,0,0,0,0,0,GigaScience
30,3.955,PLOS COMPUT BIOL,23,2,0,3,1,4,3,3,2,0,2,3,GigaScience
31,31.398,CELL,22,0,1,5,1,1,2,2,2,2,0,6,GigaScience
32,8.228,PLANT CELL,22,2,2,1,2,4,3,1,1,1,0,5,GigaScience
33,5.775,PLANT J,22,0,2,3,1,2,2,0,0,2,2,8,GigaScience
34,5.540,PLOS GENET,22,0,2,3,4,1,2,2,1,1,2,4,GigaScience
35,8.523,SYST BIOL,22,1,0,0,0,0,3,0,7,0,0,11,GigaScience
36,4.894,J MOL BIOL,21,0,0,0,0,0,0,0,0,0,0,21,GigaScience
37,1.587,CYTOGENET GENOME RES,19,0,0,0,0,0,0,0,0,0,0,19,GigaScience
38,9.163,PLOS BIOL,19,0,0,4,2,0,1,3,2,2,0,5,GigaScience
39,3.179,J EXP BIOL,18,0,2,0,1,0,1,0,1,0,3,10,GigaScience
40,9.520,ISME J,17,0,1,1,4,1,2,6,0,0,2,0,GigaScience
41,2.475,SENSORS-BASEL,17,3,4,3,2,3,1,1,0,0,0,0,GigaScience
42,6.302,BRIEF BIOINFORM,16,4,0,2,1,1,3,0,0,0,2,3,GigaScience
43,7.059,MOL ECOL RESOUR,16,2,7,1,3,1,2,0,0,0,0,0,GigaScience
44,3.978,DATABASE-OXFORD,14,0,2,2,3,2,3,1,1,0,0,0,GigaScience
45,8.898,GENOME MED,14,0,2,8,1,2,1,0,0,0,0,0,GigaScience
46,2.118,PEERJ,14,3,4,4,3,0,0,0,0,0,0,0,GigaScience
47,6.457,REMOTE SENS ENVIRON,14,0,1,0,0,1,1,0,0,1,1,9,GigaScience
48,5.311,SCI DATA,14,1,11,0,2,0,0,0,0,0,0,0,GigaScience
49,12.149,TRENDS PLANT SCI,14,0,4,1,2,0,0,1,3,0,0,3,GigaScience
50,5.354,J EXP BOT,13,0,0,4,0,2,2,0,2,0,0,3,GigaScience
51, ,METHOD MOL BIOL,13,0,0,1,2,0,3,2,0,3,0,2,GigaScience
52,4.269,PLANT METHODS,13,2,0,7,0,2,0,2,0,0,0,0,GigaScience
53,9.251,CURR BIOL,12,0,2,2,2,0,3,0,0,0,0,3,GigaScience
54,2.788,AM J BOT,11,0,1,1,1,0,0,0,1,0,0,7,GigaScience
55,7.349,CURR OPIN PLANT BIOL,11,0,0,6,1,1,0,0,0,0,0,3,GigaScience
56,4.151,FRONT GENET,11,0,0,2,4,5,0,0,0,0,0,0,GigaScience
57,4.075,GENETICS,11,0,1,0,1,1,1,0,0,0,0,7,GigaScience
58,3.940,GENOME BIOL EVOL,11,0,3,0,2,3,1,1,0,1,0,0,GigaScience
59,3.562,INSECT BIOCHEM MOLEC,11,1,2,0,1,3,0,0,1,0,0,3,GigaScience
60,3.950,J PROTEOME RES,11,0,3,0,2,1,0,0,2,0,2,1,GigaScience
61,3.511,METABOLOMICS,11,1,1,2,1,0,3,0,0,0,1,2,GigaScience
62,4.412,MOL PHYLOGENET EVOL,11,1,0,1,0,0,0,1,2,0,1,5,GigaScience
63,7.433,NEW PHYTOL,11,0,4,0,0,1,2,1,0,0,1,2,GigaScience
64,3.930,BMC PLANT BIOL,10,0,0,2,1,0,4,3,0,0,0,0,GigaScience
65, ,BMC RES NOTES,10,0,3,0,1,0,4,1,1,0,0,0,GigaScience
66,2.050,BMC SYST BIOL,10,0,1,0,3,0,3,1,0,1,1,0,GigaScience
67,5.971,J NEUROSCI,10,0,0,0,0,1,2,1,1,0,0,5,GigaScience
68,19.912,NAT NEUROSCI,10,0,2,2,1,2,0,0,0,0,0,3,GigaScience
69,14.319,NEURON,10,0,0,3,3,3,0,0,0,0,0,1,GigaScience
70,4.059,PLANT CELL PHYSIOL,10,0,0,0,1,4,2,2,0,0,0,1,GigaScience
71,3.406,REMOTE SENS-BASEL,10,3,0,3,1,1,1,0,1,0,0,0,GigaScience
72,8.855,AM J HUM GENET,9,0,0,1,1,3,1,0,0,0,1,2,GigaScience
