,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,17837,249,1567,1143,889,1012,1007,887,1272,892,666,8253,IEEE TRANSACTIONS ON MEDICAL IMAGING
2,,ALL OTHERS (743),743,7,52,50,22,24,27,18,52,41,22,428,IEEE TRANSACTIONS ON MEDICAL IMAGING
3,6.131,IEEE T MED IMAGING,800,16,79,73,63,62,71,47,45,36,28,280,IEEE TRANSACTIONS ON MEDICAL IMAGING
4,,PROC SPIE,763,9,105,73,56,41,39,30,54,44,19,293,IEEE TRANSACTIONS ON MEDICAL IMAGING
5,5.356,MED IMAGE ANAL,670,10,71,40,37,48,51,35,58,30,39,251,IEEE TRANSACTIONS ON MEDICAL IMAGING
6,2.884,MED PHYS,661,15,49,40,46,50,46,28,42,41,15,289,IEEE TRANSACTIONS ON MEDICAL IMAGING
7,2.665,PHYS MED BIOL,603,12,45,48,40,50,56,34,56,43,15,204,IEEE TRANSACTIONS ON MEDICAL IMAGING
8,4.082,MAGN RESON MED,388,0,7,26,45,17,35,31,33,29,17,148,IEEE TRANSACTIONS ON MEDICAL IMAGING
9,5.426,NEUROIMAGE,381,1,19,23,15,11,16,20,42,14,12,208,IEEE TRANSACTIONS ON MEDICAL IMAGING
10,2.766,PLOS ONE,341,9,31,13,22,22,18,14,37,11,22,142,IEEE TRANSACTIONS ON MEDICAL IMAGING
11,4.122,SCI REP-UK,319,6,53,16,17,18,16,16,34,9,8,126,IEEE TRANSACTIONS ON MEDICAL IMAGING
12,,J MED IMAGING,268,2,27,13,15,8,13,13,10,21,14,132,IEEE TRANSACTIONS ON MEDICAL IMAGING
13,,2017 IEEE 14 INT SXB,237,2,45,18,15,19,17,12,28,6,10,65,IEEE TRANSACTIONS ON MEDICAL IMAGING
14,1.961,INT J COMPUT ASS RAD,232,3,13,22,19,23,10,8,18,15,7,94,IEEE TRANSACTIONS ON MEDICAL IMAGING
15,4.288,IEEE T BIO-MED ENG,190,2,20,15,10,10,13,15,10,12,9,74,IEEE TRANSACTIONS ON MEDICAL IMAGING
16,0.549,J MED IMAG HEALTH IN,171,2,8,8,6,10,6,5,6,9,9,102,IEEE TRANSACTIONS ON MEDICAL IMAGING
17,3.241,NEUROCOMPUTING,167,0,23,13,15,9,12,10,10,7,6,62,IEEE TRANSACTIONS ON MEDICAL IMAGING
18,2.674,COMPUT METH PROG BIO,166,2,11,10,4,14,4,11,10,11,9,80,IEEE TRANSACTIONS ON MEDICAL IMAGING
19,,IEEE INT ULTRA SYM,162,23,22,40,12,12,13,16,3,5,1,15,IEEE TRANSACTIONS ON MEDICAL IMAGING
20,2.115,COMPUT BIOL MED,154,2,29,7,10,8,10,10,6,10,4,58,IEEE TRANSACTIONS ON MEDICAL IMAGING
21,3.850,IEEE J BIOMED HEALTH,154,0,52,5,8,15,9,3,9,6,5,42,IEEE TRANSACTIONS ON MEDICAL IMAGING
22,3.965,PATTERN RECOGN,139,0,17,9,5,21,7,14,12,6,3,45,IEEE TRANSACTIONS ON MEDICAL IMAGING
23,4.927,HUM BRAIN MAPP,138,0,1,3,6,2,4,7,14,12,3,86,IEEE TRANSACTIONS ON MEDICAL IMAGING
24,2.704,IEEE T ULTRASON FERR,136,8,11,17,7,16,16,8,2,10,4,37,IEEE TRANSACTIONS ON MEDICAL IMAGING
25,3.482,BIOMED OPT EXPRESS,133,12,20,8,7,16,10,7,10,9,8,26,IEEE TRANSACTIONS ON MEDICAL IMAGING
26,,ELS MIC SOC BOOK SER,130,1,46,4,11,8,7,4,9,3,2,35,IEEE TRANSACTIONS ON MEDICAL IMAGING
27,2.564,MAGN RESON IMAGING,121,0,7,4,12,3,5,10,9,3,3,65,IEEE TRANSACTIONS ON MEDICAL IMAGING
28,,P ANN INT IEEE EMBS,121,3,17,11,6,5,4,4,8,3,5,55,IEEE TRANSACTIONS ON MEDICAL IMAGING
29,2.435,COMPUT MED IMAG GRAP,107,0,8,5,6,10,6,8,10,4,4,46,IEEE TRANSACTIONS ON MEDICAL IMAGING
30,3.869,NEUROIMAGE-CLIN,106,0,9,4,1,1,5,1,13,7,6,59,IEEE TRANSACTIONS ON MEDICAL IMAGING
31,,LECT NOTES COMPUT SC,105,0,12,9,6,2,5,2,14,2,7,46,IEEE TRANSACTIONS ON MEDICAL IMAGING
32,5.072,IEEE T IMAGE PROCESS,103,3,7,10,6,7,8,6,7,2,10,37,IEEE TRANSACTIONS ON MEDICAL IMAGING
33,1.536,J DIGIT IMAGING,96,0,39,7,6,2,3,5,3,5,2,24,IEEE TRANSACTIONS ON MEDICAL IMAGING
34,2.645,ULTRASOUND MED BIOL,95,3,7,11,4,5,6,4,5,6,3,41,IEEE TRANSACTIONS ON MEDICAL IMAGING
35,2.783,BIOMED SIGNAL PROCES,85,0,3,3,1,8,3,3,4,3,4,53,IEEE TRANSACTIONS ON MEDICAL IMAGING
36,1.971,MED BIOL ENG COMPUT,84,0,1,5,6,9,4,2,1,7,5,44,IEEE TRANSACTIONS ON MEDICAL IMAGING
37,3.612,J MAGN RESON IMAGING,83,0,3,4,1,5,7,5,16,4,2,36,IEEE TRANSACTIONS ON MEDICAL IMAGING
38,1.946,INVERSE PROBL,78,1,2,4,5,4,7,4,2,4,1,44,IEEE TRANSACTIONS ON MEDICAL IMAGING
39,1.541,MULTIMED TOOLS APPL,78,0,4,7,3,1,6,4,2,4,1,46,IEEE TRANSACTIONS ON MEDICAL IMAGING
40,2.367,J BIOMED OPT,73,6,4,8,2,9,2,4,8,9,1,20,IEEE TRANSACTIONS ON MEDICAL IMAGING
41,3.031,NMR BIOMED,73,0,3,9,6,1,7,4,10,6,4,23,IEEE TRANSACTIONS ON MEDICAL IMAGING
42,2.240,PHYS MEDICA,72,1,4,4,6,7,5,3,5,4,2,31,IEEE TRANSACTIONS ON MEDICAL IMAGING
43,3.877,FRONT NEUROSCI-SWITZ,70,0,1,3,1,3,1,4,8,4,3,42,IEEE TRANSACTIONS ON MEDICAL IMAGING
44,3.557,IEEE ACCESS,70,4,6,5,5,2,5,6,3,5,1,28,IEEE TRANSACTIONS ON MEDICAL IMAGING
45,1.261,J HEALTHC ENG,70,2,7,2,4,4,5,5,4,1,2,34,IEEE TRANSACTIONS ON MEDICAL IMAGING
46,,IEEE T COMPUT IMAG,68,1,7,2,4,4,8,8,4,4,2,24,IEEE TRANSACTIONS ON MEDICAL IMAGING
47,1.401,IET IMAGE PROCESS,68,0,3,4,6,3,2,5,4,4,5,32,IEEE TRANSACTIONS ON MEDICAL IMAGING
48,,BIOM IM SEGM ADVXB,62,0,0,0,0,6,1,2,8,1,2,42,IEEE TRANSACTIONS ON MEDICAL IMAGING
49,0.299,CURR MED IMAGING REV,61,0,0,3,1,3,2,8,4,1,3,36,IEEE TRANSACTIONS ON MEDICAL IMAGING
50,2.475,SENSORS-BASEL,60,0,8,6,4,1,2,2,3,4,1,29,IEEE TRANSACTIONS ON MEDICAL IMAGING
51,,INT C ACOUST SPEE,59,0,4,3,3,1,1,7,5,4,2,29,IEEE TRANSACTIONS ON MEDICAL IMAGING
52,2.098,J MED SYST,59,1,7,2,1,0,1,6,1,3,1,36,IEEE TRANSACTIONS ON MEDICAL IMAGING
53,2.583,BIOMED RES INT,58,0,6,4,0,2,2,2,3,4,2,33,IEEE TRANSACTIONS ON MEDICAL IMAGING
54,1.381,J X-RAY SCI TECHNOL,58,0,4,5,2,2,5,3,1,5,1,30,IEEE TRANSACTIONS ON MEDICAL IMAGING
55,1.676,BIOMED ENG ONLINE,57,0,3,4,4,9,2,1,7,3,3,21,IEEE TRANSACTIONS ON MEDICAL IMAGING
56,1.374,BIOCYBERN BIOMED ENG,56,0,0,1,1,0,0,3,3,3,2,43,IEEE TRANSACTIONS ON MEDICAL IMAGING
57,,COMP M BIO BIO E-IV,53,0,0,0,1,2,6,3,3,3,1,34,IEEE TRANSACTIONS ON MEDICAL IMAGING
58,1.545,COMPUT MATH METHOD M,53,1,5,5,3,3,4,1,0,3,3,25,IEEE TRANSACTIONS ON MEDICAL IMAGING
59,,SIG PROCESS COMMUN,53,1,7,3,0,4,2,3,3,3,1,26,IEEE TRANSACTIONS ON MEDICAL IMAGING
60,,ADV INTELL SYST,49,0,2,2,4,1,2,4,1,4,7,22,IEEE TRANSACTIONS ON MEDICAL IMAGING
61,1.423,INT J IMAG SYST TECH,49,0,4,1,0,1,4,2,1,4,1,31,IEEE TRANSACTIONS ON MEDICAL IMAGING
62,,BIOMED PHYS ENG EXPR,48,1,2,4,2,5,5,4,2,4,1,18,IEEE TRANSACTIONS ON MEDICAL IMAGING
63,3.768,EXPERT SYST APPL,48,0,4,4,1,2,8,4,1,1,1,22,IEEE TRANSACTIONS ON MEDICAL IMAGING
64,2.361,SIAM J IMAGING SCI,44,0,3,2,3,3,3,4,2,2,3,19,IEEE TRANSACTIONS ON MEDICAL IMAGING
65,1.643,SIGNAL IMAGE VIDEO P,44,0,2,3,0,2,0,3,1,4,3,26,IEEE TRANSACTIONS ON MEDICAL IMAGING
66,3.907,APPL SOFT COMPUT,43,0,1,2,1,2,2,2,3,1,2,27,IEEE TRANSACTIONS ON MEDICAL IMAGING
67,3.074,FRONT NEUROINFORM,43,0,0,0,1,0,1,5,6,5,1,24,IEEE TRANSACTIONS ON MEDICAL IMAGING
68,,INT J BIOMED ENG TEC,43,0,0,5,0,3,0,4,3,1,2,25,IEEE TRANSACTIONS ON MEDICAL IMAGING
69,,INT J BIOMED IMAGING,41,1,2,4,4,3,2,4,1,0,0,20,IEEE TRANSACTIONS ON MEDICAL IMAGING
70,2.338,INT J NUMER METH BIO,41,0,3,3,1,3,2,2,5,2,4,16,IEEE TRANSACTIONS ON MEDICAL IMAGING
71,,BIOMED RES-INDIA,37,0,1,0,2,1,0,3,3,3,3,21,IEEE TRANSACTIONS ON MEDICAL IMAGING
72,2.843,EUR J RADIOL,37,0,1,2,1,5,3,2,4,1,2,16,IEEE TRANSACTIONS ON MEDICAL IMAGING
73,1.211,J MED BIOL ENG,37,0,1,1,1,2,1,1,3,0,3,24,IEEE TRANSACTIONS ON MEDICAL IMAGING
74,,IEEE INT C BIOINFORM,36,0,12,4,0,2,1,0,3,1,1,12,IEEE TRANSACTIONS ON MEDICAL IMAGING
75,4.027,EUR RADIOL,35,0,1,2,1,0,1,4,8,1,1,16,IEEE TRANSACTIONS ON MEDICAL IMAGING
76,6.308,CEREB CORTEX,34,0,0,0,1,0,0,1,3,1,4,24,IEEE TRANSACTIONS ON MEDICAL IMAGING
77,1.281,PATTERN ANAL APPL,34,0,2,2,0,2,0,1,2,1,3,21,IEEE TRANSACTIONS ON MEDICAL IMAGING
78,,PROC CVPR IEEE,34,0,12,1,3,3,3,1,1,1,1,8,IEEE TRANSACTIONS ON MEDICAL IMAGING
79,3.356,OPT EXPRESS,33,2,3,2,0,2,0,6,1,1,2,14,IEEE TRANSACTIONS ON MEDICAL IMAGING
80,,AIP C PROC,32,0,1,0,1,0,1,1,4,1,1,22,IEEE TRANSACTIONS ON MEDICAL IMAGING
81,3.653,AM J NEURORADIOL,31,0,1,0,0,1,0,0,1,1,1,26,IEEE TRANSACTIONS ON MEDICAL IMAGING
82,4.305,INFORM SCIENCES,31,0,13,2,0,3,0,0,0,0,1,12,IEEE TRANSACTIONS ON MEDICAL IMAGING
