,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,9833,128,616,910,869,777,705,616,593,528,440,3651,IEEE TRANSACTIONS ON MEDICAL IMAGING
2, ,ALL OTHERS (1462),1462,21,103,123,133,107,90,81,94,63,55,592,IEEE TRANSACTIONS ON MEDICAL IMAGING
3,6.131,IEEE T MED IMAGING,800,16,79,73,63,62,71,47,45,36,28,280,IEEE TRANSACTIONS ON MEDICAL IMAGING
4,2.884,MED PHYS,450,3,21,25,47,55,30,37,41,26,31,134,IEEE TRANSACTIONS ON MEDICAL IMAGING
5,2.665,PHYS MED BIOL,417,9,29,33,26,39,37,30,21,32,31,130,IEEE TRANSACTIONS ON MEDICAL IMAGING
6,4.082,MAGN RESON MED,354,4,22,33,20,15,18,18,19,15,14,176,IEEE TRANSACTIONS ON MEDICAL IMAGING
7, ,LECT NOTES COMPUT SC,250,0,5,49,41,16,20,21,19,16,12,51,IEEE TRANSACTIONS ON MEDICAL IMAGING
8,5.356,MED IMAGE ANAL,233,11,16,35,27,34,32,8,10,14,10,36,IEEE TRANSACTIONS ON MEDICAL IMAGING
9,2.704,IEEE T ULTRASON FERR,209,1,10,21,19,19,12,11,9,14,10,83,IEEE TRANSACTIONS ON MEDICAL IMAGING
10,5.426,NEUROIMAGE,178,3,8,11,12,10,23,18,14,16,7,56,IEEE TRANSACTIONS ON MEDICAL IMAGING
11,5.072,IEEE T IMAGE PROCESS,159,1,4,9,10,8,8,16,6,7,9,81,IEEE TRANSACTIONS ON MEDICAL IMAGING
12,4.288,IEEE T BIO-MED ENG,124,3,8,12,18,12,10,6,14,6,4,31,IEEE TRANSACTIONS ON MEDICAL IMAGING
13,7.469,RADIOLOGY,117,1,4,12,3,4,11,5,7,4,7,59,IEEE TRANSACTIONS ON MEDICAL IMAGING
14, ,PROC CVPR IEEE,114,0,4,23,21,7,12,8,13,8,0,18,IEEE TRANSACTIONS ON MEDICAL IMAGING
15,9.455,IEEE T PATTERN ANAL,113,3,4,3,1,16,8,11,10,2,1,54,IEEE TRANSACTIONS ON MEDICAL IMAGING
16, ,PROC SPIE,93,2,12,15,10,10,8,8,2,0,6,20,IEEE TRANSACTIONS ON MEDICAL IMAGING
17, ,I S BIOMED IMAGING,91,0,13,24,12,9,0,10,13,0,5,5,IEEE TRANSACTIONS ON MEDICAL IMAGING
18, ,P SOC PHOTO-OPT INST,82,6,18,7,7,6,3,5,3,8,2,17,IEEE TRANSACTIONS ON MEDICAL IMAGING
19,2.645,ULTRASOUND MED BIOL,77,1,0,5,8,3,2,4,1,6,4,43,IEEE TRANSACTIONS ON MEDICAL IMAGING
20,2.367,J BIOMED OPT,73,1,6,6,9,12,9,7,6,7,3,7,IEEE TRANSACTIONS ON MEDICAL IMAGING
21,3.612,J MAGN RESON IMAGING,64,0,3,7,5,2,4,1,6,3,6,27,IEEE TRANSACTIONS ON MEDICAL IMAGING
22,11.541,INT J COMPUT VISION,60,0,0,8,2,3,2,2,3,2,1,37,IEEE TRANSACTIONS ON MEDICAL IMAGING
23,3.482,BIOMED OPT EXPRESS,58,4,2,11,12,9,5,8,7,0,0,0,IEEE TRANSACTIONS ON MEDICAL IMAGING
24,3.356,OPT EXPRESS,54,1,1,0,3,1,3,2,17,9,3,14,IEEE TRANSACTIONS ON MEDICAL IMAGING
25,4.203,IEEE T SIGNAL PROCES,52,0,1,0,3,2,1,2,5,5,0,33,IEEE TRANSACTIONS ON MEDICAL IMAGING
